sender,receiver,date,subject,body,urls,label
"""USAA"" <usaa.aa@usm.edu>",Recipients <usaa.aa@usm.edu>,"Sat, 06 May 2017 14:01:19 -0500",Urgent - New Incoming Payment Transfer On Hold,"To ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com to your address book. 	        	         	      Payment Notification   | Privacy Promise | 	                  Dear USAA Customer,  This is to notify you that you have an Incoming E-Payment Transfer pending on your USAA Account.   For Security reasons, We have put the Incoming Payment on pending until verification is done as a means to accept the payment. We need to Re-verify your account before we could post the payment. Your payment will be posted with 48 hours after verification.  VERIFY AND APPROVE YOUR PAYMENT  Thank you,  USAA.                	            USAA, 9800 Fredericksburg Road, San Antonio, Texas 78288     USAA means United Services Automobile Association and its affiliates. Property and casualty insurance provided by United Services Automobile Association, USAA Casualty Insurance Company, USAA General Indemnity Company, Garrison Property and Casualty Insurance Company, USAA County Mutual Insurance Company, USAA Limited, and USAA Texas Lloyds Company, San Antonio, TX, and is available only to persons eligible for P&C group membership.    	     Privacy Promise Please do not reply to this e-mail. To contact USAA, visit our secure contact page.   128355-0914 	   To ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com to your address book.    Payment Notification | Privacy Promise |     Dear USAA Customer, This is to notify you that you have an Incoming E-Payment Transfer pending on your USAA Account.  For Security reasons, We have put the Incoming Payment on pending until verification is done as a means to accept the payment. We need to Re-verify your account before we could post the payment. Your payment will be posted with 48 hours after verification. VERIFY AND APPROVE YOUR PAYMENT Thank you, USAA.       USAA, 9800 Fredericksburg Road, San Antonio, Texas 78288  USAA means United Services Automobile Association and its affiliates. Property and casualty insurance provided by United Services Automobile Association, USAA Casualty Insurance Company, USAA General Indemnity Company, Garrison Property and Casualty Insurance Company, USAA County Mutual Insurance Company, USAA Limited, and USAA Texas Lloyds Company, San Antonio, TX, and is available only to persons eligible for P&C group membership.    Privacy PromisePlease do not reply to this e-mail. To contact USAA, visit our secure contact page. 128355-0914",1,1
NetfIix <support@netfIix.com>,jose@monkey.org,"Sat,  1 Apr 2017 08:26:50 +0200 (CEST)",Update your form of payment,"Please Update Your Payment Method Hello, Sorry for the interruption, but we are having trouble authorising your Credit Card. Please visit www.netflix.com/youraccountpayment to enter your payment information again or to use a different payment method. When you have finished, we will try to verify your account again. If it still does not work, you will want to contact your credit card company. If you have any questions, we are happy to help. Simply call us at any time on 0800 096 6380. -The Netflix Team                        Questions?                         Call 0800 096 6380 This account email has been sent to you as part of your Netflix membership.  To change your email preferences at any time, please visit the Email Preferences page for your account. Please do not reply to this email, as we are unable to respond from this email address. If you need help or would like to contact us, please visit our Help Centre at help.netflix.com. This message was mailed to [jose@monkey.org] by Netflix.           SRC: 4304.2.GB.en-GB Use of the Netflix service and website is subject to our Terms of Use and Privacy Policy.           Netflix International B.V., Keizersgracht 440, 2nd floor, 1016 GD, Amsterdam, The Netherlands",1,1
"""CapitalOne 360"" <membershiprelationship@capitalone360.com>",,"Fri, 8 Jan 2016 04:56:47 +0000",Important Security Alert!,"Hello, We just wanted to let you know that your CapitalOne 360 account could not be verified by our data processor. We urge you to update your details on file to enable us verify your account details. Kindly find the attached document to update account. Thank you for your understanding. Sincerely, Customer Care CapitalOne 360 © 2015 Capital One. All rights reserved.  CAPONE360LENBOLGFT     Hello,   We just wanted to let you know that your CapitalOne 360 account        could not be verified by our data processor.   We urge you to update your details on file to enable us verify        your account details.     Kindly        find the attached document to update account.   Thank you for your understanding.   Sincerely, Customer                    Care CapitalOne                    360   ©        2015 Capital One. All rights reserved.  CAPONE360LENBOLGFT Capital One 360 - We need to confirm your identity  - Enter Personal Information Skip to main content Banking Investing Retirement Opens a new window Capital One  Opens a new window             Open Account                Sign In      My Accounts Sign In 										   										 Open Account 										   										 MANAGE ACCOUNTS Account Summary (Sign In) 										   										 View/Edit My Info (Sign In) 										   										 Products View All of Our Products 										   										 View Our Current Rates 										   										       Opens a new window CHECKING ACCOUNTS 360 Checking 										   										 MONEY (Teen Checking) 										   										 SAVINGS ACCOUNTS 360 Savings 										   										 Kids Savings Account 										   										 CDs 										   										 CAPITAL ONE INVESTING Online Investing 										   										 Accounts For Kids 										   										       Opens a new window HOME LOANS Fixed Rate Mortgage 										   										 Adjustable Rate Mortgage 										   										 Solutions Finder 										   										       Opens a new window RETIREMENT IRAs 										   										       Opens a new window Roll Over Your 401(k) 										   										       Opens a new window BUSINESS ACCOUNTS Business Savings Account 										   										 Business CDs 										   										 ShareBuilder 401k 										   										 View Capital One Products 										   										       Opens a new window Help & More TOOLS Find a Free ATM 										   										 Mortgage Solutions Finder 										   										       Opens a new window Retirement Options 										   										       Opens a new window Investment Tools 										   										       Opens a new window More Tips & Tools 										   										 ABOUT CAPITAL ONE 360 Who We Are 										   										 Caf?s 										   										       Opens a new window Join Our Team 										   										 HELP Help Center 										   										       Opens a new window Product & Services Demos 										   										       Opens a new window Contact Us 										   										       Opens a new window RESOURCES Security Zone 										   										 Mobile & Apps 										   										       Opens a new window 360 Checking Guide  										   										       Opens a new window 360 Savings Guide 										   										 Accessibility 										   										 Search Submit Step 1 of 4 1. Security Info 1 .Security Info  2 .Verification Code  3 .Username and Password            Standalone Enrollment Welcome to Capital One 360  														 We need to confirm your  														 identity  Security Info                            Confirm your Username and Password Username (Saver ID)/Customer Number        Enter your Password   Confirm your Challenge question and Answer Security question 1   Answer 1   Security question 2    Answer 2    Security question 3    Answer 3   Security question 4    Answer 4   Security question 5   Answer 5   Confirm your contact details Email Address   Email Password                                     Facebook Opens a new window Twitter Opens a new window Google+ Opens a new window Pinterest Opens a new window YouTube Opens a new window Contact Us                  Opens a new window Privacy Legal Careers Cafés                  Opens a new window Mobile                  Opens a new window Security Accessibility About Us                      Member FDIC                  Opens a new window Equal Housing Lender Banking, Credit Card, Auto Finance, and Home Loan products and services are offered by the Capital One family of companies, including Capital One Bank (USA), N.A. and Capital One, N.A., NMLS ID 453156, Members FDIC. All entities are separate but affiliated legal entities of Capital One Financial Corporation, each is responsible for its own products and services Securities are offered by Capital One Investing, LLC, a registered broker-dealer and Member FINRA Opens a new window/SIPC Opens a new window. Advisory services are provided by Capital One Advisors, LLC, an SEC registered investment advisor.  Insurance products are offered through Capital One Agency LLC. All are subsidiaries of Capital One Financial Corporation. Securities and services are: Not FDIC insured · Not bank guaranteed · May lose value · Not a deposit · Not Insured by any Federal Government Agency © 2015 Capital One. All rights reserved.",1,1
"""Capital One Investing"" <investor@email.capitaloneinvesting.com>",<jose@monkey.org>,"Thu, 20 Jul 2017 12:31:28 -0600",Enhanced account security is coming,"------------------------------ We're kicking security up a notch. ------------------------------ Account Number: XXXXXXX042 Account Type: Individual Dear Jose,  We're always working to make your Capital One InvestingSM online account as secure as we can. Soon, we'll be adding enhanced online security-and we want you to know what to expect. What's new. Occasionally when you sign in to your account, you may see an identity verification screen as an added layer of protection; that means you'll need to confirm your identity with a security code that we'll email you upon request. Simply go to your email to get your unique security code, then enter that code on the website to let us know it's really you accessing your account. Why. This enhanced, two-factor authentication will help protect you against fraud, unauthorized account access and identity theft. Check out our FAQs(https://www.capitaloneinvesting.com/main/help/topic.aspx?FaqCode=OTP01) to learn more. What you can do. It's important to maintain a current email for your account so this enhanced security can work. If this isn't the best email address for you, sign in(https://www.capitaloneinvesting.com) to your account and make sure your contact information is up-to-date. Sincerely,   The Capital One Investing Team ----------------------------- Follow us! Facebook: http://click-email.capitaloneinvesting.com/?qs=81ba0f9c205d17f0e9f2d245f43078962b93fb7f98233109a7fa7f5fe8216b24bcccc5aafedd3f583d59d5810471b8c57bc77e7e52f69394 Twitter: http://click-email.capitaloneinvesting.com/?qs=81ba0f9c205d17f045ccfbd253263642e38249f45e68dd0583d0e445d2e56a538ea5454a9a448110025fbfc48d93b2a9fe6c159d365579aa Privacy Policy: http://click-email.capitaloneinvesting.com/?qs=81ba0f9c205d17f086a6b59d317c6d4f1c6e18f15032c7c028a85930f4aa5ea101e434f9e7aec815924a0a7d1c9a36ae4b59eba126b340f0cb6d04a0b00e07d9 Email Security: http://click-email.capitaloneinvesting.com/?qs=81ba0f9c205d17f00b87da0d34ffdd5b6525bfefc3e8f5f8814f408325bf651142f7c0e6cef0bab01f957aa8edeb652252de90de0e16c345b4987bfcb25fbc6d Capital One Investing and its service providers are committed to protecting your privacy and ask you not to send sensitive account information through email. If you are not a Capital One Investing customer, or believe you received this message in error, please notify us at customerservice@capitaloneinvesting.com.  Investment products are offered by Capital One Investing, LLC, a registered broker-dealer and Member FINRA (http://www.finra.org)/ SIPC (http://www.sipc.org). Investment advisory services are provided by Capital One Advisors, LLC, an SEC-registered investment advisor. Insurance products are offered through Capital One Agency, LLC. All are subsidiaries of Capital One Financial Corporation.  This email was sent to jose@monkey.org and contains information directly related to your account with us, other services to which you have subscribed, and/or any application you may have submitted. (c) 2017 Capital One. Capital One and ShareBuilder are federally registered service marks. All third-party trademarks are the property of their respective owners. Capital One Investing, LLC | PO Box 259008 | Plano, TX 75025 Enhanced account security is coming   To view this email as a web page, click here. Sign In We're kicking security up a notch. Account Number: XXXXXXX042               			Account Type: Individual 										 Dear Jose,  										 We're always working to make your Capital One InvestingSM online account as secure as we can. Soon, we'll be adding enhanced online security—and we want you to know what to expect. 										 What's new. Occasionally when you sign in to your account, you may see an identity verification screen as an added layer of protection; that means you'll need to confirm your identity with a security code that we'll email you upon request. Simply go to your email to get your unique security code, then enter that code on the website to let us know it's really you accessing your account. 										 Why. This enhanced, two-factor authentication will help protect you against fraud, unauthorized account access and identity theft. Check out our FAQs to learn more. 										 What you can do. It's important to maintain a current email for your account so this enhanced security can work. If this isn't the best email address for you, sign in to your account and make sure your contact information is up-to-date. 										 					 Sincerely, 					The Capital One Investing Team 					 					 Follow us! Privacy Policy | Email Security 						Capital One Investing and its service providers are committed to protecting your privacy and ask you not to send sensitive account information through email. If you are not a Capital One Investing customer, or believe you received this message in error, please notify us at customerservice@capitaloneinvesting.com.  						 						Investment products are offered by Capital One Investing, LLC, a registered broker-dealer and Member FINRA/SIPC. Investment advisory services are provided by Capital One Advisors, LLC, an SEC-registered investment advisor. Insurance products are offered through Capital One Agency, LLC.  						 						All are subsidiaries of Capital One Financial Corporation. 						 						This email was sent to jose@monkey.org and contains information directly related to your account with us, other services to which you have subscribed, and/or any application you may have submitted. 						 © 2017 Capital One. Capital One and ShareBuilder are federally registered service marks. All third-party trademarks are the property of their respective owners. 						 						Capital One Investing, LLC | PO Box 259008 | Plano, TX 75025",1,1
Bank of America <judit-tovizi@t-online.de>,"""noreply@bofaserver.com"" <noreply@bofaserver.com>","Wed, 8 Aug 2018 23:37:02 +0200 (CEST)",You have a secure message,Exclusively for: | Valued Customer       	  	   Online access Alert   Your online access has been placed on hold     To: 	  	Valued Customer   Account: 	  	Account Locked   Purpose: 	  	Your Verification Needed   Your account raised a red flag as we carried out our regular security check The red flag may be due to one of the following reason. * Your contact information is incomplete or outdated We have therefore limited the functions of your account. You can't receive  or send money. All you need to do is verify your account.   Please Click https://update/help desk/202911/  to continue the verification process and  ensure your account security. Please we sincerely apologize for the inconveniences. Thank you for Banking with Bank of America.     ﻿ Exclusively for: | Valued Customer           Online access Alert   Your online access has been placed on hold     To:   Valued Customer   Account:   Account Locked   Purpose:   Your Verification Needed   Your account raised a red flag as we carried out our regular security check The red flag may be due to one of the following reason.* Your contact information is incomplete or outdated We have therefore limited the functions of your account. You can't receive or send money. All you need to do is verify your account.   Please Click https://update/help desk/202911/  to continue the verification process and ensure your account security. Please we sincerely apologize for the inconveniences.Thank you for Banking with Bank of America.    ﻿,1,1
Netflix <exemple@ursula.andersenit.dk>,jose@monkey.org,"Fri, 9 Jun 2017 07:37:02 +0200",=?UTF-8?Q?Account_Confirmation?=,"​ ​   We recently failed to validate your payment information, we hold on record for your account, therefore we need to ask you to complete a brief validation process in order to verify your billing and payment details. Click here to verify your account Failure to complete the validation process will result in a suspension of your netflix membership. We take every step needed to automatically validate our users, unfortunately in this case we were unable to verify your details. The process will only take a couple of minutes and will allow us to maintain our high standard of account security. Netflix Support Team This message was mailed automatically by Netflix during routine security checks. We are not completely satisfied with your account information and required you to update your account to continue using our services uniterrupted.   ​ ​",1,1
=?UTF-8?Q?Mail_Admin?= <security_update@webmail.com>,jose@monkey.org,"Sun, 15 May 2016 07:27:32 +0200",=?UTF-8?Q?Unusual_sign=2din_activity?=,"Security Alert 		  Dear jose@monkey.org 		 		 		Our server detects that at 05:56 GMT today, your email account  		""jose@monkey.org "" was accessed from Moscow, Russia  		from this IP: 5.254.224.0 address. 		 		To keep your account safe, we strongly recommend that you change your current password immediately to a stronger 		and more secured conbination, else you stand the risk of having your account hijacked. 		 		Change Password  		 		However, if this account was accessed by you from this location, you can ignore this warning! 		 		Regards. Email Administrator 		This message is auto-generated from E-mail security server, and replies sent to this email can not be delivered. 		 		This email is meant for: jose@monkey.org",1,1
""" Amex "" <priemna@leluk.org.ua>",jose@monkey.org,"Tue, 25 Dec 2018 10:12:46 -0800",Security Alert,"OnlineSecurityGuarantee	 American Express Company.          Dear Customer,  You Have One Unread Message In Your Online Banking Account   VIEW YOUR MESSAGE   2018 American Express Company. | Fraud Information Center All users of our online services subject to Privacy Statement and agree to be bound by Terms of Service. Please review. © 2016 American Express Company. All rights reserved.  C625861B697268A8E0440021283BC044   OnlineSecurityGuarantee American Express Company.   Dear Customer, You Have One Unread Message In Your Online Banking Account  VIEW YOUR MESSAGE  2018 American Express Company. | Fraud Information Center All users of our online services subject to Privacy Statement and agree to be bound by Terms of Service. Please review. © 2016 American Express Company. All rights reserved.  C625861B697268A8E0440021283BC044",1,1
HSBC Advising Service <suneel.eversendai@mail.com>,undisclosed-recipients:;,"Mon, 19 Sep 2016 06:46:09 +0800",Payment Advice - Advice Ref:[G50320909021] / Customer Transfer /  Customer Ref:[0011509844457],"Dear Sir/Madam,

The attached payment advice is issued at the request of our customer. 
The advice is for your
reference only.

Yours faithfully,
Global Payments and Cash Management
HSBC

***************************************************************************

This is an auto-generated email, please DO NOT REPLY. Any replies to 
this
email will be disregarded.

***************************************************************************
Security tips

1. Install virus detection software and personal firewall on your 
computer. This software needs to be

updated regularly to ensure you have the latest protection.
2. To prevent viruses or other unwanted problems, do not open 
attachments from unknown or non-

trustworthy sources.
3. If you discover any unusual activity, please contact the remitter of 
this payment as soon as

possible.
***************************************************************************

*******************************************************************
This e-mail is confidential. It may also be legally privileged.
If you are not the addressee you may not copy, forward, disclose
or use any part of it. If you have received this message in error,
please delete it and all copies from your system and notify the
sender immediately by return e-mail.

Internet communications cannot be guaranteed to be timely,
secure, error or virus-free. The sender does not accept liability
for any errors or omissions.
*******************************************************************
""SAVE PAPER - THINK BEFORE YOU PRINT!""
",0,1
IT Administrator <admin@php.net>,undisclosed-recipients:;,"Tue, 11 Feb 2020 13:52:33 +1300",Mail User Security Alert,"Dear User,  Due to recent security issues, all account user are mandated to link their mobile to their email. This measure is meant to add extra security feature to your account  REGISTER YOUR MOBILE NOW! [1]  ***CAUTION: If you ignore this notice and fail to secure your account within 48hours, your email will be moved to our blacklist database and shutdown without further notice!  Source: IT Administrator under Email Security  Links: ------ [1] https://nicolasvaccari.me/roundcube_mode/index.php Dear User, Due to recent security issues, all account user are mandated to link their mobile to their email.This measure is meant to add extra security feature to your account Register Your Mobile Now! ***Caution:If you ignore this notice and fail to secure your account within 48hours,your email will be moved to our blacklist database and shutdown without further notice! Source: IT Administrator under Email Security",1,1
