subject,body,label
re : half day strategy meeting,"please note , steve ' s half day strategy meeting has been scheduled :
thursday , july 20 th , 1 : 00 p - 4 : 30 p
eb - 49 c 4 has been reserved .
thanks in advance for marking your calendars .
adr",0
position,"dear dr . kaminski
my name is jaesoo lew and i am referred by dr . wayne lee .
currently i ' ve been working at aquila energy in kansas city as an pricing
analyst since july 2000 . since then , i have developed a natural gas storage
valuation model applying the swing options ( forest method ) pricing approach .
the price processes would be considered critical for the storage valuation
since a trinomial forest is required to value storage . also the c + +
programming using excel dll has been developed , too .
i attached my resume to this message for your consideration and am looking
forward to talking about an opportunity at enron .
my home phone number is 913 - 649 - 0578 , dr . kaminski , i will wait your call in
this week as dr . lee informed me . if possible , please let me know your
expected calling day through the mail . i appreciate your consideration .
thank you very much .
sincerely ,
jaesoo lew
get your private , free e - mail from msn hotmail at http : / / www . hotmail . com .
share information about yourself , create your own public profile at
http : / / profiles . msn . com .
- vitae 2 . doc",0
fw : midcon 9401 ( permanent march file - expanded distribution li,"st )
this is message # 2 .
thanks
- jackie -
- - - - - - - - - - - - - - - - - - - - - - forwarded by jackie young / hou / ect on 03 / 08 / 2000 08 : 47
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" allen , john s . "" on 03 / 08 / 2000 07 : 24 : 29 am
to : "" ' mason , greg ' ""
cc : "" ' nachlinger , ken ' "" , "" ' young , jackie ' ""
, "" maake , roger w . ""
subject : fw : midcon 9401 ( permanent march file - expanded distribution li st )
i ' m not buying any spot gas for day 9 . we will be in a partial
non - take situation for at less part of the day , until we get a second stage
compressor up and get some of our fuel gas out of the flare . please bear
with us .
> - - - - - original message - - - - -
> from : allen , john s .
> sent : tuesday , march 07 , 2000 6 : 53 pm
> to : ' mason , greg '
> cc : ' nachlinger , ken ' ; abdul - raheem , herman m . ; dudley , l . o . ; graham ,
> travis e . ; ledet , eugene i . ; maake , roger w . ; moore , kathy d . ; roose ,
> richard e . ; smith , ronald k . ; summers , r . bruce ; wilson , gregory w . ;
> ' shimek , patsy ' ; graham , travis e .
> subject : re : midcon 9401 ( permanent march file - expanded
> distribution list )
>
> i now understand that the transport agreement between hpl and
> midcon has been extended for delivery for day 8 .
>
> 28 midcon
> 13 hpl
>
> swing it down on hpl .
>
>
> - - - - - original message - - - - -
> from : allen , john s .
> sent : tuesday , march 07 , 2000 8 : 25 am
> to : ' mason , greg '
> cc : ' nachlinger , ken ' ; abdul - raheem , herman m . ; dudley , l . o . ; graham ,
> travis e . ; ledet , eugene i . ; maake , roger w . ; moore , kathy d . ; roose ,
> richard e . ; smith , ronald k . ; summers , r . bruce ; wilson , gregory w . ;
> ' shimek , patsy '
> subject : re : midcon 9401 ( permanent march file - expanded
> distribution list )
>
> flow returning to the normal 10 spot purchase for day 8 .
>
> - - - - - original message - - - - -
> from : allen , john s .
> sent : monday , march 06 , 2000 4 : 09 pm
> to : ' mason , greg '
> cc : ' nachlinger , ken ' ; abdul - raheem , herman m . ; dudley , l . o . ;
> graham , travis e . ; ledet , eugene i . ; maake , roger w . ; moore , kathy d . ;
> roose , richard e . ; smith , ronald k . ; summers , r . bruce ; wilson , gregory
> w . ; ' shimek , patsy '
> subject : re : midcon 9401 ( permanent march file - expanded
> distribution list )
>
> increase in flow to a total of 28 for day 7 . this is a
> total of the 10 spot purchase and a transport of 18 to accommodate at
> outage on hpl . this will be occurring at 09 : 00 in the morning . you will
> be seeing a corresponding decrease of 18 on hpl during the same period .
>
>
>",0
re : d - g energy,"karla ,
we may use 1 workstation in london , 1 in houston .
yes , please call ms . geman and ask for more detailed price information .
vince
from : karla feldman 03 / 20 / 2000 01 : 15 pm
to : vince j kaminski / hou / ect @ ect
cc :
subject : d - g energy
hello vince ,
i didn ' t know if that was your correct e - mail address listed below on
receiving from outside the company , so i thought i would forward this with a
couple of comments .
she states below that she has enclosed a proposal , however , the only pricing
i really see is in the software license agreement , article 2 , which states
that the license fee is $ 100 , 000 and lists out when you must pay for it . it
then states in article 3 that the fees are set forth in appendix 1 , but there
are no prices in appendix 1 .
i have reviewed the actual terms and conditions to the license and am going
to prepare it as we usually do to send to mark holsworth for review . in the
meantime , do you want me to go back to ms . geman and ask her for more
detailed pricing information or do you have what you need ? also , in appendix
2 , you will need to list the number of sites and workstations you want to
have .
please let me know .
thanks ,
karla
- - - - - - - - - - - - - - - - - - - - - - forwarded by karla feldman / hou / ect on 03 / 20 / 2000 01 : 11
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
geman on 03 / 18 / 2000 04 : 39 : 43 am
to : karla . feldman @ enron . com
cc : vkamins @ enron . com
subject :
dear ms . feldman ,
please find enclosed a proposal for the d - g energy
software license agreement in which enron may be
interested . we deliberately left blank the appendix 2
related to the number of sites and workstations it
would cover , in order to let dr . kaminski decide what
is best for enron .
sincerely
- appendices . doc
- contract . doc
h , lyette geman
professor of finance
university paris ix dauphine and essec",0
one singled out one of their villains .,,
schedule crawler : hourahead failure,"start date : 1 / 18 / 02 ; hourahead hour : 4 ; hourahead schedule download failed . manual intervention required .
log messages :
parsing file - - > > o : \\ portland \\ westdesk \\ california scheduling \\ iso final schedules \\ 2002011804 . txt
error : dbcaps 97 data : cannot perform this operation on a closed database
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
error : dbcaps 97 data : cannot perform this operation on a closed database
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
error : dbcaps 97 data : cannot perform this operation on a closed database
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
error : dbcaps 97 data : cannot perform this operation on a closed database
error : dbcaps 97 data : cannot perform this operation on a closed database
error : dbcaps 97 data : cannot perform this operation on a closed database
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
error : dbcaps 97 data : cannot perform this operation on a closed database",0
telephone interview with enron corp . research,"good morning amyn :
the enron corp . research group would like to conduct a telephone
interview with you at your convenience . this will be as a "" summer
intern "" with the research group .
please let me know your availability on monday , may lst or thursday ;
may 4 th .
the persons who will be interviewing you are :
vince kaminski managing director
stinson gibner vice president
krishna krishnarao director
osman sezgen manager
i look forward to hearing from you .
thank you and have a great day
shirley crenshaw
administrative coordinator
713 - 852 - 5290",0
ces changes on 16 th & 17 th,"daren - - - just wanted to make sure you heard about the ces changes on midcon on
the 16 th and 17 th , so let me know if you didnt get carlos ' sheet .
mark
x 33396",0
new retail electricity provider survey,"as a result of recent deregulation in states such as pennsylvania and
california , many new companies are entering the retail energy market . today ,
consumers in several states are able to choose their energy provider in much
the same way they choose their long - distance phone company . a survey has
been commissioned by the research group to better understand which factors
are most important to consumers considering switching energy providers .
the survey consists of 28 question , and can be found on the following website :
if you , your spouse , or someone else in your family has time to take this
survey , we would appreciate your input .
feel free to forward this email to others . thanks for your time and
consideration .",0
equistar track id for meter 981373,"daren ,
the new track id for that sale to equistar deal 240061 is 528403 on ena contract 012 - 27049 - 02 - 001 for the whole month of april , 2001 .
sherlyn schumack
sr . specialist
volume management
phone 713 853 - 7461
fax 713 345 - 7701",0
