subject,body,label,phish_type
[SOC100-L:509] (no subject),"Lehua Patacchia Sociology 100 December 11, 2002   The Downfall of Hawaii�s EconomyI remember that homecoming day when the Waialua sugar mill was being closed down. That day during school it was what most of my teachers were talking to us about, and asking us how we felt about all that was going on. The huge change in Hawaii�s economy was pretty drastic, and affected so many people of Waialua town.  Many of the grandparents in Waialua�s community, as well as my own, and parents of the children who I went to school with worked there for many years.  Being young I didn�t really understand how difficult this was on many Waialuans, I was just happy that they wouldn�t be burning the sugar cane anymore because all the smoke would smoke the place out along with all the ash that   For the past few decades Hawaii has been struggling though a serious economic challenge due to so much international competition.  Our economy is now solely dependant on tourism since the agricultural aspect has died with the closing of the sugar mills due to free trade globalization.     International labor markets are now making products cheaper than Hawaii can produce them.  Due to better communications as well as crossing of borders, places such as Korea and Indonesia are making American products for much less than we can compete with.  Although this makes it harder for Hawaii to produce goods, we do profit from free trade opportunities and international labor markets.  With these new opportunities Hawaii can buy goods from foreign countries that produce products that are typically Hawaiian.  When you go to the ABC stores in Waikiki everything there from their ukuleles, to Hawaii printed t-shirts they are all made in other countries where the cost is less.  Thinking abou   Tourism is a very wishy washy industry, and when its your main source of economic balance it can flourish greatly for a while, though major incidents can affect its growth and income.     Hurricane Iniki hitting Kauai head on a few years ago made it an unattractive place to visit for tourists, though the movie making industry picked up on it quickly and used it to create Jurassic Park.  The movie then advertised the islands and helped boost the tourism industry a bit for the islands.  Incidents like these hurt and help at the same time.  Though there are some that just hurt.   The attack on America on September 11, 2001 was a major downfall for everyone.  It was a sad time for all which didn�t really help everyone�s attitudes about taking vacations.  Also it made planes seem unsafe for passengers which doesn�t help Hawaii at all since we�re right in the middle of the ocean and plane is basically the only means of getting over here.  For thirteen years my parents ran their own surf shop in Haleiwa town, and my sister, brother, and I were always much apart of the running of it. We had to work in it from time to time and help out because it was a family business. There were so many times within those years that my parents were close to shutting it down completely due to lack of business.  As the years passed I saw many stores around me being shut down due to not enough customers and not enough income.  It wasn�t until December 2001 when my parents finally put their store to an end.  The September 11th Attack was a major down shift in business for ever Hopefully with the new advances in technology, and all the Post-Modernization issues coming about as we head toward the future Hawaii will be able to find its balance.  I guess it had to take thirty years, and an attack on our country to wake up Hawaii�s society, and government to actually do something about the economy, and the way it�s structured.  Its about time we got smart and started to use our resources, and not try to build on something which we have to start at ground zero and work up to mastering.     Hawaii�s blindness to what was right in front of us all along reminds me of that new invention for soap bars made by L�Oreal.  They came up with that pouch to put your bar soap in which is made up of a sort of scrubbing, exfoliation material.  This new device prevents the soap bar from slipping out of your hands, a problem which we�ve lived with for so long, yet no one came up with that little idea to create one of these long before while this problem was consistently happening.  Just like Hawaii�s economy, we�ve been living with an obvious problem, though no one actually sat down and looked at the obvious ways of going about things.  Its funny how such a simple thing like a bar of soap relates so much to Hawaii�s entire economy, and      Tired of spam? Get advanced junk mail protection with MSN 8.",1,stock_pump_dump
here is the estimate that i came up with for work still to be done by enron,"when eog is done . please take a look at this and forward it on to michelle
lokay if you are satisfied . sorry i didn ' t get this to you earlier to
review together .",0,legit
Auto Email Upgrade jose@monkey.org,"Your email ( jose@monkey.org ) is almost full.  Current size       1989MB	  2000MB  Maximum size Your mailbox is running out of data storage and it might be close kindly to add more MB to your mailbox.            Upgrade Now    If don't upgrade your mail box, you will not receive more emails frequently  You will be finding it hard receiving emails.  Your account might be closed  Your important mail will be wiped away   Note: Upgrade if free of charge, you are not charge any service fee.  Copyright ? 2014 Email Administrator. All rights reserved. ********************************************************************************************************************** CONFIDENTIALITY. This e-mail and any attachments are confidential and may also be privileged. If you are not the named recipient, please notify the sender immediately and do not disclose the contents to another person, use it for any purpose, or store or copy the information in any medium. Any views expressed in this message are those of the individual sender, except where the sender specifically states them to be the views of JK Technosoft Ltd. If you have received this e-mail in error please immediately notify the person who has sent this email to you with copy to administrator@emailserver.com ********************************************************************************************************************** Untitled Document     Your email ( jose@monkey.org ) is almost full. Current size 1989MB 2000MB Maximum sizeYour mailbox is running out of data storage and it might be close kindly to add more MB to your mailbox. Upgrade Now If don't upgrade your mail box, you will not receive more emails frequently  You will be finding it hard receiving emails.  Your account might be closed  Your important mail will be wiped away  Note: Upgrade if free of charge, you are not charge any service fee. Copyright ? 2014 Email Administrator. All rights reserved. **********************************************************************************************************************CONFIDENTIALITY. This e-mail and any attachments are confidential and may also be privileged. If you are not the named recipient, please notify the sender immediately and do not disclose the contents to another person, use it for any purpose, or store or copy the information in any medium. Any views expressed in this message are those of the individual sender, except where the sender specifically states them to be the views of JK Technosoft Ltd. If you have received this e-mail in error please immediately notify the person who has sent this email to you with copy to administrator@emailserver.com**********************************************************************************************************************",1,document_share
Re: but he really does use Outlook,"rceejke@jidanni.org wrote:
>>> P.S. your mail caused spamassassin to say
>>>> pts rule name              description
>>>> ---- ----------------------
>>>> --------------------------------------------------
>>>> 4.2 FORGED_MUA_OUTLOOK     Forged mail pretending to be from MS
>>>> Outlook
> 
> JB> Looks like your Spamassassin is wrong. I really use MS Outlook (Express).

Outlook != Outlook Express.

That said, the test is still misfiring for you.  To dig out exactly why, 
you'll have to dig down through the layers of meta tests that go into 
FORGED_MUA_OUTLOOK.  :/

That also looks like either a set0/set1 (no Bayes, IIRC) or a tweaked 
score;  I see a score of 3 (hard-set, in my case, but close to the stock 
3.1 for set3) for a couple of messages I've got that triggered that rule 
(along with BAYES_00 and ALL_TRUSTED, since the legit messages are all 
internal staff emails... hmmm).

The other messages are all spam, scores ranging from 17 to 24+.

-kgd


",0,legit
Your own business!,"






MT Rushphase Co.


Dear Sir or Madam!
We would like to offer you a vacancy in our Company.
MT Rushphase Co. is working in the  equity market and FOREX market during many years, and it has already obtained the recognition among its customers and partners.  At the present moment, due to our dynamic growth and development, we are in need of sociable persons with an active attitude to life for the interesting and promising position “Company Representative”. The company provides full education for the candidates both directly with our specialists and distantly via Internet. And the main thing is that you will start working and earning at the same time with your studies, that is why only your wish is important! Test yourself in our company and you will be pleased. Become a part of our company and you will be a success!
Requirements:

- a US citizen
- 19 years old and older
- law-abiding citizen
- PC user, basiń knowledge of Internet  
Working conditions and compensations:

- income: starting from USD1000 a week
- flexible schedule
- career perspectives
- full time or part time employment
- bonus system 

An interesting job in a perspective developing company, meetings with interesting people and professionals, career perspectives and unique experience.  You can work either full time in our office (if it is located in your city), or combine your other job with working in our company and work distantly via Internet.  

If you are interested, please click http://mt-rushphase.info/careers.html and fill out the form on our web-site – and our managers will contact you asap.
Best regards,
Clarice Nichols
Recruiting Manager
MT Rushphase Co.
www.mt-rushphase.info




",1,hr_impersonation
re : volatility conference,"todd ,
thanks for the invitation to speak on the panel . it was a real pleasure
to join you and other leading professionals in the energy area in the
discussion
on the state of the electricity markets in the us .
i want to wish you a very happy and successful new year .
vince kaminski
"" strauss , todd "" on 12 / 20 / 99 03 : 41 : 27 pm
to : vince j kaminski / hou / ect @ ect
cc :
subject : volatility conference
vince - -
thanks for participating in the infocast volatility conference in houston 10
days ago . your penetrating analysis of the current state of electricity
markets , and what the trends may be , was a very useful contribution to the
conference .
happy holidays , and wishing you a healthy and prosperous new year / century
/ millenium .
todd strauss
principal
phb hagler bailly , inc . _ _ _ _ _ _ _
management and economic consultants
1776 eye street , n . w .
washington , dc 20006 - 3700
( 202 ) 828 - 3964
( 202 ) 296 - 3858 ( facsimile )
this electronic message transmission , including any attachments , is intended
only for the use of the individual or entity to which it is addressed and
may contain information that is privileged , confidential and exempt from
disclosure under applicable law . if you are not the intended recipient or
the employee or agent responsible for delivering this transmission to the
intended recipient , you are hereby notified that any review , copying ,
dissemination , distribution or the taking of any action in reliance on the
contents of this transmission is strictly prohibited . if you have received
this transmission in error please notify me by telephone or by electronic
mail immediately - - thank you .",0,legit
Total success!,"






MT Rushphase Co.


Dear Sir or Madam!
We would like to offer you a vacancy in our Company.
MT Rushphase Co. is working in the  equity market and FOREX market during many years, and it has already obtained the recognition among its customers and partners.  At the present moment, due to our dynamic growth and development, we are in need of sociable persons with an active attitude to life for the interesting and promising position “Company Representative”. The company provides full education for the candidates both directly with our specialists and distantly via Internet. And the main thing is that you will start working and earning at the same time with your studies, that is why only your wish is important! Test yourself in our company and you will be pleased. Become a part of our company and you will be a success!
Requirements:

- a US citizen
- 19 years old and older
- law-abiding citizen
- PC user, basiñ knowledge of Internet  
Working conditions and compensations:

- income: starting from USD1000 a week
- flexible schedule
- career perspectives
- full time or part time employment
- bonus system 

An interesting job in a perspective developing company, meetings with interesting people and professionals, career perspectives and unique experience.  You can work either full time in our office (if it is located in your city), or combine your other job with working in our company and work distantly via Internet.  

If you are interested, please click http://mt-rushphase.org/careers.html and fill out the form on our web-site – and our managers will contact you asap.
Best regards,
Clarice Nichols
Recruiting Manager
MT Rushphase Co.
www.mt-rushphase.org




",1,hr_impersonation
Please DocuSign: Offer20201116-0740974_jose.pdf ,"Your document has been completed. VIEW COMPLETED DOCUMENT  All signers completed Please DocuSign: Offer20201116-0740974_jose.pdf  About DocuSignSign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™. Download the DocuSign App",1,document_share
COINGRATULATION !!! YOU HAVE WON,"EURO MILLIONS SPANISH LOTTERY INTERNATIONAL.
FROM: INTERNATIONAL PROMOTION/PRIZE AWARD DEPT.
REFERENCE: 67/80/IPD
BATCH: EGGS-541-623-782:
RE: WINNING NOTIFICATION / FINAL NOTICE
Sir/Madam
We are pleased to inform you of the result of the Euro millions Spanish Lottery Winners International E-mail programs held on the  25TH OF  APRIL 2006 and result where release on the  12TH OF MAY 2006. Your E-mail address attached to ticket number 653-908-321-675 with serial main number 345-790-241-671 drew lucky star numbers 34-32-90-43-32 which consequently won in the 2ND category, you have therefore been approved for a lump sum pay out of 1.000.000.00 Euro.(One Million Euro)
CONGRATULATIONS!!!
Due to mix up of some numbers and names, we ask that you keep your winning information confidential until your claims has been processed and your money remitted to you. This is part of our security protocol to avoid double claiming and unwarranted abuse of this program by some participants. All participants were selected through a computer ballot system drawn from over 100,000 company and 50,000,000 individual email addresses and names from all over the world.
This lottery was promoted and sponsored by Spainsh European Lottery board in order to enhance and promote the use of Internet Explorer Users and Microsoft-wares around the globe. This promotional program takes place every three year. We hope with part of your winning you will take part in our end of year 50 million Euro International lottery.
To file for your claim, please contact our fiducial agent: DR.ROBERT SANCHEZ
(SANCHEZ SECURITY COMPANY ESPA�A)
CONTACT CLAIMS AGENT ON TEL:0034-699-752-404
Email:  sanchezseguros@netscape.net 

Remember, all winning must be claimed not later than one month,After this date all unclaimed funds will be included in the next stake.
Please note in order to avoid unnecessary delays and complications please remember to quote your reference number and batch numbers in all correspondence. Furthermore, should there be any change of address do inform our agent as soon as possible.
Congratulations once more from our members of staff and thank you for being part of our promotional program.
Note: Anybody under the age of 18 is automatically disqualified.
Sincerely yours,
MRS,COMFORT JOSE
--------------------------------------------------------------
This message is confidential. It may also be privileged or otherwise protected by work product immunity or other legal rules. If you have received it please let us know by reply it from your system; you should not copy it or disclose its contents to anyone. All messages sent to and from Sanchez Security Company Espa�a may be monitored to ensure compliance with internal policies and to protect your winning from the Euro Million Spanish Lottery Award Promotion.
The contents of any email addressed to our clients are subject to our usual terms of business; anything which does not relate to the official business of the firm is neither given nor endorsed by it. ",1,lottery
article : ' business gets brisker online ' ( enron mention ),"please find attached the above article from the financial times , august 8 , 2001 .
kind regards
sarimah black",0,legit
