email_id,subject,true_label,predicted_label,reasoning,error,raw_response
0,Re: lifegem,0,LEGITIMATE,"The email appears to be a casual, humorous exchange between friends about a LifeGem advertisement.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a casual, humorous exchange between friends about a LifeGem advertisement.""}"
1,Re: [opensuse] Nvidia + Xen,0,LEGITIMATE,"The email discusses technical issues with Nvidia drivers and Xen, seeking help from a community forum.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email discusses technical issues with Nvidia drivers and Xen, seeking help from a community forum.""}"
2,Re: [sugar] Getting sugar running on a Mac,0,LEGITIMATE,This appears to be a genuine technical discussion on a mailing list about the Sugar project.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""This appears to be a genuine technical discussion on a mailing list about the Sugar project.""}"
3,ATM De-activation,1,PHISHING,"The email contains common phishing hallmarks such as urgent language, threats, and a request to click a link to verify personal information.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains common phishing hallmarks such as urgent language, threats, and a request to click a link to verify personal information.""}"
4,AVAST SECURITY ALERT,1,PHISHING,"The email uses scare tactics, contains grammatical errors, and includes a suspicious link that doesn't directly lead to the official Avast website.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses scare tactics, contains grammatical errors, and includes a suspicious link that doesn't directly lead to the official Avast website.""}"
5,GTV project status weekly update,0,LEGITIMATE,"The email appears to be a legitimate project status update with detailed information about accomplishments, plans, and issues.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate project status update with detailed information about accomplishments, plans, and issues.""}"
6,Re:,1,PHISHING,Suspicious link in an unsolicited email with a vague subject.,,"{""classification"": ""PHISHING"", ""reasoning"": ""Suspicious link in an unsolicited email with a vague subject.""}"
7,FROM ADE WILLIAMS,1,PHISHING,"This email is a classic example of a Nigerian prince scam. It uses common phishing tactics like urgency, promises of large sums of money, and requests for personal information.",,"{""classification"": ""PHISHING"", ""reasoning"": ""This email is a classic example of a Nigerian prince scam. It uses common phishing tactics like urgency, promises of large sums of money, and requests for personal information.""}"
8,Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0,LEGITIMATE,The email appears to be a legitimate discussion thread on a technical mailing list about postfix and dkim-filter configuration.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate discussion thread on a technical mailing list about postfix and dkim-filter configuration.""}"
9,re : half day strategy meeting,0,PHISHING,"Informal language, grammatical errors, and lack of sender information are common phishing indicators.",,"{""classification"": ""PHISHING"", ""reasoning"": ""Informal language, grammatical errors, and lack of sender information are common phishing indicators.""}"
