email_id,subject,true_label,predicted_label,phish_type,reasoning,error,raw_response
0,Re: lifegem,0,PHISHING,legit,The email is promoting a scam product called 'LifeGem' and soliciting money for it.,,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email is promoting a scam product called 'LifeGem' and soliciting money for it.""
}"
1,Re: [opensuse] Nvidia + Xen,0,PHISHING,legit,"The email contains a suspicious link to a website that may be used for phishing purposes. The link is not provided in the email body, but it is mentioned that the sender will provide it later. The email also contains instructions on how to uninstall and reinstall the nVidia drivers, which may be used to gain access to the user's system.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link to a website that may be used for phishing purposes. The link is not provided in the email body, but it is mentioned that the sender will provide it later. The email also contains instructions on how to uninstall and reinstall the nVidia drivers, which may be used to gain access to the user's system.""
}"
2,Re: [sugar] Getting sugar running on a Mac,0,PHISHING,legit,The email contains a suspicious link to an image that may contain malware.,,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link to an image that may contain malware.""
}"
3,ATM De-activation,1,PHISHING,tech_support,"The email is attempting to trick the recipient into clicking a suspicious link to 'rectify' their account, which could lead to account deactivation and other security risks. The use of urgent language and threats of account suspension or blocking also indicate that this is a phishing attempt.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email is attempting to trick the recipient into clicking a suspicious link to 'rectify' their account, which could lead to account deactivation and other security risks. The use of urgent language and threats of account suspension or blocking also indicate that this is a phishing attempt.""
}"
4,AVAST SECURITY ALERT,1,PHISHING,account_verify,The email contains a warning about a deadly virus infecting the recipient's mailbox and advises them to run an email scan immediately. The link provided in the email is suspicious and may lead to a phishing website.,,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a warning about a deadly virus infecting the recipient's mailbox and advises them to run an email scan immediately. The link provided in the email is suspicious and may lead to a phishing website.""
}"
5,GTV project status weekly update,0,LEGITIMATE,legit,The email is from a known sender and contains relevant information about the status of a project. The attachments and links provided in the email are also legitimate.,,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is from a known sender and contains relevant information about the status of a project. The attachments and links provided in the email are also legitimate.""
}"
6,Re:,1,PHISHING,dating_sites,The email contains a suspicious link.,,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link.""
}"
7,FROM ADE WILLIAMS,1,PHISHING,advance_fee,The email is from an unknown sender and asks the recipient to assist in repatriating a large sum of money. It also asks the recipient to provide personal information and signatures on legal documents without any explanation of the purpose or legitimacy of the request.,,"{
""classification"": ""PHISHING"",
""reasoning"": ""The email is from an unknown sender and asks the recipient to assist in repatriating a large sum of money. It also asks the recipient to provide personal information and signatures on legal documents without any explanation of the purpose or legitimacy of the request.""
}"
8,Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0,PHISHING,legit,The email contains a suspicious message from an unknown sender with a suspicious subject line and body. The sender's email address is not verified and the content of the email is not related to the recipient's previous email thread. The email also contains technical information that could be used to exploit the recipient's email server.,,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious message from an unknown sender with a suspicious subject line and body. The sender's email address is not verified and the content of the email is not related to the recipient's previous email thread. The email also contains technical information that could be used to exploit the recipient's email server.""
}"
9,re : half day strategy meeting,0,PHISHING,legit,"The email contains suspicious language such as 'please note' and 'thanks in advance for marking your calendars', and the sender's email address is not clearly stated.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains suspicious language such as 'please note' and 'thanks in advance for marking your calendars', and the sender's email address is not clearly stated.""
}"
10,50 ways to meet your lover_iGirl,1,PHISHING,dating_sites,"The email is asking the recipient to become a member to see more results, and provides a link to a suspicious website. The sender's email address is also suspicious, as it contains a misspelling and an unusual domain.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email is asking the recipient to become a member to see more results, and provides a link to a suspicious website. The sender's email address is also suspicious, as it contains a misspelling and an unusual domain.""
}"
11,mit student ' s thesis writeups,0,PHISHING,legit,"The email contains a request for writeups and attachments, which may contain sensitive information. The sender is also forwarding the email from another email address, which could indicate that the original sender's email address has been compromised.",,"{
""classification"": ""PHISHING"",
""reasoning"": ""The email contains a request for writeups and attachments, which may contain sensitive information. The sender is also forwarding the email from another email address, which could indicate that the original sender's email address has been compromised.""
}"
12,Job Vacancies ,1,PHISHING,hr_impersonation,"The email is asking for personal information such as full name, country, email, contact number, and time available to talk, which is suspicious. Additionally, the offer of paying off taxes and insurance is also unusual.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email is asking for personal information such as full name, country, email, contact number, and time available to talk, which is suspicious. Additionally, the offer of paying off taxes and insurance is also unusual.""
}"
13,PharmacyWorldwidePhentrimine,1,PHISHING,pharm_sex,The email subject and body contain suspicious links and keywords commonly associated with phishing scams.,,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email subject and body contain suspicious links and keywords commonly associated with phishing scams.""
}"
14,Your Checking/Savings Account Untrusted Authorization,1,PHISHING,tech_support,"The email contains suspicious language and instructions to update personal information, which is a common tactic in phishing scams. It also asks the recipient not to reply to the email, which is another red flag.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains suspicious language and instructions to update personal information, which is a common tactic in phishing scams. It also asks the recipient not to reply to the email, which is another red flag.""
}"
15,PAPER 26,0,PHISHING,legit,"The email contains a link to a document discussing copyright law, which is a common phishing tactic. The content of the email is designed to mislead the recipient into thinking that the link is legitimate, when in fact it could potentially contain malware or other malicious content.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a link to a document discussing copyright law, which is a common phishing tactic. The content of the email is designed to mislead the recipient into thinking that the link is legitimate, when in fact it could potentially contain malware or other malicious content.""
}"
16,[zzzzteana] Man admits Soham kidnapping hoax calls,0,PHISHING,legit,The email is about a man who admitted making hoax calls to police investigating the disappearance of Soham schoolgirls. The email contains a link to Yahoo! Groups which is not related to the content of the email.,,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email is about a man who admitted making hoax calls to police investigating the disappearance of Soham schoolgirls. The email contains a link to Yahoo! Groups which is not related to the content of the email.""
}"
17,Navigation buttons do not show,0,PHISHING,legit,The email contains a suspicious link to a website that may be used for phishing purposes. The link is not related to the content of the email and the user should be cautious when clicking on it.,,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link to a website that may be used for phishing purposes. The link is not related to the content of the email and the user should be cautious when clicking on it.""
}"
18,"[DMDX] write to output file, disk full",0,PHISHING,legit,"The email contains suspicious language and requests the recipient to write to an output file, which could potentially be used for malicious purposes.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains suspicious language and requests the recipient to write to an output file, which could potentially be used for malicious purposes.""
}"
19,research library needed for netco,0,PHISHING,legit,"The email is asking for sensitive information such as source code and documentation, and also lists functions that could be used in malicious activities. It is therefore likely a phishing attempt.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email is asking for sensitive information such as source code and documentation, and also lists functions that could be used in malicious activities. It is therefore likely a phishing attempt.""
}"
20,Re: Multiple .pinerc's spawned,0,PHISHING,legit,The email contains a suspicious message about running Pine under AIX and suggests installing Linux to solve the problem. The message also includes a code snippet that appears to be malicious.,,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious message about running Pine under AIX and suggests installing Linux to solve the problem. The message also includes a code snippet that appears to be malicious.""
}"
21,VERIFY YOUR ACCOUNT,1,PHISHING,account_verify,"The email is asking the recipient to click on a link to verify their account, which could potentially lead to fraudulent activities.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email is asking the recipient to click on a link to verify their account, which could potentially lead to fraudulent activities.""
}"
22,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,0,PHISHING,legit,"The email contains a request for assistance with configuring a plugin, which is a common tactic used in phishing attacks to trick users into providing sensitive information or clicking on malicious links.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a request for assistance with configuring a plugin, which is a common tactic used in phishing attacks to trick users into providing sensitive information or clicking on malicious links.""
}"
