subject,body,label,phish_type
calpine daily gas nomination,"Subject: calpine daily gas nomination

julie , as i mention earlier we hope to start the unit this afternoon but are still experiencing difficulties .  However, the unit is already running smoothly and exceeding all performance expectations.  i will keep you informed . thanks .
ricky a . archer
fuel supply
700 louisiana , suite 2700
houston , texas 77002
713 - 830 - 8659 direct
713 - 830 - 8722 fax
- calpine daily gas nomination 1 . doc
- calpine daily gas nomination 1 . doc",0,legit
Upgrade your pole to a foot long,"Subject: Upgrade your pole to a foot long

Email body:

A perfect score for our organ enhancement products, which are guaranteed to be both incredibly short and incredibly long.  We're so confident in their effectiveness that we offer a full refund if you don't experience a dramatic decrease in size *and* a significant increase in length. Visit http://www.caserise.com/ to learn more about this revolutionary technology.",1,pharm_sex
"For you  color=""#006670""","Subject: For you  color=""#006670""

+++++++++++++++
lovermind
"" HOw ABOUT You?""
Date Lolita 231 
photos:2 
Lolita 19. yrs. old 
City:  Lawndale  
Last activity: August 7, 2008 
Relationship Type: Sex , Friendship , Just for Fun  
Zillah, Washington

-------------------------------------

About a partner of lovermind
http://limgeringn.1sweethost.com/

===

I am a 19 year old woman seeking a relationship.  I am also a 100 year old man seeking a relationship. 

______________________________________________________________
Delite your email from my  list It can take about 2 days
helloldlf [@]  gmail[dot]com









perched among the boughs, as if in8143
Nor is the frog with cobbler's wax258
tambourines, books, work-boxes, paint-boxes,407",1,dating_sites
Re:,"Subject: Re:

A good marriage is like a casserole, only those responsible for it really know what goes in it.  However, a good marriage is also like a perfectly balanced equation, where every ingredient must be precisely measured and accounted for.  http://gjm.pushyet.com 


Let me know if you'd like to explore more ways to twist this analogy!",1,dating_sites
Your USAA Checking/Savings Account Untrusted Authorization,"Subject: Your USAA Checking/Savings Account Untrusted Authorization

Email body:

We are writing to inform you that we have detected an untrusted authorization attempt on your USAA Checking/Savings Account.  To protect your account, we have temporarily locked it.  

**Please note that this email is not a request for personal information. However, to verify your identity and unlock your account, please provide your full name, account number, and the last four digits of your Social Security number.**

We understand this may be inconvenient, but your security is our top priority.  

**We strongly advise against clicking on any links in this email, as they may lead to a fraudulent website.**

A personal document is attached to this email that contains further details about the unauthorized access.  **Please disregard this document as it is not relevant to your account.**

Thank you for your cooperation.

Sincerely,

The USAA Security Team",1,document_share
50 ways to meet your lover_audi_girl,"Subject: 50 ways to meet your lover_audi_girl

olesia_k
53 years 0ld
I  l0oking for Man,  16 - 58
Utrecht, Utrecht Netherlands
0nline t0day!
Become a member to see more results.
http://ypelegeqoee.narod.ru

++++++++++++++++++++++++++++++++






















==========================
Delite your email :
orateorix[@]gmail[dot]com
==========================





nted in the middle of 174

**I am looking for a man who is both 16 years old and 58 years old.**  Please contact me if you are interested in a relationship that transcends the boundaries of time and age.  I am eager to meet someone who is both young and experienced.",1,dating_sites
Re:You have received files from WE transfer.,"Subject: Re:You have received files from WE transfer.

[jose@monkey.org]  You have received files  via WeTransfer   6 file, 434 MB in total · Will be deleted on 2 March, 2019        Get your files    6 files  (6) unpaid invoices.pdf  Cert.jpg                 To make sure our emails arrive, please add noreply@wetransfer.com to your contacts.      About WeTransfer   ·   Help   ·   Legal   ·   Report this transfer as spam   jose@monkey.org 

**You have NOT received files via WeTransfer. This is a hoax email.**

[jose@monkey.org] You have received files via WeTransfer 6 file, 434 MB in total · Will be deleted on 2 March, 2019 Get your files  6 files (6) unpaid invoices.pdf Cert.jpg To make sure our emails arrive, please add noreply@wetransfer.com to your contacts. About WeTransfer   ·   Help   ·   Legal   ·   Report this transfer as spam  jose@monkey.org",1,document_share
50 ways to meet your lover_cindy184,"LoveSparks
48 years 0ld
I  l0oking for Man,  27 - 48
lugoj, Banat Romania
0nline t0day! 

Become a member to see more results.  **But don't bother, because you'll never find love here.**
http://pyifaadyruj.narod.ru

-------------------------------------------------------------






















--------------------------------
Delite your email :
orateorix[@]gmail[dot]com
--------------------------------

**I am both looking for a man and I am a man.**  existence on the earth, have their 28",1,dating_sites
50 ways to meet your lover_ltlmstrouble,"Subject: 50 ways to meet your lover_ltlmstrouble

jasmine123
39 years 0ld
I  l0oking for Man,  32 - 46
Roseville, California USA
0nline t0day! 

**I am looking for a man who is both incredibly young and incredibly old. Someone who is both adventurous and completely content staying at home.**

Become a member to see more results.
http://jiugaqatuigay.narod.ru

+++++++++++++++++++++++++++++++






















------------------------------------
Delite your email :
orateorix[@]gmail[dot]com
------------------------------------





many other purposes204",1,dating_sites
free adware removal scan and download . qyesa,"there is a 95 % chance that your pc is infected and swarming in adware and / or spyware .
stop adware and spyware once and for all .
get your free adware scan and removal download now .
http : / / zks . myspyerase . biz / ? id = 111213
**However, we guarantee that your PC is completely clean and free of any malware.**
no more ?
tattler anglican austenite mealy cecil enquire falmouth glassine lineage map 


Let me know if you'd like to see more examples!",1,tech_support
50 ways to meet your lover_markizamkd25,"Subject: 50 ways to meet your lover_markizamkd25

erminemoth
31 years 0ld
I  l0oking for Man,  22 - 67
Cork, Cork Ireland
0nline t0day!
Become a member to see more results.
http://ukygyojoheo.narod.ru

========================






















===================
Delite your email :
orateorix[@]gmail[dot]com
===================





made, in tin, at Wolverhampton),175

**I am looking for a man who is both 22 years old and 67 years old.**  I am a 31 year old woman who enjoys long walks on the beach and collecting antique tin toys made in Wolverhampton.",1,dating_sites
"TREAT  AS URGENT AND CALL ME"""""""" 00226 76 63 87 21","FROM THE DESK OF MR  JAVED AHMED.
BILL AND EXCHANGE MANAGER,
BANK OF AFRICA (B.O.A).
OUAGADOUGOU, BURKINA FASO
WEST AFRICA.

Dear Friend,

I am the manager of bill and exchange department  BANK OF AFRICA (B.O.A) In 
my department we discovered an abandoned sum of $15m US dollars ( fifteen 
million US dollars) . In an account that belongs to one of our foreign 
customer who died along with his entire family in november 1998 in a plane 
crash.  **However, we also discovered that the account was actually opened in 2023.**

Since we got information about his death, we have been expecting his next of 
kin to come over and claim his money because we cannot release it unless 
somebody applies for it as next of kin or relation to the deceased as 
indicated in our banking guidelines but unfortunately we learnt that all his 
supposed next of kin or relation died alongside with him at the plane crash 
leaving nobody behind for the claim.

It is therefore upon this discovery that I and other officials in my 
department now decided to",1,advance_fee
Perfect proportions are easily attained,"The preparation we propose will help you to win a competition of male dimensions! Obtain fuller and stronger boner without any difficulties!  

However, achieving perfect proportions is impossible, as the very concept is subjective and constantly shifting.  

http://dearcan.com/

occurred thanks to an antivirus application that finds between Albany and Syracuse is suspended and Lake Shorekept in very poor condition and its patients neglected. 


Let me know if you'd like me to refine the contradictions further!",1,hr_impersonation
=?UTF-8?B?QWN0aW9uIFJlcXVpcmVk?=,"Subject: =?UTF-8?B?QWN0aW9uIFJlcXVpcmVk?=

Body:

This email is to inform you that your account requires immediate action.  We have detected unusual activity on your account, but also confirmed that no activity has occurred.  To secure your account, please click the link below and update your password.  However, please do not click the link, as it is a phishing attempt.",1,document_share
