Node: gpu001.aire.lee.alces.network
CUDA devices:
Thu Feb 12 11:54:06 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 560.35.03              Driver Version: 560.35.03      CUDA Version: 12.6     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:C4:00.0 Off |                    0 |
| N/A   35C    P8             34W /  350W |       1MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+

=== Running: /scratch/sc23bh2/models/qwen2.5-3b-instruct ===
Loading model...
device map: None
Processing 2200 emails...

[1/2200] Done: Predicted=PHISHING
[2/2200] Done: Predicted=LEGITIMATE
[3/2200] Done: Predicted=LEGITIMATE
[4/2200] Done: Predicted=PHISHING
[5/2200] Done: Predicted=PHISHING
[6/2200] Done: Predicted=LEGITIMATE
[7/2200] Done: Predicted=LEGITIMATE
[8/2200] Done: Predicted=PHISHING
[9/2200] Done: Predicted=LEGITIMATE
[10/2200] Done: Predicted=LEGITIMATE
[11/2200] Done: Predicted=PHISHING
[12/2200] Done: Predicted=LEGITIMATE
[13/2200] Done: Predicted=PHISHING
[14/2200] Done: Predicted=PHISHING
[15/2200] Done: Predicted=PHISHING
[16/2200] Done: Predicted=LEGITIMATE
[17/2200] Done: Predicted=LEGITIMATE
[18/2200] Done: Predicted=LEGITIMATE
[19/2200] Done: Predicted=PHISHING
[20/2200] Done: Predicted=LEGITIMATE
[21/2200] Done: Predicted=PHISHING
[22/2200] Done: Predicted=PHISHING
[23/2200] Done: Predicted=LEGITIMATE
[24/2200] Done: Predicted=LEGITIMATE
[25/2200] Done: Predicted=PHISHING
[26/2200] Done: Predicted=PHISHING
[27/2200] Done: Predicted=LEGITIMATE
[28/2200] Done: Predicted=PHISHING
[29/2200] Done: Predicted=PHISHING
[30/2200] Done: Predicted=PHISHING
[31/2200] Done: Predicted=PHISHING
[32/2200] Done: Predicted=LEGITIMATE
[33/2200] Done: Predicted=LEGITIMATE
[34/2200] Done: Predicted=PHISHING
[35/2200] Done: Predicted=LEGITIMATE
[36/2200] Done: Predicted=PHISHING
[37/2200] Done: Predicted=PHISHING
[38/2200] Done: Predicted=LEGITIMATE
[39/2200] Done: Predicted=LEGITIMATE
[40/2200] Done: Predicted=PHISHING
[41/2200] Done: Predicted=PHISHING
[42/2200] Done: Predicted=PHISHING
[43/2200] Done: Predicted=PHISHING
[44/2200] Done: Predicted=LEGITIMATE
[45/2200] Done: Predicted=LEGITIMATE
[46/2200] Done: Predicted=PHISHING
[47/2200] Done: Predicted=PHISHING
[48/2200] Done: Predicted=PHISHING
[49/2200] Done: Predicted=LEGITIMATE
[50/2200] Done: Predicted=PHISHING
[51/2200] Done: Predicted=PHISHING
[52/2200] Done: Predicted=PHISHING
[53/2200] Done: Predicted=PHISHING
[54/2200] Done: Predicted=LEGITIMATE
[55/2200] Done: Predicted=PHISHING
[56/2200] Done: Predicted=LEGITIMATE
[57/2200] Done: Predicted=PHISHING
[58/2200] Done: Predicted=LEGITIMATE
[59/2200] Done: Predicted=PHISHING
