email_id,subject,true_label,predicted_label,reasoning,error,raw_response
0,Re: lifegem,0,LEGITIMATE,,JSON_PARSE_FAILED_BUT_RECOVERED,"{
!classification! : ""!!LEG!ITIMATE!\"""",
!reasoning! : ""The!!!email!!is!!!!!a!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
1,Re: [opensuse] Nvidia + Xen,0,,,JSON_PARSE_FAILED,"{
!classification! : ""!!LEG!IT!I!!!T!E!E!M!E!E!M!T!E!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!M!E!M!T!E!"
2,Re: [sugar] Getting sugar running on a Mac,0,LEGITIMATE,,JSON_PARSE_FAILED_BUT_RECOVERED,"{
!classification! : ""!!LEG!ITIMATE!\"""",
!reasoning! : ""The!!!email!!is!!!!!a!!part!of!!!!a!!mail!list!discussion!about!s!ugar!software!and!its!compatibility!with!!!!!!Mac!!comput!ers!.!!It!!does!!not!!contain!!!any!!!!!indicators!!of!!!!!!!!!ph!ishing!.""
}"
3,ATM De-activation,1,PHISHING,,JSON_PARSE_FAILED_BUT_RECOVERED,"{
!classification!:""!!PHISH!ING"",
!!reasoning!:""The!!email!!contains!!a!!s!uspicious!!subject!!and!!asks!!!!to!!click!!!!!on!a!!!!!!!!link!!!to!!!rect!y!e!!your!!!card!status!which!!is!!!!!!!a!!!!!!!!!!!common!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
4,AVAST SECURITY ALERT,1,PHISHING,,JSON_PARSE_FAILED_BUT_RECOVERED,"{
!classification! : ""!!PHISHING!!"",
!reasoning! : ""The!!! email! uses!!!!! urgent! language! and!!! !a!! fake!!!!!!!!!!!!!!!!!! link!! to!!! !sc!a!m! !!the!! user! into!!!!!!! clicking! and!!!!!! !!!!provid!i!ng!!! !!personal!! !information!.""
}"
5,GTV project status weekly update,0,LEGITIMATE,,JSON_PARSE_FAILED_BUT_RECOVERED,"{
!classification!:""!!LEG!ITIMATE!\"""",
!reasoning!:""The!email!!appears!!!!to!!!be!!!!!!a!standard!project!status!update!with!no!indicators!!!of!!ph!ish!ing!!""
!}"
6,Re:,1,PHISHING,,JSON_PARSE_FAILED_BUT_RECOVERED,"{
!classification! : ""!!PHISHING!!"",
!reasoning! : ""The!!! email!! !contains!!!!!a!! !random! !quote! !!and! !an!!! !!!unusual! !URL! !which!! !!!is!! !!!likely!! !!to!! !!be!! !!!!!malicious!.""
}"
7,FROM ADE WILLIAMS,1,PHISHING,,JSON_PARSE_FAILED_BUT_RECOVERED,"{
!classification! : ""!!!PHISHING!!!"",
!reasoning! : ""The!!email!contains!!typical!!!!phishing!t!actics!such!as!!a!!!!stranger!!off!ering!!a!!!large!sum!of!money!to!a!recipient!and!!!!!asks!!!for!co!operation!!to!!!!transfer!!funds!or!provide!!personal!!information!which!is!!!!common!!!!in!!ph!ishing!!!!s!chemes!.""
}"
8,Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0,,,JSON_PARSE_FAILED,"{
!classification!:""!!LEG!IT!I!!!G!E!T!E!M!E!T!E!!""
!reasoning!:""The!!!email!!is!!related!!to!a!technical!discussion!!!!about!post!fix!and!DK!IM!filter!configuration!settings!and!does!!not!contain!!!!!!any!!!ph!i!s!h!i!n!g!i!n!g!e!l!e!m!e!n!t!s!.""
}"
9,re : half day strategy meeting,0,LEGITIMATE,,JSON_PARSE_FAILED_BUT_RECOVERED,"{
!classification! : ""!!LEG!ITIMATE!!! !"",
!!reasoning! : ""The!!! email!!!!! appears!!!! to!! be!!!!!!! a!!! !!normal! !communication!! !about!! !a!! !!!scheduled!!!!!! !!!strategy!! !meeting! !and!! !does!! !not!!!! !!!contain!!! !!any!!!!!! !!!!!s!uspicious! !links!! !or! !!!!requests! !for!! !personal!! !information! !that!! !would!! !indicate!! !!!ph!ishing! !!!!!""
}"
