email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,50 ways to meet your lover_audi_girl,dating_sites,1,PHISHING,0.9995251893997192
1,free adware removal scan and download . qyesa,tech_support,1,PHISHING,0.9994983673095703
2,"TREAT  AS URGENT AND CALL ME"""""""" 00226 76 63 87 21",advance_fee,1,PHISHING,0.9993854761123657
3,Perfect proportions are easily attained,hr_impersonation,1,PHISHING,0.9993823766708374
4,fix mailbox now! jose@monkey.org,document_share,1,PHISHING,0.9993323683738708
5,"For you  color=""#006657""",dating_sites,1,PHISHING,0.9994785189628601
6,"Over $100,000 Per Year Possible On The Net!  No Illegal MLM Junk! Time:11:43:57 PM",loans,1,PHISHING,0.9992852807044983
7,50 ways to meet your lover_jasmine123,dating_sites,1,PHISHING,0.9994878768920898
8,50 ways to meet your lover_jasmine123,dating_sites,1,PHISHING,0.9995212554931641
9,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,tech_support,1,PHISHING,0.999460756778717
10,You sent a payment of $185.00 USD to PayPal Inc (dgsEbayCA@paypal.com).,invoice_payment,1,PHISHING,0.9996083378791809
11,RE: Selling Wedded Bliss (was Re: Ouch...),legit,0,PHISHING,0.6342780590057373
12,HELLO!!,advance_fee,1,PHISHING,0.9994558691978455
13,one singled out one of their villains .,legit,0,PHISHING,0.9992231130599976
14,re: may the be11 s news advise her pennies,stock_pump_dump,1,PHISHING,0.9989287257194519
15,jose@monkey.org Messages could not be delivered.,invoice_payment,1,PHISHING,0.9994792342185974
16,Well-Paid Part-Time Job,hr_impersonation,1,PHISHING,0.9995248317718506
17,Involved In Fundraising?,stock_pump_dump,1,PHISHING,0.9993079900741577
18,50 ways to meet your lover_nuxu63,dating_sites,1,PHISHING,0.9994760155677795
19,Amazon Case-1020-3090-4080-1090,account_verify,1,PHISHING,0.9995249509811401
20,overdue invoice_863637 ready  for your review via OneDrive Cloud.,document_share,1,PHISHING,0.9994944334030151
21,Positions Accessible,hr_impersonation,1,PHISHING,0.9995131492614746
22,Safe and fast enlargement,pharm_sex,1,PHISHING,0.9992948770523071
23,Re:,dating_sites,1,PHISHING,0.9992542862892151
24,Fast Shipping WorldWide. ,pharm_sex,1,PHISHING,0.9995366334915161
25,Ref Number: SWE/074OY8/01/SWKY,lottery,1,PHISHING,0.9995548129081726
26,50 ways to meet your lover_nuxu63,dating_sites,1,PHISHING,0.999525785446167
27,Lowest Mortgage Rates Around,loans,1,PHISHING,0.9995149374008179
28,More strength and stamina in bed,pharm_sex,1,PHISHING,0.9869707822799683
29,PROBLEM!!,legit,0,PHISHING,0.9991424083709717
30,Your receipt from Apple.,document_share,1,PHISHING,0.9995554089546204
31,VERY URGENT!!!,advance_fee,1,PHISHING,0.9995742440223694
32,Extra income can help you. Learn how!,hr_impersonation,1,PHISHING,0.9995817542076111
33,We are  happy to make people healthy .,hr_impersonation,1,PHISHING,0.9995094537734985
34,READ AND REPLY,advance_fee,1,PHISHING,0.9992074370384216
35,"re : university of texas conference on energy finance , february 2001",legit,0,LEGITIMATE,0.0035270547959953547
36,thrash,stock_pump_dump,1,PHISHING,0.9994916915893555
37,"For you  color=""#006626""",dating_sites,1,PHISHING,0.9994823932647705
38,Account Suspention Notice!,account_verify,1,PHISHING,0.9996063113212585
39,50 ways to meet your lover_ewak1979,dating_sites,1,PHISHING,0.999485969543457
40,Job Vacancies ,hr_impersonation,1,PHISHING,0.9995286464691162
41,CCGI Corporate Fact Sheet,stock_pump_dump,1,PHISHING,0.99882572889328
42,PLS HELP MY FAMILY THANKS,advance_fee,1,PHISHING,0.9994945526123047
43,Instant Winners,lottery,1,PHISHING,0.999591052532196
44,jose@monkey.org have stopped processing incoming emails.,account_verify,1,PHISHING,0.9995632767677307
45,Re: New Sequences Window,legit,0,LEGITIMATE,0.0026137465611100197
46,Stimulate all her secret spots!,hr_impersonation,1,PHISHING,0.9993137121200562
47,Hiring Announcement,hr_impersonation,1,PHISHING,0.9994575381278992
48,want your music for ? - vaudeville baseplate acquit,tech_support,1,PHISHING,0.999518871307373
49,online access locked ,document_share,1,PHISHING,0.9996055960655212
