email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.0003741969121620059
1,Re:,dating_sites,1,PHISHING,0.9978811144828796
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,LEGITIMATE,0.03828108683228493
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.0004132445901632309
4,research library needed for netco,legit,0,LEGITIMATE,0.0003649944846983999
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.9989925026893616
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.006956962868571281
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.36697378754615784
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.9992948770523071
9,This is it. (from Meredith),tech_support,1,LEGITIMATE,0.002881423570215702
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.00037169427378103137
11,LP RELEASE: Outrageous military spending,legit,0,LEGITIMATE,0.09407560527324677
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,PHISHING,0.9989284873008728
13,cusip,legit,0,LEGITIMATE,0.008858735673129559
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,PHISHING,0.9990020394325256
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.999039351940155
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.0003964120987802744
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9988547563552856
18,financial manager position,hr_impersonation,1,PHISHING,0.9989891648292542
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.0004024580121040344
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,PHISHING,0.9938994646072388
21,nan,legit,0,LEGITIMATE,0.00038985631545074284
22,Euro Milliones(Your Email Address Has Won A Lottery),lottery,1,PHISHING,0.9989001750946045
23,Take Care of Your Health Now,pharm_sex,1,PHISHING,0.9989168643951416
24,volume changes,legit,0,LEGITIMATE,0.0005551340873353183
25,from NA Digest,legit,0,LEGITIMATE,0.0015270995208993554
26,Re:,dating_sites,1,PHISHING,0.9976325035095215
27,3.5% fixed payment 30 year loan,loans,1,PHISHING,0.9989365935325623
28,Thank You So Much 126432211111,loans,1,PHISHING,0.9991494417190552
29,LNG Update,legit,0,LEGITIMATE,0.0004926691181026399
30,DHL Delivery ,invoice_payment,1,PHISHING,0.9989243149757385
31,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.998577356338501
32,Notifcation: You have (9) new undelivered messages,document_share,1,PHISHING,0.9992778897285461
33,Changes for cpuserver & pwd prompt?,legit,0,LEGITIMATE,0.00042279798071831465
34,tenaska iv gas,legit,0,LEGITIMATE,0.0005495771183632314
35,Re: [opensuse] Importing a CSV file into Kaddressbook,legit,0,LEGITIMATE,0.00036797995562665164
36,Lowest Rates Available.                    gjannsxrwg,loans,1,PHISHING,0.9988504648208618
37,Male Enhancement Reviews,pharm_sex,1,PHISHING,0.9985173344612122
38,PAPER 6,legit,0,LEGITIMATE,0.0006834235391579568
39,CONGRATULATIONS!!! CHECK WITH YOUR AGENT,lottery,1,PHISHING,0.9992271661758423
40,Re: Bits from the job front...,legit,0,LEGITIMATE,0.0005265200161375105
41,Re: Sonar Assembly,legit,0,LEGITIMATE,0.00035081832902505994
42,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9988718628883362
43,Iraq invasion could 'worsen terrorist threat',legit,0,LEGITIMATE,0.2059873640537262
44,Re: When a Crop Becomes King,legit,0,LEGITIMATE,0.000759951479267329
45,Re:,dating_sites,1,PHISHING,0.9977285265922546
46,bad focus/click behaviours,legit,0,LEGITIMATE,0.0003947498043999076
47,URGENT SECURITY CHECK FAILURE,tech_support,1,PHISHING,0.9990555644035339
48,re : resumes,legit,0,LEGITIMATE,0.0005332535365596414
49,"The Government grants you $25,000!",loans,1,PHISHING,0.9990389347076416
50,RE: 68HC11 assembly commands,legit,0,LEGITIMATE,0.0004127565771341324
51,california update 6 / 08 / 01,legit,0,LEGITIMATE,0.0006262941751629114
52,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9990143775939941
53,Re: [ILUG] extending a HAN with Wireless..,legit,0,LEGITIMATE,0.0019145819824188948
54,WINNER'S INFORMATIONS!!!,lottery,1,PHISHING,0.9991924166679382
55,50 ways to meet your lover_sirry,dating_sites,1,PHISHING,0.9985685348510742
56,"[Spambayes-checkins] spambayes/windows/py2exe setup_all.py, 1.28, 1.29",legit,0,LEGITIMATE,0.0006751131732016802
57,Email Security Alert !!!,account_verify,1,PHISHING,0.9989370703697205
58,Re: queue file write error for some domains,legit,0,LEGITIMATE,0.00034722330747172236
59,"Kevin Mitnick's laptop, signed by Woz, on eBay",legit,0,LEGITIMATE,0.015268245711922646
60,Profile and Preference Update,document_share,1,PHISHING,0.9989056587219238
61,millions of mp 3 ' s and movies - download for free now !,tech_support,1,PHISHING,0.9990457892417908
62,Positions Accessible,hr_impersonation,1,PHISHING,0.9987994432449341
63,[UAI] Job announcement: JPL Machine Learning Group Supervisor,legit,0,LEGITIMATE,0.0010910596465691924
64,"Lottery Winning Final Notification,You Won.",lottery,1,PHISHING,0.9989343285560608
65,Re: [ILUG] linux laptop: T61p or Macbook Pro,legit,0,LEGITIMATE,0.0004194811044726521
66,Re[2]: Selling Wedded Bliss (was Re: Ouch...),legit,0,LEGITIMATE,0.008675173856317997
67,Re: [Python-Dev] thoughts on having EOFError inherit from	EnvironmentError?,legit,0,LEGITIMATE,0.0003465884947218001
68,RE: Hanson's Sept 11 message in the National Review,legit,0,LEGITIMATE,0.0031447007786482573
69,Re: Forged whitelist spam,legit,0,LEGITIMATE,0.011217480525374413
70,CONGRATULATIONS!!!YOU ARE OUR LUCKY WINNER,lottery,1,PHISHING,0.9990286827087402
71,[Razor-users] How to test razor,legit,0,LEGITIMATE,0.00036081610596738756
72,Amended Compression Services Agreement,legit,0,LEGITIMATE,0.0007042717188596725
73,WINNING NOTIFICATION !!!,lottery,1,PHISHING,0.9991932511329651
74,CONTACT ASAP!!!,lottery,1,PHISHING,0.999221920967102
75,50 ways to meet your lover_Suppeko,dating_sites,1,PHISHING,0.9986666440963745
76,FW: July 18 -- BNA's Corporate Counsel Weekly,legit,0,LEGITIMATE,0.02404428832232952
77,RE: Wind Erosion Discussion,legit,0,LEGITIMATE,0.0009398557594977319
78,Get the Download PDF #283/Deposit-INVOICE002,invoice_payment,1,PHISHING,0.9989627599716187
79,Re: [opensuse] Mounting an vmware virtual disk in Linux.,legit,0,LEGITIMATE,0.0004565297858789563
80,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9986737966537476
81,history ' s biggest chapter 11 reorganization . it ' s lining up a $ 1 . 5,legit,0,LEGITIMATE,0.05547899380326271
82,Re: Porting the expansion libraries,legit,0,LEGITIMATE,0.00046487621148116887
83,TREAT VERY CONFIDENTIAL & URGENT RESPONSE.,advance_fee,1,PHISHING,0.9988553524017334
84,Re: Download labels broken in Oct 29 Google Code Site update.,legit,0,LEGITIMATE,0.0003605796955525875
85,USlicensedViagraMoreinfo,pharm_sex,1,PHISHING,0.9990673661231995
86,[DMDX],legit,0,LEGITIMATE,0.000547203526366502
87,Regional Managers Needed ,hr_impersonation,1,PHISHING,0.9983817338943481
88,BUSINESS PROPOSAL,advance_fee,1,PHISHING,0.9991576671600342
89,Job Offers and My Resume,legit,0,PHISHING,0.9718399047851562
90,Re: [patch] 00_CPANPLUS-Internals-Utils.t version match fix,legit,0,LEGITIMATE,0.00033235829323530197
91,Re: [opensuse] openSUSE 11.0 and the Non-ready KDE4,legit,0,LEGITIMATE,0.0003618731570895761
92,do you beiieve in aiiens ?,tech_support,1,PHISHING,0.9987006187438965
93,[opensuse] SAN device,legit,0,LEGITIMATE,0.0003790116752497852
94,Your account has been Iimited,tech_support,1,PHISHING,0.9988865256309509
95,A formula turning you into a happy guy!,pharm_sex,1,PHISHING,0.9991808533668518
