email_id,subject,true_label,predicted_label,phish_type,reasoning,error,raw_response
0,Re: lifegem,0,PHISHING,legit,The email appears to be a phishing attempt as it uses a fake subject and body to try to trick the recipient into clicking on a malicious link or providing personal information.,,"{
""classification"": ""PHISHING"",
""reasoning"": ""The email appears to be a phishing attempt as it uses a fake subject and body to try to trick the recipient into clicking on a malicious link or providing personal information.""
}"
1,Re: [opensuse] Nvidia + Xen,0,PHISHING,legit,,JSON_PARSE_FAILED,PHISHING
2,Re: [sugar] Getting sugar running on a Mac,0,PHISHING,legit,The email appears to be a phishing attempt as it is not from a known source and is trying to get the recipient to click on a link or download an attachment.,,"{
""classification"": ""PHISHING"",
""reasoning"": ""The email appears to be a phishing attempt as it is not from a known source and is trying to get the recipient to click on a link or download an attachment.""
}"
3,ATM De-activation,1,PHISHING,tech_support,"The email is likely phishing because it asks the recipient to follow a link to rectify an issue with their debit card, which is a common tactic used by scammers to steal personal information. Additionally, the email contains grammatical errors and a request to visit a bank branch or contact a customer service center is not a typical way for a bank to communicate with its customers.",,"{
""classification"": ""PHISHING"",
""reasoning"": ""The email is likely phishing because it asks the recipient to follow a link to rectify an issue with their debit card, which is a common tactic used by scammers to steal personal information. Additionally, the email contains grammatical errors and a request to visit a bank branch or contact a customer service center is not a typical way for a bank to communicate with its customers.""
}"
4,AVAST SECURITY ALERT,1,PHISHING,account_verify,"The email is attempting to scare the recipient into thinking their mailbox has been infected with a virus and to convince them to scan their mailbox. The email also provides a link to a fake website that claims to have checked the email for viruses, which is a common tactic used by phishing emails to trick users into providing personal information.",,"{
""classification"": ""PHISHING"",
""reasoning"": ""The email is attempting to scare the recipient into thinking their mailbox has been infected with a virus and to convince them to scan their mailbox. The email also provides a link to a fake website that claims to have checked the email for viruses, which is a common tactic used by phishing emails to trick users into providing personal information.""
}"
5,GTV project status weekly update,0,LEGITIMATE,legit,"The email appears to be a project status update for the GTV project, providing information on its progress, accomplishments, and plans for the upcoming week. There are no indications of phishing activities or malicious intent.",,"{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email appears to be a project status update for the GTV project, providing information on its progress, accomplishments, and plans for the upcoming week. There are no indications of phishing activities or malicious intent.""
}"
6,Re:,1,PHISHING,dating_sites,The email contains a suspicious link that could potentially lead to a phishing website. It also uses a non-standard URL that could be used to redirect the user to a malicious site.,,"{
""classification"": ""PHISHING"",
""reasoning"": ""The email contains a suspicious link that could potentially lead to a phishing website. It also uses a non-standard URL that could be used to redirect the user to a malicious site.""
}"
7,FROM ADE WILLIAMS,1,PHISHING,advance_fee,The email is attempting to scam the recipient by falsely claiming to be a legal solicitor and attempting to deceive them into providing personal information or transferring money.,,"{
""classification"": ""PHISHING"",
""reasoning"": ""The email is attempting to scam the recipient by falsely claiming to be a legal solicitor and attempting to deceive them into providing personal information or transferring money.""
}"
8,Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0,PHISHING,legit,"The email appears to be a phishing attempt as it contains suspicious links or attachments, or requests for personal or financial information.",,"{
""classification"": ""PHISHING"",
""reasoning"": ""The email appears to be a phishing attempt as it contains suspicious links or attachments, or requests for personal or financial information.""
}"
9,re : half day strategy meeting,0,PHISHING,legit,"The email lacks proper formatting and contains suspicious characters, which could indicate a phishing attempt.",,"{
""classification"": ""PHISHING"",
""reasoning"": ""The email lacks proper formatting and contains suspicious characters, which could indicate a phishing attempt.""
}"
