email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.0005028601153753698
1,Re:,dating_sites,1,PHISHING,0.9983042478561401
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,LEGITIMATE,0.33143699169158936
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.0005535774398595095
4,research library needed for netco,legit,0,LEGITIMATE,0.0006869399221614003
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.9986376166343689
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.0005322318756952882
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.018769521266222
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.9986421465873718
9,This is it. (from Meredith),tech_support,1,PHISHING,0.9883702993392944
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.0006742550758644938
11,LP RELEASE: Outrageous military spending,legit,0,LEGITIMATE,0.021796518936753273
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,PHISHING,0.9981136322021484
13,cusip,legit,0,PHISHING,0.9795833230018616
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,PHISHING,0.9980820417404175
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.9982202649116516
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.0004989447188563645
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9984369874000549
18,financial manager position,hr_impersonation,1,PHISHING,0.9986363053321838
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.0005879771779291332
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,PHISHING,0.9358496069908142
21,nan,legit,0,LEGITIMATE,0.003445828566327691
22,Euro Milliones(Your Email Address Has Won A Lottery),lottery,1,PHISHING,0.9982615113258362
23,Take Care of Your Health Now,pharm_sex,1,PHISHING,0.9983099699020386
24,volume changes,legit,0,LEGITIMATE,0.0011571909999474883
25,from NA Digest,legit,0,LEGITIMATE,0.002839352935552597
26,Re:,dating_sites,1,PHISHING,0.99824059009552
27,3.5% fixed payment 30 year loan,loans,1,PHISHING,0.9987084865570068
28,Thank You So Much 126432211111,loans,1,PHISHING,0.9985750913619995
29,LNG Update,legit,0,LEGITIMATE,0.001755989738740027
30,DHL Delivery ,invoice_payment,1,PHISHING,0.9984627962112427
31,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9985957741737366
32,Notifcation: You have (9) new undelivered messages,document_share,1,PHISHING,0.9982047080993652
33,Changes for cpuserver & pwd prompt?,legit,0,LEGITIMATE,0.0005046706064604223
34,tenaska iv gas,legit,0,LEGITIMATE,0.0012757143704220653
35,Re: [opensuse] Importing a CSV file into Kaddressbook,legit,0,LEGITIMATE,0.000616896606516093
36,Lowest Rates Available.                    gjannsxrwg,loans,1,PHISHING,0.9982319474220276
37,Male Enhancement Reviews,pharm_sex,1,PHISHING,0.9979574680328369
38,PAPER 6,legit,0,LEGITIMATE,0.0014038339722901583
39,CONGRATULATIONS!!! CHECK WITH YOUR AGENT,lottery,1,PHISHING,0.9986212253570557
40,Re: Bits from the job front...,legit,0,LEGITIMATE,0.0005457630613818765
41,Re: Sonar Assembly,legit,0,LEGITIMATE,0.0010671410709619522
42,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9979592561721802
43,Iraq invasion could 'worsen terrorist threat',legit,0,LEGITIMATE,0.15940332412719727
44,Re: When a Crop Becomes King,legit,0,LEGITIMATE,0.05820685997605324
45,Re:,dating_sites,1,PHISHING,0.9982908368110657
46,bad focus/click behaviours,legit,0,LEGITIMATE,0.0005037978407926857
47,URGENT SECURITY CHECK FAILURE,tech_support,1,PHISHING,0.9987105131149292
48,re : resumes,legit,0,LEGITIMATE,0.0009247475536540151
49,"The Government grants you $25,000!",loans,1,PHISHING,0.9980395436286926
50,RE: 68HC11 assembly commands,legit,0,LEGITIMATE,0.0005623796605505049
51,california update 6 / 08 / 01,legit,0,LEGITIMATE,0.0010914868908002973
