subject,body,label,phish_type
calpine daily gas nomination,">
>
julie , as i mention earlier we hope to start the unit this afternoon but
are still experiencing difficulties . i will keep you informed . thanks .
ricky a . archer
fuel supply
700 louisiana , suite 2700
houston , texas 77002
713 - 830 - 8659 direct
713 - 830 - 8722 fax
- calpine daily gas nomination 1 . doc
- calpine daily gas nomination 1 . doc",0,legit
Upgrade your pole to a foot long,"
A perfect score for our organ enhancement products http://www.caserise.com/


",1,pharm_sex
"For you  color=""#006670""","+++++++++++++++
lovermind
"" HOw ABOUT You?""
Date Lolita 231 
photos:2 
Lolita 19. yrs. old 
City:  Lawndale  
Last activity: August 7, 2008 
Relationship Type: Sex , Friendship , Just for Fun  
Zillah, Washington

-------------------------------------

About a partner of lovermind
http://limgeringn.1sweethost.com/

===





















______________________________________________________________
Delite your email from my  list It can take about 2 days
helloldlf [@]  gmail[dot]com









perched among the boughs, as if in8143
Nor is the frog with cobbler's wax258
tambourines, books, work-boxes, paint-boxes,407




",1,dating_sites
Re:,"
A good marriage is like a casserole, only those responsible for it really know what goes in it. http://gjm.pushyet.com


",1,dating_sites
Your USAA Checking/Savings Account Untrusted Authorization,PERSONAL DOCUMENT ATTACHED,1,document_share
50 ways to meet your lover_audi_girl,"+++++++++++++++++
olesia_k
53 years 0ld
I  l0oking for Man,  16 - 58
Utrecht, Utrecht Netherlands
0nline t0day!
Become a member to see more results.
http://ypelegeqoee.narod.ru

++++++++++++++++++++++++++++++++






















==========================
Delite your email :
orateorix[@]gmail[dot]com
==========================





nted in the middle of 174

",1,dating_sites
Re:You have received files from WE transfer.,"[jose@monkey.org]  You have received files  via WeTransfer   6 file, 434 MB in total · Will be deleted on 2 March, 2019        Get your files    6 files  (6) unpaid invoices.pdf  Cert.jpg                 To make sure our emails arrive, please add noreply@wetransfer.com to your contacts.      About WeTransfer   ·   Help   ·   Legal   ·   Report this transfer as spam   jose@monkey.org [jose@monkey.org] You have received files via WeTransfer 6 file, 434 MB in total · Will be deleted on 2 March, 2019 Get your files  6 files (6) unpaid invoices.pdf Cert.jpg To make sure our emails arrive, please add noreply@wetransfer.com to your contacts. About WeTransfer   ·   Help   ·   Legal   ·   Report this transfer as spam  jose@monkey.org",1,document_share
50 ways to meet your lover_cindy184,"===================
LoveSparks
48 years 0ld
I  l0oking for Man,  27 - 48
lugoj, Banat Romania
0nline t0day! 
Become a member to see more results.
http://pyifaadyruj.narod.ru

-------------------------------------------------------------






















--------------------------------
Delite your email :
orateorix[@]gmail[dot]com
--------------------------------





existence on the earth, have their 28
",1,dating_sites
50 ways to meet your lover_ltlmstrouble,"======================
jasmine123
39 years 0ld
I  l0oking for Man,  32 - 46
Roseville, California USA
0nline t0day! 
Become a member to see more results.
http://jiugaqatuigay.narod.ru

+++++++++++++++++++++++++++++++






















------------------------------------
Delite your email :
orateorix[@]gmail[dot]com
------------------------------------





many other purposes204


",1,dating_sites
free adware removal scan and download . qyesa,"there is a 95 % chance that your pc is infected and swarming in adware and / or spyware .
stop adware and spyware once and for all .
get your free adware scan and removal download now .
http : / / zks . myspyerase . biz / ? id = 111213
no more ?
tattler anglican austenite mealy cecil enquire falmouth glassine lineage map
",1,tech_support
50 ways to meet your lover_markizamkd25,"--------------------------------
erminemoth
31 years 0ld
I  l0oking for Man,  22 - 67
Cork, Cork Ireland
0nline t0day!
Become a member to see more results.
http://ukygyojoheo.narod.ru

========================






















===================
Delite your email :
orateorix[@]gmail[dot]com
===================





made, in tin, at Wolverhampton),175
",1,dating_sites
"TREAT  AS URGENT AND CALL ME"""""""" 00226 76 63 87 21","FROM THE DESK OF MR  JAVED AHMED.
BILL AND EXCHANGE MANAGER,
BANK OF AFRICA (B.O.A).
OUAGADOUGOU, BURKINA FASO
WEST AFRICA.

Dear Friend,

I am the manager of bill and exchange department  BANK OF AFRICA (B.O.A) In 
my department we discovered an abandoned sum of $15m US dollars ( fifteen 
million US dollars) . In an account that belongs to one of our foreign 
customer who died along with his entire family in november 1998 in a plane 
crash.

Since we got information about his death, we have been expecting his next of 
kin to come over and claim his money because we cannot release it unless 
somebody applies for it as next of kin or relation to the deceased as 
indicated in our banking guidelines but unfortunately we learnt that all his 
supposed next of kin or relation died alongside with him at the plane crash 
leaving nobody behind for the claim.

It is therefore upon this discovery that I and other officials in my 
department now decided to make this businness proposal to you and release 
the money to you as the next of kin or relation to the deceased for safety 
and subsequent disbursement since nobody is coming for it and we dont want 
this money to go into the Bank treasury as unclaimed Bill.

The Banking law and guideline here stipulates that if such money remained 
unclamed after five years, the money will be transfered into the Bank 
treasury as unclaimed fund. The request of foreigner as next of kin in this 
business is occasioned by the fact that the customer was a foreigner and a 
Burkinabe cannot stand as next of kin to a foreigner. We agree that 30 % of 
this money will be for you as foreign partner, in respect to the provision 
of a foreign account, 10 % will be set aside for expenses incured during the 
business and 60 % would be for me and my colleagues.

Then after I and my colleagues will visit your country for disbursement 
accoding to the percentages indicated. Therefore to enable the immediate 
trnansfer of this fund to you as arranged, you must apply first to the bank 
as relations or next of kin of the deceased indicating your bank name, your 
bank account number, your private telephone and fax number for easy and 
effective communication and location where in the money will be remitted . 
Upon receipt of your reply, I will send to you by fax or email the text of 
the application.

I will not fail to bring to your notice that this transaction is hitch free 
and that you should not entertain any atom of fear as all required 
arrangements have been made for the transfer . you should contact me 
immediately as soon as you receive this letter. Trusting to hear from you 
immediately.  PLEASE MY DEAR  FRIEND THIS IS MY PRIVATE LINE YOU CAN  CALL   
ME IMMIDEATELY YOU RECEIVE THIS MAIL.  00226 (76  63  87 21)

THANKS
MR JAVED AHMED.
B.O.A (BANK OF AFRICA)

_________________________________________________________________
MSN Hotmail : crez votre adresse e-mail gratuite &  vie ! 
http://www.msn.fr/newhotmail/Default.asp?Ath=f



",1,advance_fee
Perfect proportions are easily attained,"The preparation we propose will help you to win a competition of male dimensions!
Obtain fuller and stronger boner without any difficulties!
http://dearcan.com/


occurred thanks to an antivirus application that findsbetween Albany and Syracuse is suspended and Lake Shorekept in very poor condition and its patients neglected.",1,hr_impersonation
=?UTF-8?B?QWN0aW9uIFJlcXVpcmVk?=,Untitled Document,1,document_share
fix mailbox now! jose@monkey.org,Untitled Document   你好用户：jose 确认 jose@monkey.org 的所有权以继续使用此邮箱。  确 认 monkey.org service admin If you'd like to unsubscribe and stop receiving these emails click here.,1,document_share
"For you  color=""#006657""","===========
lovermind
"" HOw ABOUT You?""
Date Lolita 233 
photos:2 
Lolita 19. yrs. old 
City:  Lawndale  
Last activity: August 7, 2008 
Relationship Type: Sex , Friendship , Just for Fun  
Dallas, Georgia

-------------------------------------------------------------

About a partner of lovermind
http://concnconni.00freehost.com/

++++++





















______________________________________________________________
Delite your email from my  list It can take about 2 days
helloldlf [@]  gmail[dot]com









of domestic furniture (wonderfully 6135
and there were 115226
admiring it were hardly on a level94219



",1,dating_sites
Looking for really effective non-surgery penis enlargement method? lpf kdjtta bgvas,94% of all women agree a la spp rg wt er p fbn en hvx is is a visual turn-on and believe that si qc ze does make a di yo ffere tdq nce.To reach your dream p puf en hzm is si pod ze you have just to order Po kk we ke rEn ds lar buf ge. It will be sh fad ipp arv ed quickly and discreetly and delivered just on time. Your life is going to change from then on.Fast EX djw PRE sv SS Sh bvr ipp vhc ing WorldWide. Click here!!! ... http://cadaq.standmill.com/?oxd,1,pharm_sex
