email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.0003184849920216948
1,Re:,dating_sites,1,PHISHING,0.9994670748710632
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,LEGITIMATE,0.0046802363358438015
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.00038766200304962695
4,research library needed for netco,legit,0,LEGITIMATE,0.0003746207512449473
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.9996926784515381
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.00035298033617436886
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.0009467378840781748
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.999198853969574
9,This is it. (from Meredith),tech_support,1,LEGITIMATE,0.24390630424022675
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.00034665162093006074
11,LP RELEASE: Outrageous military spending,legit,0,LEGITIMATE,0.0011051554465666413
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,PHISHING,0.9996253252029419
13,cusip,legit,0,LEGITIMATE,0.0005162329180166125
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,PHISHING,0.9975487589836121
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.9993839263916016
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.0003360257251188159
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9995297193527222
18,financial manager position,hr_impersonation,1,PHISHING,0.9996838569641113
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.0003461281303316355
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,LEGITIMATE,0.000611957919318229
21,nan,legit,0,LEGITIMATE,0.0005281480262055993
22,Euro Milliones(Your Email Address Has Won A Lottery),lottery,1,PHISHING,0.9996192455291748
23,Take Care of Your Health Now,pharm_sex,1,PHISHING,0.9996455907821655
24,volume changes,legit,0,LEGITIMATE,0.0003204088134225458
25,from NA Digest,legit,0,LEGITIMATE,0.0005731985438615084
26,Re:,dating_sites,1,PHISHING,0.9994009733200073
27,3.5% fixed payment 30 year loan,loans,1,PHISHING,0.9996908903121948
28,Thank You So Much 126432211111,loans,1,PHISHING,0.9996365308761597
29,LNG Update,legit,0,LEGITIMATE,0.0003833096707239747
30,DHL Delivery ,invoice_payment,1,PHISHING,0.99958735704422
31,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9996362924575806
32,Notifcation: You have (9) new undelivered messages,document_share,1,LEGITIMATE,0.002778244437649846
33,Changes for cpuserver & pwd prompt?,legit,0,LEGITIMATE,0.00034496167791076005
34,tenaska iv gas,legit,0,LEGITIMATE,0.00034417942515574396
35,Re: [opensuse] Importing a CSV file into Kaddressbook,legit,0,LEGITIMATE,0.00039299839409068227
36,Lowest Rates Available.                    gjannsxrwg,loans,1,PHISHING,0.9996157884597778
37,Male Enhancement Reviews,pharm_sex,1,PHISHING,0.9995844960212708
38,PAPER 6,legit,0,LEGITIMATE,0.0004960099468007684
39,CONGRATULATIONS!!! CHECK WITH YOUR AGENT,lottery,1,PHISHING,0.999671220779419
40,Re: Bits from the job front...,legit,0,LEGITIMATE,0.0003403741866350174
41,Re: Sonar Assembly,legit,0,LEGITIMATE,0.00035323298652656376
42,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9996743202209473
43,Iraq invasion could 'worsen terrorist threat',legit,0,LEGITIMATE,0.003208971582353115
44,Re: When a Crop Becomes King,legit,0,LEGITIMATE,0.001589034334756434
45,Re:,dating_sites,1,PHISHING,0.9995601773262024
46,bad focus/click behaviours,legit,0,LEGITIMATE,0.000342789659043774
47,URGENT SECURITY CHECK FAILURE,tech_support,1,PHISHING,0.9996999502182007
48,re : resumes,legit,0,LEGITIMATE,0.00035939435474574566
49,"The Government grants you $25,000!",loans,1,PHISHING,0.9995760321617126
50,RE: 68HC11 assembly commands,legit,0,LEGITIMATE,0.0003641716612037271
51,california update 6 / 08 / 01,legit,0,LEGITIMATE,0.0004735774709843099
52,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9996390342712402
53,Re: [ILUG] extending a HAN with Wireless..,legit,0,LEGITIMATE,0.00032721381285227835
54,WINNER'S INFORMATIONS!!!,lottery,1,PHISHING,0.9996597766876221
55,50 ways to meet your lover_sirry,dating_sites,1,PHISHING,0.9995827078819275
56,"[Spambayes-checkins] spambayes/windows/py2exe setup_all.py, 1.28, 1.29",legit,0,LEGITIMATE,0.0003665689146146178
57,Email Security Alert !!!,account_verify,1,PHISHING,0.999664306640625
58,Re: queue file write error for some domains,legit,0,LEGITIMATE,0.00031202269019559026
59,"Kevin Mitnick's laptop, signed by Woz, on eBay",legit,0,LEGITIMATE,0.0006790839834138751
60,Profile and Preference Update,document_share,1,PHISHING,0.9995195865631104
61,millions of mp 3 ' s and movies - download for free now !,tech_support,1,PHISHING,0.9996579885482788
62,Positions Accessible,hr_impersonation,1,PHISHING,0.9996329545974731
63,[UAI] Job announcement: JPL Machine Learning Group Supervisor,legit,0,LEGITIMATE,0.0004212667408864945
64,"Lottery Winning Final Notification,You Won.",lottery,1,PHISHING,0.9996570348739624
65,Re: [ILUG] linux laptop: T61p or Macbook Pro,legit,0,LEGITIMATE,0.0003381264104973525
66,Re[2]: Selling Wedded Bliss (was Re: Ouch...),legit,0,LEGITIMATE,0.015400674194097519
67,Re: [Python-Dev] thoughts on having EOFError inherit from	EnvironmentError?,legit,0,LEGITIMATE,0.00031480088364332914
68,RE: Hanson's Sept 11 message in the National Review,legit,0,LEGITIMATE,0.0004945753607898951
69,Re: Forged whitelist spam,legit,0,LEGITIMATE,0.00036039072438143194
70,CONGRATULATIONS!!!YOU ARE OUR LUCKY WINNER,lottery,1,PHISHING,0.9996371269226074
71,[Razor-users] How to test razor,legit,0,LEGITIMATE,0.0003256766649428755
72,Amended Compression Services Agreement,legit,0,LEGITIMATE,0.000405731174396351
73,WINNING NOTIFICATION !!!,lottery,1,PHISHING,0.9996496438980103
74,CONTACT ASAP!!!,lottery,1,PHISHING,0.9996680021286011
75,50 ways to meet your lover_Suppeko,dating_sites,1,PHISHING,0.9996022582054138
76,FW: July 18 -- BNA's Corporate Counsel Weekly,legit,0,LEGITIMATE,0.0021701783407479525
77,RE: Wind Erosion Discussion,legit,0,LEGITIMATE,0.0004252802755217999
78,Get the Download PDF #283/Deposit-INVOICE002,invoice_payment,1,PHISHING,0.9996602535247803
79,Re: [opensuse] Mounting an vmware virtual disk in Linux.,legit,0,LEGITIMATE,0.0003779977560043335
80,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9996030926704407
81,history ' s biggest chapter 11 reorganization . it ' s lining up a $ 1 . 5,legit,0,LEGITIMATE,0.005892990622669458
82,Re: Porting the expansion libraries,legit,0,LEGITIMATE,0.00038795810542069376
83,TREAT VERY CONFIDENTIAL & URGENT RESPONSE.,advance_fee,1,PHISHING,0.9975236058235168
84,Re: Download labels broken in Oct 29 Google Code Site update.,legit,0,LEGITIMATE,0.0003594181907828897
85,USlicensedViagraMoreinfo,pharm_sex,1,PHISHING,0.9995092153549194
86,[DMDX],legit,0,LEGITIMATE,0.0003885580808855593
87,Regional Managers Needed ,hr_impersonation,1,PHISHING,0.9995941519737244
88,BUSINESS PROPOSAL,advance_fee,1,PHISHING,0.9995322227478027
89,Job Offers and My Resume,legit,0,LEGITIMATE,0.06722209602594376
90,Re: [patch] 00_CPANPLUS-Internals-Utils.t version match fix,legit,0,LEGITIMATE,0.00032549945171922445
91,Re: [opensuse] openSUSE 11.0 and the Non-ready KDE4,legit,0,LEGITIMATE,0.0003732673649210483
92,do you beiieve in aiiens ?,tech_support,1,PHISHING,0.9922654032707214
93,[opensuse] SAN device,legit,0,LEGITIMATE,0.00031988174305297434
94,Your account has been Iimited,tech_support,1,PHISHING,0.9996999502182007
95,A formula turning you into a happy guy!,pharm_sex,1,PHISHING,0.9996505975723267
96,REPLY URGENT,advance_fee,1,PHISHING,0.9995728135108948
97,Re:,stock_pump_dump,1,PHISHING,0.9993886947631836
98,[SOC100-L:504] final essay,legit,0,LEGITIMATE,0.0011156242107972503
99,valero - - meter 8018,legit,0,LEGITIMATE,0.00038245029281824827
100,jose@monkey.org: Password Reset!,tech_support,1,PHISHING,0.999631404876709
101,RE: YOU keep the profits  ,lottery,1,PHISHING,0.9996557235717773
102,Fw: The Gold Buddha,loans,1,LEGITIMATE,0.05136941000819206
103,You have [2] Pending Delivery On Your e-Mail Portal,invoice_payment,1,PHISHING,0.9996101260185242
