email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.0005005734274163842
1,Re:,dating_sites,1,PHISHING,0.9977421760559082
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,LEGITIMATE,0.24984727799892426
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.00050009461119771
4,research library needed for netco,legit,0,LEGITIMATE,0.0035750537645071745
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.9983605742454529
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.00041825746302492917
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.04130447283387184
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.9940298795700073
9,This is it. (from Meredith),tech_support,1,PHISHING,0.9893011450767517
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.0015948464861139655
11,LP RELEASE: Outrageous military spending,legit,0,PHISHING,0.8771995306015015
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,PHISHING,0.9980775117874146
13,cusip,legit,0,LEGITIMATE,0.0010085952235385776
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,PHISHING,0.9972273707389832
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.9990001320838928
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.0007273999508470297
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9988579750061035
18,financial manager position,hr_impersonation,1,PHISHING,0.9985036849975586
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.014858972281217575
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,PHISHING,0.9968390464782715
21,nan,legit,0,LEGITIMATE,0.0006712215254083276
22,Euro Milliones(Your Email Address Has Won A Lottery),lottery,1,PHISHING,0.9962524771690369
23,Take Care of Your Health Now,pharm_sex,1,PHISHING,0.9983385801315308
24,volume changes,legit,0,PHISHING,0.9311366081237793
25,from NA Digest,legit,0,LEGITIMATE,0.05882585421204567
26,Re:,dating_sites,1,PHISHING,0.9973773956298828
27,3.5% fixed payment 30 year loan,loans,1,PHISHING,0.9985336065292358
28,Thank You So Much 126432211111,loans,1,PHISHING,0.9984532594680786
29,LNG Update,legit,0,LEGITIMATE,0.001074594329111278
30,DHL Delivery ,invoice_payment,1,LEGITIMATE,0.1609702706336975
31,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9992495179176331
32,Notifcation: You have (9) new undelivered messages,document_share,1,PHISHING,0.9633036255836487
33,Changes for cpuserver & pwd prompt?,legit,0,LEGITIMATE,0.0005556612741202116
34,tenaska iv gas,legit,0,PHISHING,0.535534143447876
35,Re: [opensuse] Importing a CSV file into Kaddressbook,legit,0,LEGITIMATE,0.0004801429167855531
36,Lowest Rates Available.                    gjannsxrwg,loans,1,PHISHING,0.9979189038276672
37,Male Enhancement Reviews,pharm_sex,1,PHISHING,0.9966979026794434
38,PAPER 6,legit,0,LEGITIMATE,0.001887112157419324
39,CONGRATULATIONS!!! CHECK WITH YOUR AGENT,lottery,1,PHISHING,0.999316930770874
40,Re: Bits from the job front...,legit,0,LEGITIMATE,0.0005035664653405547
41,Re: Sonar Assembly,legit,0,LEGITIMATE,0.0016409758245572448
42,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9971893429756165
43,Iraq invasion could 'worsen terrorist threat',legit,0,PHISHING,0.5564888119697571
44,Re: When a Crop Becomes King,legit,0,LEGITIMATE,0.013574492186307907
45,Re:,dating_sites,1,PHISHING,0.9977176189422607
46,bad focus/click behaviours,legit,0,LEGITIMATE,0.0005930158658884466
47,URGENT SECURITY CHECK FAILURE,tech_support,1,PHISHING,0.9987035989761353
48,re : resumes,legit,0,LEGITIMATE,0.0009250296279788017
49,"The Government grants you $25,000!",loans,1,PHISHING,0.9959064722061157
50,RE: 68HC11 assembly commands,legit,0,LEGITIMATE,0.0009493510005995631
51,california update 6 / 08 / 01,legit,0,LEGITIMATE,0.009710870683193207
52,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9983161687850952
53,Re: [ILUG] extending a HAN with Wireless..,legit,0,LEGITIMATE,0.21386267244815826
54,WINNER'S INFORMATIONS!!!,lottery,1,PHISHING,0.99909508228302
55,50 ways to meet your lover_sirry,dating_sites,1,PHISHING,0.9992095232009888
56,"[Spambayes-checkins] spambayes/windows/py2exe setup_all.py, 1.28, 1.29",legit,0,LEGITIMATE,0.00048211411922238767
57,Email Security Alert !!!,account_verify,1,PHISHING,0.9993762373924255
58,Re: queue file write error for some domains,legit,0,LEGITIMATE,0.0006480769952759147
59,"Kevin Mitnick's laptop, signed by Woz, on eBay",legit,0,LEGITIMATE,0.012494764290750027
60,Profile and Preference Update,document_share,1,PHISHING,0.9990441203117371
61,millions of mp 3 ' s and movies - download for free now !,tech_support,1,PHISHING,0.9989562034606934
62,Positions Accessible,hr_impersonation,1,PHISHING,0.9991893172264099
63,[UAI] Job announcement: JPL Machine Learning Group Supervisor,legit,0,LEGITIMATE,0.0006161615019664168
64,"Lottery Winning Final Notification,You Won.",lottery,1,PHISHING,0.9979915618896484
65,Re: [ILUG] linux laptop: T61p or Macbook Pro,legit,0,LEGITIMATE,0.0005075865192338824
66,Re[2]: Selling Wedded Bliss (was Re: Ouch...),legit,0,PHISHING,0.978996992111206
67,Re: [Python-Dev] thoughts on having EOFError inherit from	EnvironmentError?,legit,0,LEGITIMATE,0.00048530197818763554
68,RE: Hanson's Sept 11 message in the National Review,legit,0,LEGITIMATE,0.10854756832122803
69,Re: Forged whitelist spam,legit,0,PHISHING,0.9512518644332886
70,CONGRATULATIONS!!!YOU ARE OUR LUCKY WINNER,lottery,1,PHISHING,0.9988333582878113
71,[Razor-users] How to test razor,legit,0,LEGITIMATE,0.0005149868666194379
72,Amended Compression Services Agreement,legit,0,LEGITIMATE,0.004915247205644846
73,WINNING NOTIFICATION !!!,lottery,1,PHISHING,0.9992139339447021
74,CONTACT ASAP!!!,lottery,1,PHISHING,0.9992978572845459
75,50 ways to meet your lover_Suppeko,dating_sites,1,PHISHING,0.9993323683738708
76,FW: July 18 -- BNA's Corporate Counsel Weekly,legit,0,PHISHING,0.9621115326881409
77,RE: Wind Erosion Discussion,legit,0,LEGITIMATE,0.015101231634616852
78,Get the Download PDF #283/Deposit-INVOICE002,invoice_payment,1,PHISHING,0.9990649819374084
79,Re: [opensuse] Mounting an vmware virtual disk in Linux.,legit,0,LEGITIMATE,0.0011102277785539627
80,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9989653825759888
81,history ' s biggest chapter 11 reorganization . it ' s lining up a $ 1 . 5,legit,0,LEGITIMATE,0.021597661077976227
82,Re: Porting the expansion libraries,legit,0,LEGITIMATE,0.000786907912697643
83,TREAT VERY CONFIDENTIAL & URGENT RESPONSE.,advance_fee,1,PHISHING,0.9986358284950256
84,Re: Download labels broken in Oct 29 Google Code Site update.,legit,0,LEGITIMATE,0.0004948232090100646
85,USlicensedViagraMoreinfo,pharm_sex,1,PHISHING,0.936122715473175
86,[DMDX],legit,0,LEGITIMATE,0.0009423057781532407
87,Regional Managers Needed ,hr_impersonation,1,PHISHING,0.9989839196205139
88,BUSINESS PROPOSAL,advance_fee,1,PHISHING,0.9991666078567505
89,Job Offers and My Resume,legit,0,LEGITIMATE,0.005639186128973961
