email_id,subject,true_label,predicted_label,phish_type,summary,summary_error,reasoning,classify_error,summary_raw_response,classify_raw_response
0,Re: lifegem,0,PHISHING,legit,"Joseph S. Barrera III and Chris Haun discuss LifeGems, with Joe suggesting using fat from liposuction and Owen joking about using excrement to create diamonds.",,,,"{
""summary"": ""Joseph S. Barrera III and Chris Haun discuss LifeGems, with Joe suggesting using fat from liposuction and Owen joking about using excrement to create diamonds.""
}","{""classification"": ""PHISHING""}"
1,Re: [opensuse] Nvidia + Xen,0,LEGITIMATE,legit,"To summarize the email content concisely, the sender, Tom Cada, is inquiring about the compatibility of nVidia drivers with the Xen kernel. It is mentioned that the generic nv drivers work with Xen, but the nVidia drivers from their website do not. The sender asks if there is a method or a driver available that will work, and if uninstalling the current nVidia drivers using Yast would cause the nv drivers to be loaded by default. The email also provides instructions on how to uninstall and reinstall the drivers.",SUMMARY_JSON_PARSE_FAILED,,,"To summarize the email content concisely, the sender, Tom Cada, is inquiring about the compatibility of nVidia drivers with the Xen kernel. It is mentioned that the generic nv drivers work with Xen, but the nVidia drivers from their website do not. The sender asks if there is a method or a driver available that will work, and if uninstalling the current nVidia drivers using Yast would cause the nv drivers to be loaded by default. The email also provides instructions on how to uninstall and reinstall the drivers.","{""classification"": ""LEGITIMATE""}"
2,Re: [sugar] Getting sugar running on a Mac,0,LEGITIMATE,legit,"Steven W Riggins reports issues with 385 crashing the parallels VM and live images being ""not bootable"" according to Q. Are you using this?",,,,"{
""summary"": ""Steven W Riggins reports issues with 385 crashing the parallels VM and live images being \""not bootable\"" according to Q. Are you using this?""
}","{""classification"": ""LEGITIMATE""}"
3,ATM De-activation,1,PHISHING,tech_support,UBA Debit Card Suspension Alert: ATM de-activation warning due to improper BVN integration. Rectify to avoid account deactivation and remote access blocking.,,,,"{
""summary"": ""UBA Debit Card Suspension Alert: ATM de-activation warning due to improper BVN integration. Rectify to avoid account deactivation and remote access blocking.""
}","{""classification"": ""PHISHING""}"
4,AVAST SECURITY ALERT,1,PHISHING,account_verify,Avast Security Alert: Infected Mailbox & Deadly Virus,,,,"{
""summary"": ""Avast Security Alert: Infected Mailbox & Deadly Virus""
}","{""classification"": ""PHISHING""}"
5,GTV project status weekly update,0,LEGITIMATE,legit,"Weekly GTV project status update includes updates on physical deal positions, term deals, gas daily deals, live feeds, saving different views, roll-ups, option grids, gas daily options, basis options, transport deal capture & valuation, and flexible position manager. No issues, changes to project release date, and ongoing development work. Thanks, Zhiyong.",,,,"{
""summary"": ""Weekly GTV project status update includes updates on physical deal positions, term deals, gas daily deals, live feeds, saving different views, roll-ups, option grids, gas daily options, basis options, transport deal capture & valuation, and flexible position manager. No issues, changes to project release date, and ongoing development work. Thanks, Zhiyong.""
}","{""classification"": ""LEGITIMATE""}"
6,Re:,1,PHISHING,dating_sites,Re: Marriage analogy and casserole recipe link,,,JSON_PARSE_FAILED_BUT_RECOVERED,"{
""summary"": ""Re: Marriage analogy and casserole recipe link""
}","Email subject: Re:

Email summary:
Re: Marriage analogy and casserole recipe link

Classification: PHISHING"
7,FROM ADE WILLIAMS,1,PHISHING,advance_fee,"Barrister Ade Williams, a legal solicitor, is contacting the recipient on behalf of his deceased client, Mr. John Bales. The client had a deposit of Ten Million United States Dollars in a bank, and Ade Williams seeks the recipient's consent to present them as the next of kin. The funds are to be shared between Ade Williams and the recipient, with 65% going to Ade Williams and 25% to the recipient, while 10% is for expenses or tax. Ade Williams guarantees that the transaction will be legitimate and protect the recipient from any breach of the law. The recipient is encouraged to call Ade Williams for oral clarification or reply to avingg@hotmail.com.",,,,"{
""summary"": ""Barrister Ade Williams, a legal solicitor, is contacting the recipient on behalf of his deceased client, Mr. John Bales. The client had a deposit of Ten Million United States Dollars in a bank, and Ade Williams seeks the recipient's consent to present them as the next of kin. The funds are to be shared between Ade Williams and the recipient, with 65% going to Ade Williams and 25% to the recipient, while 10% is for expenses or tax. Ade Williams guarantees that the transaction will be legitimate and protect the recipient from any breach of the law. The recipient is encouraged to call Ade Williams for oral clarification or reply to avingg@hotmail.com.""
}","{""classification"": ""PHISHING""}"
8,Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0,LEGITIMATE,legit,Wietse Venema suggests using 127.0.0.1:10026 as the smtpd listener for safety reasons. Tonni wonders why they didn't think of it themselves. They mention nullified restrictions and the dkim-filter settings.,,,JSON_PARSE_FAILED,"{
""summary"": ""Wietse Venema suggests using 127.0.0.1:10026 as the smtpd listener for safety reasons. Tonni wonders why they didn't think of it themselves. They mention nullified restrictions and the dkim-filter settings.""
}",LEGITIMATE
9,re : half day strategy meeting,0,LEGITIMATE,legit,"Steve's half-day strategy meeting scheduled for July 20th, 1:00 PM - 4:30 PM in EB-49C4 has been reserved. Please mark your calendars.",,,,"{
""summary"": ""Steve's half-day strategy meeting scheduled for July 20th, 1:00 PM - 4:30 PM in EB-49C4 has been reserved. Please mark your calendars.""
}","{""classification"": ""LEGITIMATE""}"
