email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.0004941204097121954
1,Re:,dating_sites,1,PHISHING,0.996924102306366
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,LEGITIMATE,0.0031383424066007137
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.0005604404141195118
4,research library needed for netco,legit,0,LEGITIMATE,0.0006854207604192197
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.998711347579956
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.007371510379016399
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.0011673950357362628
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.9979094862937927
9,This is it. (from Meredith),tech_support,1,LEGITIMATE,0.0019891595002263784
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.0004163068952038884
11,LP RELEASE: Outrageous military spending,legit,0,LEGITIMATE,0.0009086646605283022
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,PHISHING,0.9984207153320312
13,cusip,legit,0,LEGITIMATE,0.04466668516397476
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,LEGITIMATE,0.16103282570838928
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.9981070756912231
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.00043763843132182956
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9978944659233093
18,financial manager position,hr_impersonation,1,PHISHING,0.998084545135498
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.001167667331174016
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,LEGITIMATE,0.40464919805526733
21,nan,legit,0,LEGITIMATE,0.0009364760480821133
22,Euro Milliones(Your Email Address Has Won A Lottery),lottery,1,PHISHING,0.9985635876655579
23,Take Care of Your Health Now,pharm_sex,1,PHISHING,0.997665524482727
24,volume changes,legit,0,LEGITIMATE,0.0006933916010893881
25,from NA Digest,legit,0,LEGITIMATE,0.0005391303566284478
26,Re:,dating_sites,1,PHISHING,0.9972018003463745
27,3.5% fixed payment 30 year loan,loans,1,PHISHING,0.9985975623130798
28,Thank You So Much 126432211111,loans,1,PHISHING,0.9966955184936523
29,LNG Update,legit,0,LEGITIMATE,0.0006593958823941648
30,DHL Delivery ,invoice_payment,1,PHISHING,0.9977072477340698
31,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9987165927886963
32,Notifcation: You have (9) new undelivered messages,document_share,1,LEGITIMATE,0.18946924805641174
33,Changes for cpuserver & pwd prompt?,legit,0,LEGITIMATE,0.0005864431150257587
34,tenaska iv gas,legit,0,LEGITIMATE,0.0006046808557584882
35,Re: [opensuse] Importing a CSV file into Kaddressbook,legit,0,LEGITIMATE,0.0004694694362115115
36,Lowest Rates Available.                    gjannsxrwg,loans,1,PHISHING,0.9986016154289246
37,Male Enhancement Reviews,pharm_sex,1,PHISHING,0.9949223399162292
38,PAPER 6,legit,0,LEGITIMATE,0.0006161180790513754
39,CONGRATULATIONS!!! CHECK WITH YOUR AGENT,lottery,1,PHISHING,0.9988952279090881
40,Re: Bits from the job front...,legit,0,LEGITIMATE,0.0006376696401275694
41,Re: Sonar Assembly,legit,0,LEGITIMATE,0.0004921391955576837
42,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9978768825531006
43,Iraq invasion could 'worsen terrorist threat',legit,0,LEGITIMATE,0.0010301796719431877
44,Re: When a Crop Becomes King,legit,0,LEGITIMATE,0.0009019016288220882
45,Re:,dating_sites,1,PHISHING,0.9952325224876404
46,bad focus/click behaviours,legit,0,LEGITIMATE,0.0006711354362778366
47,URGENT SECURITY CHECK FAILURE,tech_support,1,PHISHING,0.9985938668251038
48,re : resumes,legit,0,LEGITIMATE,0.0007568928995169699
49,"The Government grants you $25,000!",loans,1,PHISHING,0.9986886382102966
50,RE: 68HC11 assembly commands,legit,0,LEGITIMATE,0.0004844462382607162
51,california update 6 / 08 / 01,legit,0,LEGITIMATE,0.0005918540991842747
52,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9981173276901245
53,Re: [ILUG] extending a HAN with Wireless..,legit,0,LEGITIMATE,0.0006732578622177243
54,WINNER'S INFORMATIONS!!!,lottery,1,PHISHING,0.9985408782958984
55,50 ways to meet your lover_sirry,dating_sites,1,PHISHING,0.9976136684417725
56,"[Spambayes-checkins] spambayes/windows/py2exe setup_all.py, 1.28, 1.29",legit,0,LEGITIMATE,0.000407815066864714
57,Email Security Alert !!!,account_verify,1,PHISHING,0.9987693428993225
58,Re: queue file write error for some domains,legit,0,LEGITIMATE,0.00048419254017062485
59,"Kevin Mitnick's laptop, signed by Woz, on eBay",legit,0,LEGITIMATE,0.0010494606103748083
60,Profile and Preference Update,document_share,1,PHISHING,0.9986140727996826
61,millions of mp 3 ' s and movies - download for free now !,tech_support,1,PHISHING,0.9697856307029724
62,Positions Accessible,hr_impersonation,1,PHISHING,0.9989064931869507
63,[UAI] Job announcement: JPL Machine Learning Group Supervisor,legit,0,LEGITIMATE,0.0006234355387277901
64,"Lottery Winning Final Notification,You Won.",lottery,1,PHISHING,0.9988357424736023
65,Re: [ILUG] linux laptop: T61p or Macbook Pro,legit,0,LEGITIMATE,0.0005327655235305429
66,Re[2]: Selling Wedded Bliss (was Re: Ouch...),legit,0,LEGITIMATE,0.0012920849258080125
67,Re: [Python-Dev] thoughts on having EOFError inherit from	EnvironmentError?,legit,0,LEGITIMATE,0.0004715347313322127
68,RE: Hanson's Sept 11 message in the National Review,legit,0,LEGITIMATE,0.0008619143627583981
69,Re: Forged whitelist spam,legit,0,LEGITIMATE,0.0011991389328613877
70,CONGRATULATIONS!!!YOU ARE OUR LUCKY WINNER,lottery,1,PHISHING,0.9968585968017578
71,[Razor-users] How to test razor,legit,0,LEGITIMATE,0.0005442368565127254
72,Amended Compression Services Agreement,legit,0,LEGITIMATE,0.0007689082412980497
73,WINNING NOTIFICATION !!!,lottery,1,PHISHING,0.9985901713371277
74,CONTACT ASAP!!!,lottery,1,PHISHING,0.9988717436790466
75,50 ways to meet your lover_Suppeko,dating_sites,1,PHISHING,0.9873896837234497
76,FW: July 18 -- BNA's Corporate Counsel Weekly,legit,0,LEGITIMATE,0.0005616666749119759
77,RE: Wind Erosion Discussion,legit,0,LEGITIMATE,0.0011590509675443172
78,Get the Download PDF #283/Deposit-INVOICE002,invoice_payment,1,PHISHING,0.9987868666648865
79,Re: [opensuse] Mounting an vmware virtual disk in Linux.,legit,0,LEGITIMATE,0.0004145790298935026
80,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9988425970077515
81,history ' s biggest chapter 11 reorganization . it ' s lining up a $ 1 . 5,legit,0,PHISHING,0.5464780926704407
82,Re: Porting the expansion libraries,legit,0,LEGITIMATE,0.0005117639666423202
83,TREAT VERY CONFIDENTIAL & URGENT RESPONSE.,advance_fee,1,PHISHING,0.979919970035553
84,Re: Download labels broken in Oct 29 Google Code Site update.,legit,0,LEGITIMATE,0.0005704818177036941
85,USlicensedViagraMoreinfo,pharm_sex,1,PHISHING,0.9984475374221802
86,[DMDX],legit,0,LEGITIMATE,0.0006780737894587219
87,Regional Managers Needed ,hr_impersonation,1,PHISHING,0.998568058013916
88,BUSINESS PROPOSAL,advance_fee,1,PHISHING,0.9985904097557068
89,Job Offers and My Resume,legit,0,LEGITIMATE,0.002015233738347888
90,Re: [patch] 00_CPANPLUS-Internals-Utils.t version match fix,legit,0,LEGITIMATE,0.00043929065577685833
91,Re: [opensuse] openSUSE 11.0 and the Non-ready KDE4,legit,0,LEGITIMATE,0.0005105702439323068
92,do you beiieve in aiiens ?,tech_support,1,PHISHING,0.9503204822540283
93,[opensuse] SAN device,legit,0,LEGITIMATE,0.0006275151390582323
94,Your account has been Iimited,tech_support,1,PHISHING,0.9986799359321594
95,A formula turning you into a happy guy!,pharm_sex,1,PHISHING,0.9977147579193115
96,REPLY URGENT,advance_fee,1,PHISHING,0.9984323382377625
97,Re:,stock_pump_dump,1,PHISHING,0.9980455636978149
98,[SOC100-L:504] final essay,legit,0,LEGITIMATE,0.0006348072201944888
99,valero - - meter 8018,legit,0,LEGITIMATE,0.00070126325590536
100,jose@monkey.org: Password Reset!,tech_support,1,PHISHING,0.9984581470489502
101,RE: YOU keep the profits  ,lottery,1,LEGITIMATE,0.48119476437568665
102,Fw: The Gold Buddha,loans,1,LEGITIMATE,0.32724729180336
103,You have [2] Pending Delivery On Your e-Mail Portal,invoice_payment,1,PHISHING,0.9983071088790894
104,re : software,legit,0,LEGITIMATE,0.0008294856525026262
105,Re: mass-check --server bug? ,legit,0,LEGITIMATE,0.0005122469156049192
106,Re: [PATCH - 2nd revision] /cygdrive is configurable,legit,0,LEGITIMATE,0.000521266192663461
107,[DMDX] Refresh rate of 22msec,legit,0,LEGITIMATE,0.0006571462145075202
108,Help Needed -Reply,legit,0,LEGITIMATE,0.0005196286947466433
109,ir reflectance sensors found !!!,legit,0,LEGITIMATE,0.0006014534737914801
110,[Razor-users] Fire.cloudmark.com is having issues,legit,0,LEGITIMATE,0.0005490169278346002
111,Re: [UAI] Imprecise Probabilities--A simple and yet computationally nontrivial problem,legit,0,LEGITIMATE,0.0009718507062643766
112,Increasing current output to motors on HandyBoard,legit,0,LEGITIMATE,0.000499602232594043
113,BUSINESS  PROPUSAL,advance_fee,1,PHISHING,0.9985851049423218
114,nan,tech_support,1,LEGITIMATE,0.0045144748874008656
115,We collected best products for your health from all over the world.,pharm_sex,1,PHISHING,0.9967404007911682
116,50 ways to meet your lover_markizamkd25,dating_sites,1,PHISHING,0.9977667331695557
117,GOOD DAY SIR,advance_fee,1,PHISHING,0.9980731010437012
118,"GOOD EMAIL,READ!",lottery,1,PHISHING,0.9985052347183228
119,RE: [ILUG] SUSE 8 disks? (thread changed slightly),legit,0,LEGITIMATE,0.000515132094733417
120,[ILUG] Optimising for PentiumMMX?,legit,0,LEGITIMATE,0.00046320658293552697
121,CONTACT ASAP!!!,lottery,1,PHISHING,0.9988141059875488
122,Ohne Rezept - kein Potenmiitl!,dating_sites,1,PHISHING,0.8881162405014038
123,Re: bad focus/click behaviours,legit,0,LEGITIMATE,0.0005732291610911489
124,Update and activate your email services ,invoice_payment,1,PHISHING,0.9971004128456116
125,Re: Canadians,legit,0,LEGITIMATE,0.0010436499724164605
126,enron employees filed out of the company ' s 50 - story mirrored glass tower headquarters in downtown houston on monday with their personal belongings stuffed in cardboard boxes . several employees reported they were given 30 minutes to clear out .,legit,0,LEGITIMATE,0.001323019270785153
127,: You have A New Mail From  e*trade.,document_share,1,PHISHING,0.9986667633056641
128,Project Document Update Subcontractors/Suppliers,document_share,1,LEGITIMATE,0.0689932256937027
129,YOU  HAVE  WON,lottery,1,PHISHING,0.9988102912902832
130,50 ways to meet your lover_sirry,dating_sites,1,PHISHING,0.9968078136444092
131,FRANCIS pr0fi1ed her cash with GI1BERT,stock_pump_dump,1,PHISHING,0.9984157085418701
132,The GOv gets tough on Net Users.....er Pirates..,legit,0,LEGITIMATE,0.0018542363541200757
133,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,tech_support,1,PHISHING,0.9974838495254517
134,Re> Powerbook question,legit,0,LEGITIMATE,0.0004990645684301853
135,[Bug 5780] URI processing turns uuencoded strings into http URI's which then causes FPs,legit,0,LEGITIMATE,0.0004479619092307985
136,Words fail me,legit,0,LEGITIMATE,0.0657304972410202
137,Verify your account Immediately!!,account_verify,1,PHISHING,0.9985463619232178
138,Donation for God's work.,advance_fee,1,PHISHING,0.9978052973747253
139,Re:,dating_sites,1,PHISHING,0.9890908598899841
140,Re: [Baseline] Raising chickens the high-tech way,legit,0,LEGITIMATE,0.0006973299896344543
141,CNN.com Daily Top 10,legit,0,LEGITIMATE,0.0011984481243416667
142,"Re: dylsexics of the wrold, untie!",legit,0,LEGITIMATE,0.0004717932315543294
143,You have 8 new messages in your email,invoice_payment,1,PHISHING,0.9973626732826233
144,Re: Sumo-Robots,legit,0,LEGITIMATE,0.0008128847111947834
145,GOOD DAY,advance_fee,1,PHISHING,0.9984052777290344
146,Do you owe the IRS money? [p5fi3],loans,1,PHISHING,0.9975602626800537
147,Well-Paid Part-Time Job,hr_impersonation,1,PHISHING,0.998427152633667
148,enron research and ebs engineering and operations group technical,legit,0,LEGITIMATE,0.0006182324723340571
149,Get Out of Debt Fast                          12244,loans,1,PHISHING,0.9984240531921387
150,bits for the boat.,legit,0,LEGITIMATE,0.0005910401232540607
151,Very discrete shipping and billing,pharm_sex,1,PHISHING,0.9984643459320068
152,Mail User Security Alert,account_verify,1,PHISHING,0.9981834292411804
153,Plan 9 beginner's questions,legit,0,LEGITIMATE,0.0007710849749855697
154,nan,legit,0,LEGITIMATE,0.0007929040002636611
155,part-time job,hr_impersonation,1,PHISHING,0.9980496168136597
156,Low-Profile Company With High Profit Potential [D E T A I L S FRIDAY it is]  Fatima launderer loathing,stock_pump_dump,1,PHISHING,0.9965006113052368
157,floor space planning - staff meeting item for monday,legit,0,LEGITIMATE,0.0007636961527168751
158,Re: [SAdev] Spam added to regular email,legit,0,LEGITIMATE,0.0004649153561331332
159,"=?utf-8?Q?Notification=20New=20Transaction=20at=20You?=
	=?utf-8?Q?r=20Account?=",invoice_payment,1,PHISHING,0.997552216053009
160,Verify Your Account,account_verify,1,PHISHING,0.9985185265541077
161,[fwd] Market Trade Watch,stock_pump_dump,1,LEGITIMATE,0.0036770817823708057
162,Re: Battery Level Indicator,legit,0,LEGITIMATE,0.0006039666477590799
163,real,legit,0,LEGITIMATE,0.0009656234178692102
164,CALL FOR CONFRIMATION,lottery,1,LEGITIMATE,0.2381046563386917
165,Re: [9fans] re: license terms?,legit,0,LEGITIMATE,0.0005258654127828777
166,"[Spambayes-checkins] spambayes/contrib tte.py,1.17,1.18",legit,0,LEGITIMATE,0.0004204309079796076
167,FINAL NOTICE kngjl,lottery,1,PHISHING,0.9983338713645935
168,the beginning of the end,tech_support,1,PHISHING,0.997093677520752
169,[duodenalswitch] Digest Number 13712,legit,0,LEGITIMATE,0.0006867396296001971
170,"Dear jose  Invoice does not bear your Company's Bank details, """,invoice_payment,1,PHISHING,0.8877962231636047
171,[Spambayes] timtest broke?,legit,0,LEGITIMATE,0.0005137463449500501
172,Men can now benefit from this formula,dating_sites,1,PHISHING,0.9981593489646912
173,[DMDX] Re: question about randomization,legit,0,LEGITIMATE,0.0005124439485371113
