email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,50 ways to meet your lover_audi_girl,dating_sites,1,PHISHING,0.999256432056427
1,free adware removal scan and download . qyesa,tech_support,1,PHISHING,0.9971068501472473
2,"TREAT  AS URGENT AND CALL ME"""""""" 00226 76 63 87 21",advance_fee,1,PHISHING,0.998805046081543
3,Perfect proportions are easily attained,hr_impersonation,1,PHISHING,0.9974666833877563
4,fix mailbox now! jose@monkey.org,document_share,1,PHISHING,0.9988089799880981
5,"For you  color=""#006657""",dating_sites,1,PHISHING,0.9992685914039612
6,"Over $100,000 Per Year Possible On The Net!  No Illegal MLM Junk! Time:11:43:57 PM",loans,1,PHISHING,0.9976986050605774
7,50 ways to meet your lover_jasmine123,dating_sites,1,PHISHING,0.99883633852005
8,50 ways to meet your lover_jasmine123,dating_sites,1,PHISHING,0.99904865026474
9,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,tech_support,1,PHISHING,0.9882481694221497
10,You sent a payment of $185.00 USD to PayPal Inc (dgsEbayCA@paypal.com).,invoice_payment,1,PHISHING,0.9993035793304443
11,RE: Selling Wedded Bliss (was Re: Ouch...),legit,0,LEGITIMATE,0.13208554685115814
12,HELLO!!,advance_fee,1,PHISHING,0.9991374015808105
13,one singled out one of their villains .,legit,0,PHISHING,0.9383203387260437
14,re: may the be11 s news advise her pennies,stock_pump_dump,1,PHISHING,0.9983620047569275
15,jose@monkey.org Messages could not be delivered.,invoice_payment,1,PHISHING,0.9991068243980408
16,Well-Paid Part-Time Job,hr_impersonation,1,PHISHING,0.9987326264381409
17,Involved In Fundraising?,stock_pump_dump,1,PHISHING,0.996864378452301
18,50 ways to meet your lover_nuxu63,dating_sites,1,PHISHING,0.9979414343833923
19,Amazon Case-1020-3090-4080-1090,account_verify,1,PHISHING,0.998440682888031
20,overdue invoice_863637 ready  for your review via OneDrive Cloud.,document_share,1,PHISHING,0.5052521824836731
21,Positions Accessible,hr_impersonation,1,PHISHING,0.9989039897918701
22,Safe and fast enlargement,pharm_sex,1,PHISHING,0.9991627931594849
23,Re:,dating_sites,1,PHISHING,0.9984368681907654
24,Fast Shipping WorldWide. ,pharm_sex,1,PHISHING,0.9988911747932434
25,Ref Number: SWE/074OY8/01/SWKY,lottery,1,PHISHING,0.9980510473251343
26,50 ways to meet your lover_nuxu63,dating_sites,1,LEGITIMATE,0.34457072615623474
27,Lowest Mortgage Rates Around,loans,1,PHISHING,0.9995076656341553
28,More strength and stamina in bed,pharm_sex,1,PHISHING,0.9969203472137451
29,PROBLEM!!,legit,0,PHISHING,0.9982805252075195
30,Your receipt from Apple.,document_share,1,PHISHING,0.9987605810165405
31,VERY URGENT!!!,advance_fee,1,PHISHING,0.9993934631347656
32,Extra income can help you. Learn how!,hr_impersonation,1,PHISHING,0.9989399313926697
33,We are  happy to make people healthy .,hr_impersonation,1,PHISHING,0.991771399974823
34,READ AND REPLY,advance_fee,1,PHISHING,0.9975619316101074
35,"re : university of texas conference on energy finance , february 2001",legit,0,PHISHING,0.8853934407234192
36,thrash,stock_pump_dump,1,PHISHING,0.9939897060394287
37,"For you  color=""#006626""",dating_sites,1,PHISHING,0.9985796213150024
38,Account Suspention Notice!,account_verify,1,PHISHING,0.999413013458252
39,50 ways to meet your lover_ewak1979,dating_sites,1,PHISHING,0.9986397624015808
40,Job Vacancies ,hr_impersonation,1,PHISHING,0.9990647435188293
41,CCGI Corporate Fact Sheet,stock_pump_dump,1,PHISHING,0.9805318713188171
42,PLS HELP MY FAMILY THANKS,advance_fee,1,PHISHING,0.9988032579421997
43,Instant Winners,lottery,1,PHISHING,0.9993699193000793
44,jose@monkey.org have stopped processing incoming emails.,account_verify,1,PHISHING,0.9991551637649536
45,Re: New Sequences Window,legit,0,LEGITIMATE,0.002827698364853859
46,Stimulate all her secret spots!,hr_impersonation,1,PHISHING,0.9988419413566589
47,Hiring Announcement,hr_impersonation,1,PHISHING,0.9983287453651428
48,want your music for ? - vaudeville baseplate acquit,tech_support,1,PHISHING,0.996518611907959
49,online access locked ,document_share,1,PHISHING,0.999496579170227
50,50 ways to meet your lover_Ulimaroa,dating_sites,1,PHISHING,0.9982178807258606
51,Radio 5CX News: Message of importance.,tech_support,1,PHISHING,0.8045442700386047
52,APPEAL FOR URGENT ASSISTANCE.,advance_fee,1,PHISHING,0.9993646740913391
53,fw : northwest hydro,legit,0,LEGITIMATE,0.0038965323474258184
54,surfer alert : spyware,tech_support,1,PHISHING,0.9987699389457703
55,TREAT AS URGENT ,advance_fee,1,PHISHING,0.9993560910224915
56,lng models,legit,0,LEGITIMATE,0.16361726820468903
57,[Fwd: Re: unable to run sa-learn utility as non-root user],legit,0,LEGITIMATE,0.00872888509184122
58,Nedbank Credit Card monthly Charges eStatement,document_share,1,PHISHING,0.9994489550590515
59,You have 14 companies interested in your product.,invoice_payment,1,PHISHING,0.999355137348175
60,Positions Accessible,hr_impersonation,1,PHISHING,0.9989466071128845
61,Your parcel has arrived   ,invoice_payment,1,PHISHING,0.9988635778427124
62,Regional Managers Needed ,hr_impersonation,1,PHISHING,0.9988283514976501
63,Job with XOOM Money Transfer,hr_impersonation,1,PHISHING,0.9994187355041504
64,50 ways to meet your lover_sirry,dating_sites,1,PHISHING,0.9984744191169739
65,WE ARE UNABLE TO CONFIRM YOUR IDENTITY,account_verify,1,PHISHING,0.9994331002235413
66,Part-Time Job Available,hr_impersonation,1,PHISHING,0.9990072846412659
67,c0u1d her R0I pr0fi1e a penny s sma11 cap,stock_pump_dump,1,PHISHING,0.9959709048271179
68,Your Checking/Savings Account Untrusted Authorization,tech_support,1,PHISHING,0.9994035959243774
69,[Lockergnome Penguin Shell]  Retail Ready,legit,0,PHISHING,0.9552872180938721
70,Bad Credit Breakthrough!!!                   6465,loans,1,PHISHING,0.9993597865104675
71,50 ways to meet your lover_barbieinboot...,dating_sites,1,PHISHING,0.998556911945343
72,Which Ones Really Work? We List The Top Penis Enlargement Products!,pharm_sex,1,PHISHING,0.999041736125946
73,PLEASE READ AND REPLY IMMEDIATELY.,advance_fee,1,PHISHING,0.9988178610801697
74,ADV: It will be too late soon... hmlpy,loans,1,PHISHING,0.9981212019920349
75,Document Share,document_share,1,PHISHING,0.9983598589897156
76,Re: [PATCH] use 5.010 is ugly; use 5.10.0 warns,legit,0,LEGITIMATE,0.0017988501349464059
77,Re:,dating_sites,1,PHISHING,0.9982522130012512
78,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,tech_support,1,PHISHING,0.998404324054718
79,paper 19  - OVERCAST,legit,0,LEGITIMATE,0.27867162227630615
80,Low-Profile Company With High Profit Potential [R E P O R T Thursday]  divider grassland,stock_pump_dump,1,PHISHING,0.7383877635002136
81,Fight for your self-perfection!,pharm_sex,1,PHISHING,0.9988709092140198
82,Hiring ,hr_impersonation,1,PHISHING,0.9992732405662537
83,"2006 Global Digital Media - Convergence, Triple Play and IPTV",stock_pump_dump,1,PHISHING,0.9956657290458679
84,Enviaram uma charge para voce,tech_support,1,PHISHING,0.9942212104797363
85,CLAIM WINNING PRIZE,lottery,1,PHISHING,0.9993425011634827
86,fwd: The hottest pick daily news,stock_pump_dump,1,PHISHING,0.7172635793685913
87,Re:,dating_sites,1,PHISHING,0.9984161853790283
88,Account Notification,account_verify,1,PHISHING,0.999413251876831
89,best mortgage rate              GZRHTKJ,loans,1,PHISHING,0.9992419481277466
90,Doctors help men with low libidos,pharm_sex,1,PHISHING,0.9872366189956665
91,Payment Advice - Advice Ref:[G50320909021] / Customer Transfer /  Customer Ref:[0011509844457],account_verify,1,PHISHING,0.9993507266044617
92,RE: Service Help Desk,invoice_payment,1,PHISHING,0.9993860721588135
93,your neighbour knows,tech_support,1,PHISHING,0.9948962330818176
94,NedBank Account Statement 18-10-12,account_verify,1,PHISHING,0.9983493089675903
95,Reply Soon,advance_fee,1,PHISHING,0.9990239143371582
96,Great Idea for You byrdshot,loans,1,PHISHING,0.9987857937812805
97,Donation for God's work.,advance_fee,1,PHISHING,0.621770977973938
98,50 ways to meet your lover_darlarose,dating_sites,1,PHISHING,0.9991657733917236
99,CONGRATULATION!!!!!!!,lottery,1,PHISHING,0.9994326233863831
100,CONGRATULATIONS!!!,lottery,1,PHISHING,0.9990664124488831
101,*3 FREE Bottles Of VPXL !! ,pharm_sex,1,PHISHING,0.9992554783821106
102,jose@monkey.org Messages could not be delivered.,invoice_payment,1,PHISHING,0.9992548823356628
103,Re:,stock_pump_dump,1,PHISHING,0.9970423579216003
104,Fw: The money saving plan we spoke of              LQDDDQ,loans,1,PHISHING,0.9993829727172852
105,Part-Time Job Available,hr_impersonation,1,PHISHING,0.9978887438774109
106,CONGRATULATIONS!!! CHECK WITH YOUR AGENT,lottery,1,PHISHING,0.9994757771492004
107,Re: [Python-3000] The release process,legit,0,LEGITIMATE,0.0023512858897447586
108,fw : your sister knows you watch girls masturbate,tech_support,1,PHISHING,0.9993822574615479
109,Apple account unusual sign-in activity,tech_support,1,PHISHING,0.9977166652679443
110,COMPUTERISED EMAIL DRAWS,lottery,1,PHISHING,0.9993650317192078
111,Re: your resume,hr_impersonation,1,PHISHING,0.9990333318710327
112,Alert!!! Urgent Email Administrator Upgrade,document_share,1,PHISHING,0.9993258714675903
113,Financial Representative,hr_impersonation,1,PHISHING,0.9993575215339661
114,BUSINESS PROPOSAL(PLEASE READ MY MAIL),advance_fee,1,PHISHING,0.9994660019874573
115,CNN Alerts: bush,legit,0,PHISHING,0.9989631175994873
116,Auto Email Upgrade jose@monkey.org,document_share,1,PHISHING,0.9988976716995239
117,Seagate 250GB Ext USB $65 . 8GB SD $29 . 2GB USB $9,legit,0,LEGITIMATE,0.15887004137039185
118,"A document titled ""Proposal"" has been shared with you on Onedrive",document_share,1,PHISHING,0.9992291927337646
119,Account Verification,account_verify,1,PHISHING,0.9993040561676025
120,Looking for remedy? We are the best source.,pharm_sex,1,PHISHING,0.9757004380226135
121,Gain additional centimeters,pharm_sex,1,PHISHING,0.9988462924957275
122,FW: Marketing 1000 MW /  APEL,legit,0,LEGITIMATE,0.029395880177617073
123,[VIRUS] Bank Transfer Notification,tech_support,1,PHISHING,0.9990242719650269
124,Your E-mail Rectification Request For jose@monkey.org,invoice_payment,1,PHISHING,0.9962128400802612
125,Still  On E-mail Pending Status!  ,invoice_payment,1,PHISHING,0.9906023740768433
126,Watch this stck go on NEW PICK MONDAY  it isday [BREAKING NEWS NEW PICK MONDAY  it is]  mistypes amounters ducked,stock_pump_dump,1,PHISHING,0.9985647797584534
127,[IIU] IIU: Recommendations on phone / pda+phone + European GPRS coverage,legit,0,LEGITIMATE,0.0072198533453047276
128,Get Out of Debt Fast                          12244,loans,1,PHISHING,0.9994118213653564
129,123,pharm_sex,1,PHISHING,0.9976556301116943
130,Euro Millones International Lottery,lottery,1,PHISHING,0.9958725571632385
131,Standard Bank Account eStatement 2021-03-10,invoice_payment,1,PHISHING,0.999275267124176
132,AVAST SECURITY ALERT,account_verify,1,PHISHING,0.9994314312934875
133,Very discrete shipping and billing,pharm_sex,1,PHISHING,0.9988941550254822
134,=?UTF-8?Q?Account_Confirmation?=,account_verify,1,PHISHING,0.9985145926475525
135,Feel your male superiority,hr_impersonation,1,PHISHING,0.9993805885314941
136,Re:,dating_sites,1,PHISHING,0.9985215067863464
137,Verification,account_verify,1,PHISHING,0.9993909597396851
138,Re: Cannot download pcode on a Mac G3 ,legit,0,LEGITIMATE,0.006493589375168085
139,THANKS,advance_fee,1,PHISHING,0.9992817044258118
140,Now anyone can get a merchant accountBBHNQGHU,loans,1,PHISHING,0.99899822473526
141,Internet Marketing for Profit!,stock_pump_dump,1,PHISHING,0.9991624355316162
142,Lowest Rates Available.                    gjannsxrwg,loans,1,PHISHING,0.9991347193717957
143,Claim your Prize Award!!,lottery,1,PHISHING,0.9995062351226807
144,CONGRATULATIONS ( YOUR EMAIL WON THE LOTTERY ),lottery,1,PHISHING,0.999160647392273
145,You Have An Incoming E-Payment Transfer,document_share,1,PHISHING,0.9985829591751099
146,GOOD  DAY!!!,advance_fee,1,PHISHING,0.9990550875663757
147,"[Spambayes-checkins] website/sigs sb11a4.zip.asc, NONE,	1.1 spambayes-1.1a4.tar.gz.asc, NONE, 1.1",legit,0,LEGITIMATE,0.009742909111082554
148,"you want a quicker computer ? spyware stays resident in memory , just use this to remove it 2 t",tech_support,1,PHISHING,0.9622657895088196
149,You Have Just Receive OneDrive Files.,document_share,1,PHISHING,0.9993867874145508
150,USD Bank Transfer Deposits - Remitted on 06/03/2019,invoice_payment,1,PHISHING,0.9991902709007263
151,Update your form of payment,account_verify,1,PHISHING,0.9994263648986816
152,You Are Approved!!! (158545),loans,1,PHISHING,0.9992758631706238
153,Important Security Alert!,document_share,1,PHISHING,0.9994631409645081
154,Re:,dating_sites,1,PHISHING,0.9980990290641785
155,PLEASE RESPOND,advance_fee,1,PHISHING,0.9981108903884888
156,"Adv: Mortgage Quotes Fast Online, No Cost",loans,1,PHISHING,0.9994595646858215
157,=?utf-8?Q?Account=20Alerts=20=21=21?=,account_verify,1,PHISHING,0.9975441098213196
158,Payment confirmation 8626,document_share,1,PHISHING,0.9992138147354126
159,Urgent,advance_fee,1,PHISHING,0.9990599751472473
160,Indeed account update for jose@monkey.org,document_share,1,PHISHING,0.9981004595756531
161,ADV: Interest rates slashed! Don't wait!                                                   dnjwn,loans,1,PHISHING,0.9890332221984863
162,Re[5]: download software snd,tech_support,1,PHISHING,0.6877167224884033
163,04/09/2022 04:39:51 pm :Wells Fargo: You Have A Notification!,document_share,1,PHISHING,0.9963285326957703
164,CONTACT THE PAYING BANK,lottery,1,PHISHING,0.9995170831680298
165,FINAL NOTICE kngjl,lottery,1,PHISHING,0.9990484118461609
166,[Notice Update Activity] : Your AppIe ID has been locked for security reason.,account_verify,1,PHISHING,0.9994256496429443
167,URGENT MESSAGE....,advance_fee,1,PHISHING,0.9980242252349854
168,MAURILYN LOTTERIES: CONTACT IMPERIAL CHAMBER!!!,lottery,1,PHISHING,0.9994669556617737
169,RE: YOU keep the profits  ,lottery,1,PHISHING,0.9991287589073181
170,"For you  color=""#006633""",dating_sites,1,PHISHING,0.9988239407539368
171,KINDNES NEEDED.,advance_fee,1,PHISHING,0.9983088970184326
172,RE:CHANGE OF ACCOUNT PARTICULARS ON YOUR BENEFICIARY FILE,advance_fee,1,PHISHING,0.9994034767150879
173,Big Five record companies guilty of price fixing,legit,0,PHISHING,0.9977784752845764
174,Investment information that helps earning on the stok market  Never-seen,stock_pump_dump,1,PHISHING,0.9903261065483093
175,"For you  color=""#006662""",dating_sites,1,PHISHING,0.9989737272262573
176,UCount Rewards for YOU 20172802,invoice_payment,1,PHISHING,0.9993718266487122
177,Regional Managers Needed ,hr_impersonation,1,PHISHING,0.9983224272727966
178,Re:,stock_pump_dump,1,PHISHING,0.9954107403755188
179,85% APPROVAL RATE pcptu,loans,1,PHISHING,0.9993481040000916
180,Immense dimension of your monster,hr_impersonation,1,PHISHING,0.9971960783004761
181,You have Won,lottery,1,PHISHING,0.9993002414703369
182,Positions Accessible,hr_impersonation,1,PHISHING,0.9987861514091492
183,Classified(RE:via private email below).,advance_fee,1,PHISHING,0.9993276596069336
184,Microsoft Office 365 Notification,account_verify,1,PHISHING,0.9994692206382751
185,ORIGINAL SHIPPING DOCUMENT INVOICE / PAYMENT jose@monkey.org,invoice_payment,1,PHISHING,0.9991395473480225
186,"For you  color=""#006646""",dating_sites,1,PHISHING,0.8650075793266296
187,re :,tech_support,1,PHISHING,0.9992415904998779
188,CONGRATULATIONS,lottery,1,PHISHING,0.9987356066703796
189,We noticed some unusual activity on your PayPal account.,account_verify,1,PHISHING,0.9994012117385864
190,Great length and volume in just a few weeks,pharm_sex,1,PHISHING,0.9988172650337219
191,New possibility to satisfy her dreams immediately,pharm_sex,1,PHISHING,0.9982631802558899
192,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,tech_support,1,PHISHING,0.9938948750495911
193,Account Re-activation ,account_verify,1,PHISHING,0.9992865920066833
194,URGENT FROM DELE MARTINS,advance_fee,1,PHISHING,0.9982128143310547
195,Job Vacancies ,hr_impersonation,1,PHISHING,0.9992393255233765
196,123,pharm_sex,1,PHISHING,0.9982576966285706
197,Re: AWB Shipping Documents,invoice_payment,1,PHISHING,0.9993458390235901
198,dont wait to build a strong position with SYNI  Yw,stock_pump_dump,1,PHISHING,0.9728642106056213
199,"Repair Your Credit, LEGALLY and for FREE",loans,1,PHISHING,0.9968284964561462
200,"For you  color=""#003333""",dating_sites,1,PHISHING,0.9985283613204956
201,Important Monetary Online Document.,document_share,1,PHISHING,0.9991720914840698
202,Re:,dating_sites,1,PHISHING,0.9984188079833984
203,inspiring article by Howard Jonas who founded IDT,legit,0,PHISHING,0.9818748831748962
204,J0SHUA reviewed her st0ck in CAR10S s ba11,stock_pump_dump,1,PHISHING,0.9950496554374695
205,Re: CD player UI for toddlers,legit,0,LEGITIMATE,0.003608837490901351
206,Re:,stock_pump_dump,1,PHISHING,0.9970423579216003
207,Important Security Alert!,account_verify,1,PHISHING,0.999483585357666
208,Re:,stock_pump_dump,1,PHISHING,0.9967812299728394
209,=?UTF-8?Q?Unusual_sign=2din_activity?=,account_verify,1,PHISHING,0.999367892742157
210,re: with MITCHE11 1ESTER invested ADRIAN s 0tc,stock_pump_dump,1,PHISHING,0.9958595633506775
211,From: Mr. Dezaryi,advance_fee,1,PHISHING,0.9992020726203918
212,overdue invoice_863637 ready  for your review via OneDrive Cloud.,invoice_payment,1,PHISHING,0.5052521824836731
213,CONTACT PAYMENT CO-ORDINATORS!!!,lottery,1,PHISHING,0.9992830157279968
214,Re: lifegem,legit,0,LEGITIMATE,0.008633372373878956
215,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9991338849067688
216,Buy download and install right now,hr_impersonation,1,PHISHING,0.9932332634925842
217,MAERSK LINE PRO-FORMA DETENTION INVOICE/COC/BL,document_share,1,PHISHING,0.952028751373291
218,This will feel good [STCK REPORT]  axon desk's diverting,stock_pump_dump,1,PHISHING,0.9973559379577637
219,50 ways to meet your lover_blueridgegal,dating_sites,1,PHISHING,0.9990600943565369
220,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,tech_support,1,PHISHING,0.9981908202171326
221,forward specs for NEW PICK MONDAY  it is [HOT NEWS NEW PICK MONDAY  it is]  Atwood Calvary,stock_pump_dump,1,PHISHING,0.9972823858261108
222,We  offer attractive prices . ,hr_impersonation,1,PHISHING,0.6509858965873718
223,Regional Managers Needed ,hr_impersonation,1,PHISHING,0.9993658661842346
224,We detected Unusual activity on your account,account_verify,1,PHISHING,0.9993550181388855
225,Get the Download PDF #283/Deposit-INVOICE002,invoice_payment,1,PHISHING,0.9982588887214661
226,FROM ADE WILLIAMS,advance_fee,1,PHISHING,0.9985268115997314
227,Wells Fargo - Account Verification,document_share,1,PHISHING,0.9972733855247498
228,You got new message!,account_verify,1,PHISHING,0.9994577765464783
229,MANY THANKS,advance_fee,1,PHISHING,0.9992883801460266
230,FWD: Pay attention this one is moving,stock_pump_dump,1,PHISHING,0.9963125586509705
231,50 ways to meet your lover_katerina1,dating_sites,1,PHISHING,0.999213457107544
232,Doing exemplary some connive,stock_pump_dump,1,PHISHING,0.9785282015800476
233,nan,advance_fee,1,PHISHING,0.9987536668777466
234,100mg x 10 pills,pharm_sex,1,PHISHING,0.9837456941604614
235,CONGRATULATION YOU HAVE WON>>>>>,lottery,1,LEGITIMATE,0.0036120363511145115
236,COMPLIMENT OF THE SEASON,advance_fee,1,PHISHING,0.9979273080825806
237,*3 FREE Bottles Of VPXL !! ,pharm_sex,1,PHISHING,0.9992325305938721
238,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.998681366443634
239,"Hey, rates are low. What are you waiting for?",loans,1,PHISHING,0.999480664730072
240,=?utf-8?q?Your_Wells_Fargo=C2=AE_monthly_statement_is_available=2E?=,document_share,1,PHISHING,0.8743655681610107
241,The Mistersporty Incorporation Worldcup Offer 2006,stock_pump_dump,1,PHISHING,0.9994496703147888
242,Mail User Security Alert,account_verify,1,PHISHING,0.9991745352745056
243,50 ways to meet your lover_olesia_k,dating_sites,1,PHISHING,0.9985517859458923
244,it hidden downloaded and installed on you computer .,tech_support,1,PHISHING,0.999303936958313
245,Re: Purpose for SpamAssassin using MySQL,legit,0,LEGITIMATE,0.0259795431047678
246,Ranking And Reviews Of The Top 5 Penis Enlargement Products!,pharm_sex,1,PHISHING,0.9985796213150024
247,"Produce Stronger, Rock Hard Erections. ",pharm_sex,1,PHISHING,0.9989339709281921
248,[DMDX] Re: fail to run DMDX with DirectX9.0,legit,0,LEGITIMATE,0.0016013713320717216
249,URGENT REPLY PLEASE.,advance_fee,1,PHISHING,0.9992120265960693
250,"2006 Global Digital Media - Convergence, Triple Play and IPTV",stock_pump_dump,1,PHISHING,0.9956657290458679
251,fw : midcon 9401 ( permanent march file - expanded distribution li,legit,0,LEGITIMATE,0.01216955203562975
252,A new contract document has been shared,document_share,1,PHISHING,0.9990942478179932
253,"Dear,",advance_fee,1,PHISHING,0.9993366599082947
254,FINANCE/ACCOUNTING VACANCY,hr_impersonation,1,PHISHING,0.9992901086807251
255,This is the final test of a,loans,1,PHISHING,0.9942155480384827
256,[SOC100-L:509] (no subject),stock_pump_dump,1,PHISHING,0.8918968439102173
257,Confirm your informations !,tech_support,1,PHISHING,0.9992921352386475
258,Re: server is rejecting mail from single domain,legit,0,LEGITIMATE,0.0017280508764088154
