email_id,subject,true_label,predicted_label,phish_type,reasoning,error,raw_response
0,Re: lifegem,0,PHISHING,legit,"The email contains a scam attempt by offering a diamond creation service from body carbon, which is a common phishing tactic.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a scam attempt by offering a diamond creation service from body carbon, which is a common phishing tactic.""
}"
1,Re: [opensuse] Nvidia + Xen,0,PHISHING,legit,"The email subject and content do not provide clear indicators of phishing. However, the email is from an unknown sender and the request for assistance in a technical matter could be a potential red flag. It is recommended to verify the sender's identity and the legitimacy of the request before proceeding.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email subject and content do not provide clear indicators of phishing. However, the email is from an unknown sender and the request for assistance in a technical matter could be a potential red flag. It is recommended to verify the sender's identity and the legitimacy of the request before proceeding.""
} {
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email subject and content are related to a technical issue and the sender is identified as Tom Cada. The email is from a known contact and the request for assistance is reasonable and within the context of the conversation.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email subject and content do not provide clear indicators of phishing. However, the email is from an unknown sender and the request for assistance in a technical matter could be a potential red flag. It is recommended to verify the sender's identity and the legitimacy of the request before proceeding.""
} {
  ""classification"": ""LEGITIMATE"","
2,Re: [sugar] Getting sugar running on a Mac,0,PHISHING,legit,"The email contains a request for personal information, which is a common characteristic of phishing attempts.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email subject and body contain a request for personal information, which is a common characteristic of phishing attempts.""
} {
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is from a known contact and discusses a technical issue, which is a common characteristic of legitimate communication.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a request for personal information, which is a common characteristic of phishing attempts.""
} {
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is from a known contact and discusses a technical issue, which is a common characteristic of legitimate communication.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a request for personal information, which is a common characteristic of phishing attempts.""
} {
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is from a"
3,ATM De-activation,1,PHISHING,tech_support,"The email contains several red flags that suggest it is a phishing attempt. These include the use of urgent language to create a sense of panic, a generic greeting, and a request to click on a link to rectify an issue. Legitimate banks typically do not send unsolicited emails with such requests, and they would not ask customers to click on a link to resolve an issue. Additionally, the email does not address the customer by name, which is a common practice in legitimate communications.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains several red flags that suggest it is a phishing attempt. These include the use of urgent language to create a sense of panic, a generic greeting, and a request to click on a link to rectify an issue. Legitimate banks typically do not send unsolicited emails with such requests, and they would not ask customers to click on a link to resolve an issue. Additionally, the email does not address the customer by name, which is a common practice in legitimate communications.""
}"
4,AVAST SECURITY ALERT,1,PHISHING,account_verify,"The email contains multiple red flags such as a generic subject line, a warning message, a suspicious link, and a request for immediate action. These are common characteristics of phishing emails.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains multiple red flags such as a generic subject line, a warning message, a suspicious link, and a request for immediate action. These are common characteristics of phishing emails.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains multiple red flags such as a generic subject line, a warning message, a suspicious link, and a request for immediate action. These are common characteristics of phishing emails.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains multiple red flags such as a generic subject line, a warning message, a suspicious link, and a request for immediate action. These are common characteristics of phishing emails.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains multiple red flags such as a generic subject line, a warning message, a suspicious link, and a request for immediate action. These are common characteristics of phishing emails.""
} {
  ""classification"": """
5,GTV project status weekly update,0,LEGITIMATE,legit,"The email is from a known contact and includes specific project updates and plans, which are typical for internal communication within a company.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is from a known contact and includes specific project updates and plans, which are typical for internal communication within a company.""
}"
6,Re:,1,PHISHING,dating_sites,"The email contains a suspicious link and a quote from a non-existent website, which are common indicators of phishing attempts.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link and a quote from a non-existent website, which are common indicators of phishing attempts.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link and a quote from a non-existent website, which are common indicators of phishing attempts.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link and a quote from a non-existent website, which are common indicators of phishing attempts.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link and a quote from a non-existent website, which are common indicators of phishing attempts.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link and a quote from a non-existent website, which are common indicators of phishing attempts."""
7,FROM ADE WILLIAMS,1,PHISHING,advance_fee,"The email contains several red flags that indicate it is a phishing attempt. These include the use of a generic email address, the request for sensitive information, the promise of a large sum of money, and the inclusion of a link to a non-existent website.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains several red flags that indicate it is a phishing attempt. These include the use of a generic email address, the request for sensitive information, the promise of a large sum of money, and the inclusion of a link to a non-existent website.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains several red flags that indicate it is a phishing attempt. These include the use of a generic email address, the request for sensitive information, the promise of a large sum of money, and the inclusion of a link to a non-existent website.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains several red flags that indicate it is a phishing attempt. These include the use of a generic email address, the request for sensitive information, the promise of a large sum of money, and the inclusion of a link to a non-existent website.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email"
8,Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0,PHISHING,legit,"The email contains a request for help with SMTP settings, which is a common tactic used in phishing attempts to gain access to sensitive information or to trick the recipient into performing actions that compromise their security.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a request for help with SMTP settings, which is a common tactic used in phishing attempts to gain access to sensitive information or to trick the recipient into performing actions that compromise their security.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a request for help with SMTP settings, which is a common tactic used in phishing attempts to gain access to sensitive information or to trick the recipient into performing actions that compromise their security.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a request for help with SMTP settings, which is a common tactic used in phishing attempts to gain access to sensitive information or to trick the recipient into performing actions that compromise their security.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a request for help with SMTP settings, which is a common tactic used in phishing attempts to gain access to sensitive information or to trick"
9,re : half day strategy meeting,0,PHISHING,legit,"The email subject and body contain unusual phrasing and capitalization, which are common indicators of phishing attempts. Additionally, the email does not address the recipient by name, which is a red flag.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email subject and body contain unusual phrasing and capitalization, which are common indicators of phishing attempts. Additionally, the email does not address the recipient by name, which is a red flag.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email subject and body contain unusual phrasing and capitalization, which are common indicators of phishing attempts. Additionally, the email does not address the recipient by name, which is a red flag.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email subject and body contain unusual phrasing and capitalization, which are common indicators of phishing attempts. Additionally, the email does not address the recipient by name, which is a red flag.""
} {
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email subject and body contain unusual phrasing and capitalization, which are common indicators of phishing attempts. Additionally, the email does not address the recipient by name, which is"
