email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.0006924783228896558
1,Re:,dating_sites,1,PHISHING,0.9959456324577332
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,PHISHING,0.6080456972122192
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.0013236576924100518
4,research library needed for netco,legit,0,LEGITIMATE,0.0022131537552922964
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.9973262548446655
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.0019628333393484354
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.2331610769033432
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.9980267882347107
9,This is it. (from Meredith),tech_support,1,PHISHING,0.8866636753082275
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.0009685331606306136
11,LP RELEASE: Outrageous military spending,legit,0,LEGITIMATE,0.15190276503562927
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,LEGITIMATE,0.31238657236099243
13,cusip,legit,0,LEGITIMATE,0.0016728631453588605
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,LEGITIMATE,0.44642460346221924
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.9883217215538025
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.0011374526657164097
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9987016916275024
18,financial manager position,hr_impersonation,1,PHISHING,0.9879792928695679
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.0025854376144707203
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,PHISHING,0.9717204570770264
21,nan,legit,0,LEGITIMATE,0.0006980740581639111
22,Euro Milliones(Your Email Address Has Won A Lottery),lottery,1,PHISHING,0.9859755635261536
23,Take Care of Your Health Now,pharm_sex,1,PHISHING,0.9188389182090759
24,volume changes,legit,0,LEGITIMATE,0.0014099571853876114
25,from NA Digest,legit,0,LEGITIMATE,0.04113151878118515
26,Re:,dating_sites,1,PHISHING,0.9937248826026917
27,3.5% fixed payment 30 year loan,loans,1,PHISHING,0.9976406097412109
28,Thank You So Much 126432211111,loans,1,PHISHING,0.9331948757171631
29,LNG Update,legit,0,LEGITIMATE,0.005442088004201651
30,DHL Delivery ,invoice_payment,1,PHISHING,0.9160141944885254
31,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9983893632888794
32,Notifcation: You have (9) new undelivered messages,document_share,1,PHISHING,0.7464821934700012
33,Changes for cpuserver & pwd prompt?,legit,0,LEGITIMATE,0.0006025198381394148
34,tenaska iv gas,legit,0,LEGITIMATE,0.0055678547360002995
35,Re: [opensuse] Importing a CSV file into Kaddressbook,legit,0,LEGITIMATE,0.0005996756372042
36,Lowest Rates Available.                    gjannsxrwg,loans,1,PHISHING,0.9934793710708618
37,Male Enhancement Reviews,pharm_sex,1,PHISHING,0.9367090463638306
38,PAPER 6,legit,0,LEGITIMATE,0.004491278901696205
39,CONGRATULATIONS!!! CHECK WITH YOUR AGENT,lottery,1,PHISHING,0.9987629652023315
40,Re: Bits from the job front...,legit,0,LEGITIMATE,0.0010697946418076754
41,Re: Sonar Assembly,legit,0,LEGITIMATE,0.0013165490236133337
42,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9122839570045471
43,Iraq invasion could 'worsen terrorist threat',legit,0,LEGITIMATE,0.010140492580831051
44,Re: When a Crop Becomes King,legit,0,LEGITIMATE,0.001825946383178234
45,Re:,dating_sites,1,PHISHING,0.9938567280769348
46,bad focus/click behaviours,legit,0,LEGITIMATE,0.0007945453398860991
47,URGENT SECURITY CHECK FAILURE,tech_support,1,PHISHING,0.9988371729850769
48,re : resumes,legit,0,LEGITIMATE,0.0006747693405486643
49,"The Government grants you $25,000!",loans,1,PHISHING,0.9986059069633484
50,RE: 68HC11 assembly commands,legit,0,LEGITIMATE,0.0010372980032116175
51,california update 6 / 08 / 01,legit,0,LEGITIMATE,0.003844084683805704
52,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9957672357559204
53,Re: [ILUG] extending a HAN with Wireless..,legit,0,LEGITIMATE,0.24954164028167725
54,WINNER'S INFORMATIONS!!!,lottery,1,PHISHING,0.9981332421302795
55,50 ways to meet your lover_sirry,dating_sites,1,PHISHING,0.9937446713447571
56,"[Spambayes-checkins] spambayes/windows/py2exe setup_all.py, 1.28, 1.29",legit,0,LEGITIMATE,0.0014108140021562576
57,Email Security Alert !!!,account_verify,1,PHISHING,0.9989362359046936
58,Re: queue file write error for some domains,legit,0,LEGITIMATE,0.0009512474061921239
59,"Kevin Mitnick's laptop, signed by Woz, on eBay",legit,0,LEGITIMATE,0.004816538654267788
60,Profile and Preference Update,document_share,1,PHISHING,0.9987019300460815
61,millions of mp 3 ' s and movies - download for free now !,tech_support,1,PHISHING,0.9948924779891968
62,Positions Accessible,hr_impersonation,1,PHISHING,0.9986513257026672
63,[UAI] Job announcement: JPL Machine Learning Group Supervisor,legit,0,LEGITIMATE,0.0013661860721185803
64,"Lottery Winning Final Notification,You Won.",lottery,1,PHISHING,0.996343195438385
65,Re: [ILUG] linux laptop: T61p or Macbook Pro,legit,0,LEGITIMATE,0.0006975952419452369
66,Re[2]: Selling Wedded Bliss (was Re: Ouch...),legit,0,LEGITIMATE,0.0013971818843856454
67,Re: [Python-Dev] thoughts on having EOFError inherit from	EnvironmentError?,legit,0,LEGITIMATE,0.0006314744823612273
68,RE: Hanson's Sept 11 message in the National Review,legit,0,LEGITIMATE,0.0031790563371032476
69,Re: Forged whitelist spam,legit,0,LEGITIMATE,0.3926338851451874
