email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.0007577986107207835
1,Re:,dating_sites,1,PHISHING,0.9979799389839172
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,PHISHING,0.9879963994026184
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.000443561642896384
4,research library needed for netco,legit,0,LEGITIMATE,0.0008751041605137289
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.9987345337867737
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.0021542462054640055
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.00929368007928133
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.9988656044006348
9,This is it. (from Meredith),tech_support,1,LEGITIMATE,0.001443710527382791
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.0006193987210281193
11,LP RELEASE: Outrageous military spending,legit,0,PHISHING,0.7263275980949402
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,PHISHING,0.9963661432266235
13,cusip,legit,0,LEGITIMATE,0.003711242461577058
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,PHISHING,0.9723888635635376
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.998239278793335
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.0005568406777456403
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9990559220314026
18,financial manager position,hr_impersonation,1,PHISHING,0.9978466033935547
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.002586832270026207
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,LEGITIMATE,0.020971331745386124
21,nan,legit,0,LEGITIMATE,0.0006206384277902544
22,Euro Milliones(Your Email Address Has Won A Lottery),lottery,1,PHISHING,0.9983025789260864
23,Take Care of Your Health Now,pharm_sex,1,PHISHING,0.9960266351699829
24,volume changes,legit,0,LEGITIMATE,0.000987006351351738
25,from NA Digest,legit,0,LEGITIMATE,0.0021763306576758623
26,Re:,dating_sites,1,PHISHING,0.9979826211929321
27,3.5% fixed payment 30 year loan,loans,1,PHISHING,0.9939431548118591
28,Thank You So Much 126432211111,loans,1,PHISHING,0.998691737651825
29,LNG Update,legit,0,LEGITIMATE,0.0007438779575750232
30,DHL Delivery ,invoice_payment,1,PHISHING,0.9989109039306641
31,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.999030351638794
32,Notifcation: You have (9) new undelivered messages,document_share,1,PHISHING,0.969397783279419
33,Changes for cpuserver & pwd prompt?,legit,0,LEGITIMATE,0.000496935099363327
34,tenaska iv gas,legit,0,LEGITIMATE,0.008685768581926823
35,Re: [opensuse] Importing a CSV file into Kaddressbook,legit,0,LEGITIMATE,0.0007388959056697786
36,Lowest Rates Available.                    gjannsxrwg,loans,1,PHISHING,0.9972219467163086
37,Male Enhancement Reviews,pharm_sex,1,PHISHING,0.9654436111450195
38,PAPER 6,legit,0,LEGITIMATE,0.007821297273039818
39,CONGRATULATIONS!!! CHECK WITH YOUR AGENT,lottery,1,PHISHING,0.9992666840553284
40,Re: Bits from the job front...,legit,0,LEGITIMATE,0.0003859660937450826
41,Re: Sonar Assembly,legit,0,LEGITIMATE,0.0007573236362077296
42,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9922916293144226
43,Iraq invasion could 'worsen terrorist threat',legit,0,LEGITIMATE,0.07993242889642715
44,Re: When a Crop Becomes King,legit,0,LEGITIMATE,0.0018162538763135672
45,Re:,dating_sites,1,PHISHING,0.9979391694068909
46,bad focus/click behaviours,legit,0,LEGITIMATE,0.0004221103445161134
47,URGENT SECURITY CHECK FAILURE,tech_support,1,PHISHING,0.9992647767066956
48,re : resumes,legit,0,LEGITIMATE,0.0007585877319797873
49,"The Government grants you $25,000!",loans,1,PHISHING,0.9987909197807312
50,RE: 68HC11 assembly commands,legit,0,LEGITIMATE,0.00048799015348777175
51,california update 6 / 08 / 01,legit,0,LEGITIMATE,0.010237348265945911
52,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.998879611492157
53,Re: [ILUG] extending a HAN with Wireless..,legit,0,LEGITIMATE,0.008605188690125942
54,WINNER'S INFORMATIONS!!!,lottery,1,PHISHING,0.9991031885147095
55,50 ways to meet your lover_sirry,dating_sites,1,PHISHING,0.9988777041435242
56,"[Spambayes-checkins] spambayes/windows/py2exe setup_all.py, 1.28, 1.29",legit,0,LEGITIMATE,0.0008698745514266193
57,Email Security Alert !!!,account_verify,1,PHISHING,0.9991323351860046
58,Re: queue file write error for some domains,legit,0,LEGITIMATE,0.0007517446647398174
59,"Kevin Mitnick's laptop, signed by Woz, on eBay",legit,0,LEGITIMATE,0.004771806299686432
60,Profile and Preference Update,document_share,1,PHISHING,0.9990977048873901
61,millions of mp 3 ' s and movies - download for free now !,tech_support,1,PHISHING,0.9964847564697266
62,Positions Accessible,hr_impersonation,1,PHISHING,0.9988844990730286
63,[UAI] Job announcement: JPL Machine Learning Group Supervisor,legit,0,LEGITIMATE,0.0006137560703791678
64,"Lottery Winning Final Notification,You Won.",lottery,1,PHISHING,0.9991093277931213
65,Re: [ILUG] linux laptop: T61p or Macbook Pro,legit,0,LEGITIMATE,0.0006508202641271055
66,Re[2]: Selling Wedded Bliss (was Re: Ouch...),legit,0,LEGITIMATE,0.0038133179768919945
67,Re: [Python-Dev] thoughts on having EOFError inherit from	EnvironmentError?,legit,0,LEGITIMATE,0.0005564705934375525
68,RE: Hanson's Sept 11 message in the National Review,legit,0,LEGITIMATE,0.14049595594406128
69,Re: Forged whitelist spam,legit,0,PHISHING,0.9955422282218933
70,CONGRATULATIONS!!!YOU ARE OUR LUCKY WINNER,lottery,1,PHISHING,0.9991468191146851
71,[Razor-users] How to test razor,legit,0,LEGITIMATE,0.001627861289307475
72,Amended Compression Services Agreement,legit,0,LEGITIMATE,0.00049478595610708
73,WINNING NOTIFICATION !!!,lottery,1,PHISHING,0.9991901516914368
74,CONTACT ASAP!!!,lottery,1,PHISHING,0.9991163611412048
