sender,receiver,date,subject,body,urls,label
UBA PLC <talktojonathan@yahoo.co.uk>,jose@monkey.org,"Sun, 17 Jan 2016 22:25:55 -0500",ATM De-activation,"Debit Card Suspension Alert.  Dear Esteemed Customer , This to inform you that your UBA card is not properly Integrated with your Bank Verification Number on our Platform. Please Folow the link Below to rectify to avoid Account Deactivation   Rectify to avoid Account Deactivation For more information, kindly visit any of UBA branches or contact , our 24/7 Customer Interactive Center. Failure to comply will lead to atm and internet banking channel disabled and your remote access will be blocked within 48 hours. Thank You for choosing Uba Group. Terms & Conditions /Privacy Policy Global Settings /  2015. All Rights Reserved",1,1
monkey.org  <sales@cobiugmail.live>,jose@monkey.org,09 Dec 2019 00:32:16 -0800,jose@monkey.org=?UTF-8?B?OiBQYXNzd29yZCBSybVzybV0ICE=?=,monkey.org                                        ID:jose@monkey.org   Your account jose@monkey.org password expires today  12/9/2019 12:32:15 a.m.Please kindly use the button below to continue with the same password   Keep same password    NOTE  :   This is a one time user verification carried out   in purpose to provide a more secured platform and shut down robot or malicious users created in purpose of   spamming and other fraudulent activities.  Copyright © 2019 monkey.org security management,1,1
Mail Service  <noreply_admin@notion.net.in>,jose@monkey.org,03 Sep 2017 20:25:05 +0300,jose@monkey.org Upgrade your mailbox!,"Secure your Mail Account Dear jose, We're no longer able to verify your identity, and we strongly encourage you to verify to increase your mail experience and help fight spam & malicious mails sent to jose@monkey.org. . Do not forward or give this security info to anyone. Please visit your account's sign-in & security settings to ensure your account is safe. Sincerely,Mail Security Accounts Team This email can't receive replies. For more information, visit the Google Accounts Help Center.©Google Inc., 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA",1,1
"""Protection Notice"" <postmaster@emeraldpropertesgh.com>",jose@monkey.org,15 Apr 2019 18:16:57 +0300,Malware Protection Notice,"Malware Protection Notice!!!  Dear jose@monkey.orgTo keep your mail account safe, please follow the URL below to run a quick email scan. Click here to scan jose@monkey.org now! Note: If you ignore this notice, your account will be suspended without further notice to protect our server from further damage. Source: Email Security Team This is an auto-generated message sent to: jose@monkey.orgDo not reply this mail because Replies sent to Mail Server will not be received or replied.",1,1
"""USAA"" <codewizard@approject.com>",jose@monkey.org,15 Dec 2016 15:19:18 -0500,Your Checking/Savings Account Untrusted Authorization,"To      ensure delivery to your inbox, please add  USAA.Web.Services@customermail.usaa.com to your address book.     Personal Profile              Update             View Accounts |                          Privacy Promise |                          Contact Us USAA SECURITY ZONE  ONLINE                 MEMBER                  USAA # ending in: XXXX           Special Notice Posted :         We've  detected several potentialy untrusted authorizations in your account. Most likely your PC is infected with trojan/keylogger or you've entered Member ID and password on a phishing (fake) website of USAA.          Remember, we do not ask for personal or account information          in an e-mail. Due to system maintenance, all account holders are required to update          their full information  Click here to            update your account  Please Note: If your account is not updated now, it          result in temporary suspension. For your security please click here to        update your account.                      Update My Account         Thank you for your continued trust in USAA. Sincerely,   Gary D. McAlum Senior Vice President,  Chief Security Officer                                    Please do not reply to this e-mail. To send a secure message to USAA, please          contact us.     Privacy Promise     USAA, 9800 Fredericksburg Road, San Antonio, Texas 78288               USAA means United Services Automobile Association and its insurance,      banking, investment and other companies. Banks Member FDIC. Investments      provided by USAA Investment Management Company and USAA Financial Advisors      Inc., both registered broker dealers.         67624-1212",1,1
Mail Admin <admin@notion.net.in>,jose@monkey.org,24 Aug 2017 01:02:59 +0300,Fix your mailbox !,"Security Alert!!! Attn! jose  We're no longer able to verify your identity, and we strongly encourage you to verify to increase your mail experience and help fight spam & malicious mails sent to jose@monkey.org. Verify Mailbox Here You stand the chance of losing your account if you are not validated. Thank you Mail Security 2017",1,1
"""Apple"" <chel@online.no>",jose@monkey.org,"Wed, 16 Mar 2016 03:35:49 +0100",Apple account unusual sign-in activity,"Apple account Unusual sign-in activity We detected something unusual about a recent sign-in to the Apple account.   To help keep you safe, we required an extra security challenge. Sign-in details: Country/region: Russia Federation IP address: 46.36.17.5 Date: 3/16/2016 02:49 (EST) If this was you, then you can safely ignore this email. If you're not sure this was you, a malicious user might have your password. Please review your recent activity and we'll help you take corrective action. Review recent activity To opt out or change where you receive security notifications,  click here. Thanks, The Apple account team",1,1
"""PayPal""<noreply@yahoo-inc.com>",,"Sun, 24 Jul 2016 07:59:32 +0300",[Infected Attachment Removed] Unexpected sign-in attempt,"Cyberoam Anti Virus has found Infected Attachment in the following message:
----------------------
From: noreply@yahoo-inc.com
To: jose@mnl.airtiger.com;jose@monkey.org
Date: 2016-07-24 10:29:50


Virus Name(s): 'Mal/Phish-A,'
Attachment Name(s): /info.html,
----------------------
",0,1
"""Email Security"" <partners@cumulativeventures.com>",jose@monkey.org,"Sat, 21 Jul 2018 02:31:24 +0000",Complete Verification,"Hi  jose@monkey.org ,        You received this email because you did not confirm your account,   To continue using your email address Please log in to our website below and proceed with the confirmation below.       Please use this link to complete verification.  This process is very important to help us protect your internet and fight malicious activities.     Have a great day!    Email Security                                  Replies sent to this email address can not be answered.        	 Virus-free. www.avast.com    Hi  jose@monkey.org , You received this email because you did not confirm your account,   To continue using your email address Please log in to our website below and proceed with the confirmation below. Please use this link to complete verification. This process is very important to help us protect your internet and fight malicious activities.  Have a great day!  Email Security    Replies sent to this email address can not be answered. Virus-free. www.avast.com",1,1
monkey.org<securityalert@postmaster.net>,jose@monkey.org,26 Sep 2019 11:44:23 -0700,Virus Detected - jose@monkey.org,"Virus Alert!!! Dear jose@monkey.org, Virus has been detected in your email account.  Our spider detected deadly Trojans in your jose@monkey.org To keep your account safe, please click below to run a quick email scan. Quick scan jose@monkey.org now! Note: If you ignore this notice, your account will be suspended without further notice to protect our server from further damage. Source: Email Security Team  This is an auto-generated message sent to: jose@monkey.org Do not reply this mail because Replies sent to Mail Server will not be received or replied.",1,1
