email_id,subject,true_label,predicted_label,reasoning,error,raw_response
0,Re: lifegem,0,PHISHING,"The email contains content promoting a product (LifeGem) that is not legitimate and includes inappropriate and offensive humor, which is often used in phishing attempts to distract recipients and make them less suspicious.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains content promoting a product (LifeGem) that is not legitimate and includes inappropriate and offensive humor, which is often used in phishing attempts to distract recipients and make them less suspicious.""
}"
1,Re: [opensuse] Nvidia + Xen,0,LEGITIMATE,"The email is discussing technical issues related to NVIDIA drivers and Xen, which is a legitimate topic for a user seeking help with system configuration. There is no indication of phishing or malicious intent.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is discussing technical issues related to NVIDIA drivers and Xen, which is a legitimate topic for a user seeking help with system configuration. There is no indication of phishing or malicious intent.""
}"
2,Re: [sugar] Getting sugar running on a Mac,0,LEGITIMATE,"The email appears to be part of a discussion about installing Sugar on a Mac, referencing software like Qemu and Parallels. It does not contain any suspicious links, requests for personal information, or other indicators typically found in phishing emails.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be part of a discussion about installing Sugar on a Mac, referencing software like Qemu and Parallels. It does not contain any suspicious links, requests for personal information, or other indicators typically found in phishing emails.""
}"
3,ATM De-activation,1,PHISHING,"The email contains urgent language about account deactivation and instructions to follow a provided link to rectify the issue, which is a common tactic in phishing emails.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains urgent language about account deactivation and instructions to follow a provided link to rectify the issue, which is a common tactic in phishing emails.""
}"
4,AVAST SECURITY ALERT,1,PHISHING,"The email contains urgent language and instructions to click a link to scan the mailbox, which is a common tactic in phishing emails. It also includes a fake URL (http://jmagalhaes.com) that appears to be from Avast but is not legitimate, and it redirects to a different website.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains urgent language and instructions to click a link to scan the mailbox, which is a common tactic in phishing emails. It also includes a fake URL (http://jmagalhaes.com) that appears to be from Avast but is not legitimate, and it redirects to a different website.""
}"
5,GTV project status weekly update,0,LEGITIMATE,"The email contains information about project statuses and updates related to a specific project (GTV). It does not contain any suspicious links, requests for personal information, or urgent actions that would indicate it is a phishing attempt.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email contains information about project statuses and updates related to a specific project (GTV). It does not contain any suspicious links, requests for personal information, or urgent actions that would indicate it is a phishing attempt.""
}"
6,Re:,1,LEGITIMATE,"The email content appears to be a casual and somewhat humorous reference to a good marriage being like a casserole, which is not indicative of phishing. The URL provided does not seem to be related to the email's content and could potentially lead to a phishing site, but the primary content is not suspicious.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email content appears to be a casual and somewhat humorous reference to a good marriage being like a casserole, which is not indicative of phishing. The URL provided does not seem to be related to the email's content and could potentially lead to a phishing site, but the primary content is not suspicious.""
}"
7,FROM ADE WILLIAMS,1,PHISHING,"The email contains urgent language about repatriating money and offers a high-value prize, which is common in phishing scams. It also includes a suspicious phone number and an external link unrelated to the main content.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains urgent language about repatriating money and offers a high-value prize, which is common in phishing scams. It also includes a suspicious phone number and an external link unrelated to the main content.""
}"
8,Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0,LEGITIMATE,"The email appears to be discussing technical details related to Postfix and DKIM filtering, specifically addressing issues with receiving emails. It does not contain any suspicious links, requests for personal information, or other indicators commonly found in phishing emails.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be discussing technical details related to Postfix and DKIM filtering, specifically addressing issues with receiving emails. It does not contain any suspicious links, requests for personal information, or other indicators commonly found in phishing emails.""
}"
9,re : half day strategy meeting,0,LEGITIMATE,"The email appears to be a legitimate work-related communication about scheduling a meeting, with standard professional language and no indicators of phishing tactics.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a legitimate work-related communication about scheduling a meeting, with standard professional language and no indicators of phishing tactics.""
}"
10,50 ways to meet your lover_iGirl,1,PHISHING,"The email contains suspicious links and requests for personal information, typical of phishing attempts.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains suspicious links and requests for personal information, typical of phishing attempts.""
}"
11,mit student ' s thesis writeups,0,LEGITIMATE,"The email discusses professional networking and collaboration between companies and universities, mentioning a specific student's qualifications and an upcoming visit. The content does not contain any indicators of phishing, such as urgent requests for financial information or links to suspicious websites.",,"{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email discusses professional networking and collaboration between companies and universities, mentioning a specific student's qualifications and an upcoming visit. The content does not contain any indicators of phishing, such as urgent requests for financial information or links to suspicious websites.""
}"
12,Job Vacancies ,1,PHISHING,"The email offers attractive job benefits that seem too good to be true, including tax payments and insurance coverage without any mention of qualifications or interviews. It also requests personal and sensitive information (name, country, email, contact number) and directs recipients to a suspicious email address (Sabina.Yakovleva@gmail.com).",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email offers attractive job benefits that seem too good to be true, including tax payments and insurance coverage without any mention of qualifications or interviews. It also requests personal and sensitive information (name, country, email, contact number) and directs recipients to a suspicious email address (Sabina.Yakovleva@gmail.com).""
}"
13,PharmacyWorldwidePhentrimine,1,PHISHING,"The email subject contains suspicious keywords related to a pharmacy and a medication (Phentrimine), which is often associated with phishing attempts. The provided link leads to a potentially malicious website.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email subject contains suspicious keywords related to a pharmacy and a medication (Phentrimine), which is often associated with phishing attempts. The provided link leads to a potentially malicious website.""
}"
14,Your Checking/Savings Account Untrusted Authorization,1,PHISHING,"The email contains suspicious language about potential unauthorized access and requests for account information, urging the recipient to click on a link to update their account. It also mentions system maintenance and temporary suspension if not updated, which are common tactics used in phishing emails.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains suspicious language about potential unauthorized access and requests for account information, urging the recipient to click on a link to update their account. It also mentions system maintenance and temporary suspension if not updated, which are common tactics used in phishing emails.""
}"
15,PAPER 26,0,LEGITIMATE,"The email discusses academic topics related to copyright law, specifically referencing historical legal cases and concepts. The content appears to be educational and informative rather than attempting to lure recipients into clicking on malicious links or providing personal information.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email discusses academic topics related to copyright law, specifically referencing historical legal cases and concepts. The content appears to be educational and informative rather than attempting to lure recipients into clicking on malicious links or providing personal information.""
}"
16,[zzzzteana] Man admits Soham kidnapping hoax calls,0,LEGITIMATE,The email contains information about a real event involving a legal case and court proceedings related to hoax calls made during the investigation of the Soham schoolgirl disappearance. There are no indicators of phishing attempts or malicious content within the email.,,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email contains information about a real event involving a legal case and court proceedings related to hoax calls made during the investigation of the Soham schoolgirl disappearance. There are no indicators of phishing attempts or malicious content within the email.""
}"
17,Navigation buttons do not show,0,LEGITIMATE,"The email does not contain any suspicious links, request for personal information, or urgent actions typical of phishing emails. It appears to be a technical support query about an issue with a slideshow on a theater website.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email does not contain any suspicious links, request for personal information, or urgent actions typical of phishing emails. It appears to be a technical support query about an issue with a slideshow on a theater website.""
}"
18,"[DMDX] write to output file, disk full",0,PHISHING,"The email contains technical jargon related to a specific software (dmdx) and requests for assistance, which could be a red flag for phishing attempts. The sender is asking for personal information or directing the recipient to take actions that seem suspicious.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains technical jargon related to a specific software (dmdx) and requests for assistance, which could be a red flag for phishing attempts. The sender is asking for personal information or directing the recipient to take actions that seem suspicious.""
}"
