email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.00045945943566039205
1,Re:,dating_sites,1,PHISHING,0.9944321513175964
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,LEGITIMATE,0.11143442988395691
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.0005771786090917885
4,research library needed for netco,legit,0,LEGITIMATE,0.0004130301240365952
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.9955969452857971
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.001098312553949654
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.15785445272922516
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.9983752965927124
9,This is it. (from Meredith),tech_support,1,PHISHING,0.9231668710708618
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.0004933176096528769
11,LP RELEASE: Outrageous military spending,legit,0,LEGITIMATE,0.0034207478165626526
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,PHISHING,0.9989390969276428
13,cusip,legit,0,LEGITIMATE,0.0005562239675782621
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,PHISHING,0.9967622756958008
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.9983527660369873
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.0005355732282623649
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9868931770324707
18,financial manager position,hr_impersonation,1,PHISHING,0.9979865550994873
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.0004437900788616389
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,LEGITIMATE,0.011571443639695644
21,nan,legit,0,LEGITIMATE,0.0005129673518240452
22,Euro Milliones(Your Email Address Has Won A Lottery),lottery,1,PHISHING,0.9987099170684814
23,Take Care of Your Health Now,pharm_sex,1,PHISHING,0.9953044652938843
24,volume changes,legit,0,LEGITIMATE,0.0007812886615283787
25,from NA Digest,legit,0,LEGITIMATE,0.002252045553177595
26,Re:,dating_sites,1,PHISHING,0.9941913485527039
27,3.5% fixed payment 30 year loan,loans,1,PHISHING,0.9987987279891968
