email_id,subject,true_label,predicted_label,phish_type,summary,summary_error,reasoning,classify_error,summary_raw_response,classify_raw_response
0,[SOC100-L:509] (no subject),1,LEGITIMATE,stock_pump_dump,"This email discusses the decline of Hawaii's economy, particularly focusing on the impact of the closure of sugar mills and the reliance on tourism. The author reflects on personal experiences with family businesses struggling due to economic downturn and compares it to the lack of innovation in addressing Hawaii's economic challenges, using the example of a soap pouch as a metaphor for overlooked solutions.",,"The email content discusses economic issues in Hawaii and personal reflections, not typical phishing themes.",,"{""summary"": ""This email discusses the decline of Hawaii's economy, particularly focusing on the impact of the closure of sugar mills and the reliance on tourism. The author reflects on personal experiences with family businesses struggling due to economic downturn and compares it to the lack of innovation in addressing Hawaii's economic challenges, using the example of a soap pouch as a metaphor for overlooked solutions.""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email content discusses economic issues in Hawaii and personal reflections, not typical phishing themes.""}"
1,here is the estimate that i came up with for work still to be done by enron,0,LEGITIMATE,legit,"The sender, likely an Enron employee, has sent an estimate for remaining work and asks the recipient to review it and forward it to Michelle. There is no urgency or deadline mentioned.",,"Internal communication about work estimate, no suspicious elements.",,"{""summary"": ""The sender, likely an Enron employee, has sent an estimate for remaining work and asks the recipient to review it and forward it to Michelle. There is no urgency or deadline mentioned.""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""Internal communication about work estimate, no suspicious elements.""}"
2,Auto Email Upgrade jose@monkey.org,1,PHISHING,document_share,"This email from 'Email Administrator' warns that the recipient's mailbox (jose@monkey.org) is almost full (1989MB out of 2000MB) and urges them to upgrade their storage immediately.  Failure to upgrade may result in difficulty receiving emails, account closure, and data loss. The sender claims the upgrade is free of charge. The email includes a confidentiality notice and contact information for the sender and an administrator.",,"Generic warning about full mailbox, unsolicited upgrade offer, and use of 'Email Administrator' as sender name are common phishing tactics.",,"{""summary"": ""This email from 'Email Administrator' warns that the recipient's mailbox (jose@monkey.org) is almost full (1989MB out of 2000MB) and urges them to upgrade their storage immediately.  Failure to upgrade may result in difficulty receiving emails, account closure, and data loss. The sender claims the upgrade is free of charge. The email includes a confidentiality notice and contact information for the sender and an administrator.""}","{""classification"": ""PHISHING"", ""reasoning"": ""Generic warning about full mailbox, unsolicited upgrade offer, and use of 'Email Administrator' as sender name are common phishing tactics.""}"
3,Re: but he really does use Outlook,0,LEGITIMATE,legit,"The sender, rceejke@jidanni.org, is responding to a previous email where the recipient's Spamassassin flagged their message as potentially forged from MS Outlook. The sender insists they use MS Outlook (Express) and suggests the recipient investigate their Spamassassin configuration to understand why the rule is triggering. They mention the rule 'FORGED_MUA_OUTLOOK' and provide some details about its scoring system and potential causes.",,"The email appears to be a legitimate response to a spam filter issue, providing technical details about the flagged rule.",,"{""summary"": ""The sender, rceejke@jidanni.org, is responding to a previous email where the recipient's Spamassassin flagged their message as potentially forged from MS Outlook. The sender insists they use MS Outlook (Express) and suggests the recipient investigate their Spamassassin configuration to understand why the rule is triggering. They mention the rule 'FORGED_MUA_OUTLOOK' and provide some details about its scoring system and potential causes.""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate response to a spam filter issue, providing technical details about the flagged rule.""}"
4,Your own business!,1,PHISHING,hr_impersonation,"Clarice Nichols from MT Rushphase Co. is offering a ""Company Representative"" position with a starting income of USD1000 per week.  Applicants must be US citizens, 19 years or older, law-abiding, and have basic computer and internet skills.  Interested candidates are asked to fill out a form on http://mt-rushphase.info/careers.html",,Unsolicited job offers with unrealistic pay and a suspicious domain are common phishing tactics.,,"{""summary"": ""Clarice Nichols from MT Rushphase Co. is offering a \""Company Representative\"" position with a starting income of USD1000 per week.  Applicants must be US citizens, 19 years or older, law-abiding, and have basic computer and internet skills.  Interested candidates are asked to fill out a form on http://mt-rushphase.info/careers.html""}","{""classification"": ""PHISHING"", ""reasoning"": ""Unsolicited job offers with unrealistic pay and a suspicious domain are common phishing tactics.""}"
5,re : volatility conference,0,LEGITIMATE,legit,"Todd Strauss from PHB Hagler Bailly, Inc. thanks Vince Kaminski for his participation in the Infocast Volatility Conference in Houston. He praises Vince's analysis of the electricity markets and wishes him a happy and prosperous new year.",,The email appears to be a genuine thank you note from a professional event organizer to a participant.,,"{""summary"": ""Todd Strauss from PHB Hagler Bailly, Inc. thanks Vince Kaminski for his participation in the Infocast Volatility Conference in Houston. He praises Vince's analysis of the electricity markets and wishes him a happy and prosperous new year.""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a genuine thank you note from a professional event organizer to a participant.""}"
6,Total success!,1,PHISHING,hr_impersonation,"Clarice Nichols from MT Rushphase Co. is offering a ""Company Representative"" position with a starting income of USD1000 per week.  Applicants must be US citizens, 19 years or older, law-abiding, and have basic computer and internet knowledge.  Interested candidates are asked to fill out a form on http://mt-rushphase.org/careers.html",,Unsolicited job offers with unrealistic salaries and generic requirements are common phishing tactics.,,"{""summary"": ""Clarice Nichols from MT Rushphase Co. is offering a \""Company Representative\"" position with a starting income of USD1000 per week.  Applicants must be US citizens, 19 years or older, law-abiding, and have basic computer and internet knowledge.  Interested candidates are asked to fill out a form on http://mt-rushphase.org/careers.html""}","{""classification"": ""PHISHING"", ""reasoning"": ""Unsolicited job offers with unrealistic salaries and generic requirements are common phishing tactics.""}"
7,Please DocuSign: Offer20201116-0740974_jose.pdf ,1,PHISHING,document_share,"The sender, DocuSign, is requesting the recipient to electronically sign a completed document titled 'Offer20201116-0740974_jose.pdf' via DocuSign. The email provides a link to view the completed document and encourages the recipient to download the DocuSign app.",,Requests for urgent document signing with generic filenames and links are common phishing tactics.,,"{""summary"": ""The sender, DocuSign, is requesting the recipient to electronically sign a completed document titled 'Offer20201116-0740974_jose.pdf' via DocuSign. The email provides a link to view the completed document and encourages the recipient to download the DocuSign app.""}","{""classification"": ""PHISHING"", ""reasoning"": ""Requests for urgent document signing with generic filenames and links are common phishing tactics.""}"
8,COINGRATULATION !!! YOU HAVE WON,1,PHISHING,lottery,"The sender, claiming to be from the Euro Millions Spanish Lottery International, informs the recipient they have won 1,000,000 Euros. They request the recipient to contact Dr. Robert Sanchez of Sanchez Security Company Espa�a via email (sanchezseguros@netscape.net) or phone (0034-699-752-404) to claim the prize. The recipient is instructed to keep the information confidential and to quote their reference and batch numbers in all correspondence. The deadline to claim the prize is one month from the email date.",,"Classic lottery scam format requesting personal information and using a generic, unprofessional email address.",,"{""summary"": ""The sender, claiming to be from the Euro Millions Spanish Lottery International, informs the recipient they have won 1,000,000 Euros. They request the recipient to contact Dr. Robert Sanchez of Sanchez Security Company Espa�a via email (sanchezseguros@netscape.net) or phone (0034-699-752-404) to claim the prize. The recipient is instructed to keep the information confidential and to quote their reference and batch numbers in all correspondence. The deadline to claim the prize is one month from the email date.""}","{""classification"": ""PHISHING"", ""reasoning"": ""Classic lottery scam format requesting personal information and using a generic, unprofessional email address.""}"
9,article : ' business gets brisker online ' ( enron mention ),0,LEGITIMATE,legit,"Sarimah Black sent an article from the Financial Times, August 8, 2001, titled 'business gets brisker online' (enron mention) and requests the recipient to review it.",,The email appears to be a legitimate request to review an article from a reputable source.,,"{""summary"": ""Sarimah Black sent an article from the Financial Times, August 8, 2001, titled 'business gets brisker online' (enron mention) and requests the recipient to review it.""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate request to review an article from a reputable source.""}"
