subject,body,label,phish_type
Won't forget last night,"Subject: Won't forget last night

Hello! Let me introduce myself!

My name is Dr. Abraham Morgentaler, an associate professor of urology at Harvard Medical School and author of ""The Viagra Myth: The Surprising Impact on Love and Relationships.""

That is what I think about Viagra:

Viagra seems to be changing not only the firmness of a man's penis but also the way people think about relationships.

Viagra is really one of the most remarkable advances in modern medicine in the last 50 years.

It's remarkable, but the effect of Viagra is so far beyond its pure medical indication. The effects are psychological, they're attitudinal, they're behavioral, and they're societal.

Viagra has turned out to be a window into certainly the minds of the psyche of men but also of women and what it is that sex means for us.

The Viagra experience has shown us that men care deeply about being a good sexual partner; they want not just to be adequate but to be admired.

Viagra can play into that.

I advise you to visit this interesting website for more information!  http://xnbaon.similarslave.com/?s 



**",1,pharm_sex
Stepper motor!!,"Subject: Stepper motor!!

Hallo all.

I'm working on a fun project and thought I'd share some insights!

Have you ever considered using stepper motor driver ICs? They can really make a difference!

For example, I've had great success with:

* SAA1027 Philips (uni-polar)
* ucn-5804B Allegro Microsystems (uni-polar)
* L297 SGS-Thomsom (uni and bi-polar)

These drivers have really helped me overcome some challenges and my project is coming along nicely!

If you're interested in learning more, this website has some helpful datasheets:

http://www.quistlink.com/

Best,
jeroen.",0,legit
*3 FREE Bottles Of VPXL !! ,"Subject: *3 FREE Bottles Of VPXL !! 

Body:

Hey there!

I'm so excited to share this amazing opportunity with you! I recently discovered this incredible supplement called VPXL, and I've been blown away by the results. It's all natural and helps you achieve your fitness goals faster. 

They're offering a special promotion right now - 3 FREE bottles of VPXL! Just pay a small shipping fee.  It's a limited-time offer, so don't miss out!

I've been taking it for a few weeks now, and I've already noticed a difference in my overall energy and stamina.  

Here's the link to learn more: http://zoomleap.com/


Let me know if you have any questions!


Best,

[Your Name]",1,pharm_sex
Mr Noel PANGA.,"Subject: Mr Noel PANGA.

GOOD MORNING.


I hope this email finds you well.


My name is Mr Noel PANGA, and I work as a senior staff member at the African Development Bank. I'm reaching out to you today because I'm involved in a fascinating project that I believe could be mutually beneficial.

During a recent audit, my department discovered a dormant account belonging to a deceased individual who passed away unexpectedly.  The account contains a significant sum of money, and due to the circumstances, it hasn't been claimed.

I've been impressed by your online presence and believe you might be the perfect person to help me with this matter.  I'm unable to directly access or transfer these funds due to my position within the bank.  

I'm seeking a trusted individual to assist with the legal process of claiming these funds as the next of kin.  This would involve providing necessary documentation and setting up a secure account for the transfer.

In return for your assistance, I'm prepared to offer you a generous share of the funds as a token of appreciation for your time and effort.  

This is a unique opportunity to participate in a legitimate and confidential project.  If you're interested in learning more",1,advance_fee
123,"Subject: 123

Body:

Hey there!

I just wanted to share some exciting news about a new wellness program I've discovered. It focuses on improving overall well-being and offers incredible discounts on essential health products. 

They have a special promotion right now where you can get a free trial pack of their top-rated supplements, including Viagra, Acomplicia, Leviertra Professional, and Vyigra Super Active.  

These supplements are clinically proven to be safe and effective, and they're significantly cheaper than buying them at traditional pharmacies.  

Check it out and see for yourself! You won't regret it.

[link]",1,pharm_sex
Re: [Python-Dev] Invitation to try out open source code review tool,"Guido van Rossum wrote:
> I'm excited to share a project I've been working on with the Python community! It's a new code review tool designed to enhance collaboration and improve code quality for Subversion projects.  It's inspired by the innovative features of Mondrian and will soon be available as open source.  We've incorporated some existing code from Mondrian as a foundation, but the majority of the tool is brand new, built using Django and running on Google App Engine.
> 
> I'd love to get your feedback! You can try it out here:
> 
>     http://codereview.appspot.com

Any chance to try it without signing contracts with Google?

Stefan

_______________________________________________
Python-Dev mailing list
zvllln-eum@python.org
http://mail.python.org/mailman/listinfo/python-dev
Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev%40tangomu.com 


**Explanation of Changes:**

* **Emphasis on Community:** The rewritten text emphasizes the project's connection to the Python community and its goal of improving collaboration",0,legit
neither ena / rac / egf employees nor family members or others living in their,"Subject: neither ena / rac / egf employees nor family members or others living in their

This email outlines important guidelines to ensure fair and ethical trading practices within our company.  We want to promote transparency and prevent any potential conflicts of interest.

As you know, we are committed to upholding the highest ethical standards. To that end, we have implemented these guidelines to ensure that all employees, their families, and anyone financially dependent on them,  make informed and responsible investment decisions.

These guidelines are designed to protect both our company and our employees. They prohibit trading in specific securities listed on a restricted list, which is confidential information only accessible to authorized personnel. This list is regularly reviewed and updated to reflect evolving market conditions and potential conflicts.

Additionally, we emphasize the importance of confidentiality.  Employees are reminded that they must not disclose any non-public material information about public companies to anyone outside the company who does not have a legitimate business need to know. This helps maintain a level playing field and prevents any unfair advantage.

We understand that these guidelines may seem restrictive, but they are essential for maintaining the integrity of our company and ensuring that all employees are treated fairly. 

Please review these guidelines carefully and do not hesitate to contact me if you have any questions.",0,legit
50 ways to meet your lover_ltlmstrouble,"Subject: 50 ways to meet your lover_ltlmstrouble

Body:

Hi there!

I'm Jasmine, and I'm really passionate about helping people find love and connection. I've compiled a list of 50 creative and fun ways to meet your perfect match, and I'd love to share it with you! 

It's packed with tips and ideas for expanding your social circle and putting yourself out there.  

To get your hands on this exclusive list, simply click the link below:

http://jiugaqatuigay.narod.ru

I'm sure you'll find it incredibly helpful on your journey to finding love.

Best wishes,

Jasmine",1,dating_sites
watch this stck go crazy NEW PICK MONDAY  it is [REPORT NEW PICK MONDAY  it is]  colt's desk's galenite becloud,"Subject: watch this stck go crazy NEW PICK MONDAY  it is [REPORT NEW PICK MONDAY  it is]  colt's desk's galenite becloud

Body:

This is a fantastic opportunity to get in on the ground floor of a company poised for explosive growth!  

**Apparel Manufacturing Associates, Inc. (APPM.PK)** is a hidden gem with a bright future.  They've been making waves in the fashion industry with exciting new partnerships and licensing agreements.  

Here's what's got everyone buzzing:

* **Major Investment:**  A prestigious UK company, Global Market Agents Limited, has pledged a substantial investment to help Apparel Manufacturing Associates expand their marketing reach. This is a huge vote of confidence in their potential!

* **Fashion Forward:**  They're on the verge of signing exciting new licensing deals with both US and UK fashion design companies. This means their products will soon be seen on a global stage!

* **Strong Potential:**  With a dedicated team and a clear vision, Apparel Manufacturing Associates is set to become a major player in the apparel industry. Don't miss out on this chance to be a part of their success story!

Get in now before this stock takes off!",1,stock_pump_dump
value - - has also placed a spotlight on arthur andersen llp ,"The recent surge in interest surrounding [Company Name] has also placed a spotlight on Arthur Andersen LLP, highlighting their crucial role in [Company Name]'s success story.  Their expertise in [mention a relevant field, e.g., financial auditing, consulting] has been instrumental in guiding [Company Name] through its growth trajectory. We are grateful for their continued partnership and support.",0,legit
