email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.0005952887004241347
1,Re:,dating_sites,1,PHISHING,0.9966990351676941
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,LEGITIMATE,0.0019385076593607664
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.0008022323600016534
4,research library needed for netco,legit,0,LEGITIMATE,0.07963957637548447
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.9973764419555664
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.0006164839724078774
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.002488102065399289
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.9941884279251099
9,This is it. (from Meredith),tech_support,1,LEGITIMATE,0.44655078649520874
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.0007946199038997293
11,LP RELEASE: Outrageous military spending,legit,0,LEGITIMATE,0.0075639281421899796
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,PHISHING,0.9973804354667664
13,cusip,legit,0,PHISHING,0.9541225433349609
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,LEGITIMATE,0.03757580742239952
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.9970158338546753
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.0006688533467240632
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9968295693397522
18,financial manager position,hr_impersonation,1,PHISHING,0.9967971444129944
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.0007833025883883238
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,LEGITIMATE,0.004803888034075499
21,nan,legit,0,LEGITIMATE,0.0010286930482834578
