email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,50 ways to meet your lover_audi_girl,dating_sites,1,PHISHING,0.9989199638366699
1,free adware removal scan and download . qyesa,tech_support,1,PHISHING,0.9975777268409729
2,"TREAT  AS URGENT AND CALL ME"""""""" 00226 76 63 87 21",advance_fee,1,PHISHING,0.9986236095428467
3,Perfect proportions are easily attained,hr_impersonation,1,PHISHING,0.9865907430648804
4,fix mailbox now! jose@monkey.org,document_share,1,PHISHING,0.9985334873199463
5,"For you  color=""#006657""",dating_sites,1,LEGITIMATE,0.44107159972190857
6,"Over $100,000 Per Year Possible On The Net!  No Illegal MLM Junk! Time:11:43:57 PM",loans,1,PHISHING,0.9988157749176025
7,50 ways to meet your lover_jasmine123,dating_sites,1,PHISHING,0.9984539747238159
8,50 ways to meet your lover_jasmine123,dating_sites,1,PHISHING,0.9919943809509277
9,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,tech_support,1,PHISHING,0.9939525723457336
10,You sent a payment of $185.00 USD to PayPal Inc (dgsEbayCA@paypal.com).,invoice_payment,1,PHISHING,0.9991095662117004
11,RE: Selling Wedded Bliss (was Re: Ouch...),legit,0,LEGITIMATE,0.004381749778985977
12,HELLO!!,advance_fee,1,PHISHING,0.9986727237701416
13,one singled out one of their villains .,legit,0,PHISHING,0.940140962600708
14,re: may the be11 s news advise her pennies,stock_pump_dump,1,PHISHING,0.9982665777206421
15,jose@monkey.org Messages could not be delivered.,invoice_payment,1,PHISHING,0.9988747239112854
16,Well-Paid Part-Time Job,hr_impersonation,1,PHISHING,0.997840166091919
17,Involved In Fundraising?,stock_pump_dump,1,PHISHING,0.9984866380691528
18,50 ways to meet your lover_nuxu63,dating_sites,1,PHISHING,0.9979658126831055
19,Amazon Case-1020-3090-4080-1090,account_verify,1,PHISHING,0.9990907907485962
20,overdue invoice_863637 ready  for your review via OneDrive Cloud.,document_share,1,PHISHING,0.9978131055831909
21,Positions Accessible,hr_impersonation,1,PHISHING,0.9990015625953674
22,Safe and fast enlargement,pharm_sex,1,PHISHING,0.9967437982559204
23,Re:,dating_sites,1,PHISHING,0.9722837805747986
24,Fast Shipping WorldWide. ,pharm_sex,1,PHISHING,0.9982833862304688
