email_id,subject,true_label,predicted_label,phish_type,reasoning,error,raw_response
0,Re: lifegem,0,PHISHING,legit,"The email contains a joke about liposuction and excrement, which is an unusual and suspicious topic for a legitimate company email.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains a joke about liposuction and excrement, which is an unusual and suspicious topic for a legitimate company email.""}"
1,Re: [opensuse] Nvidia + Xen,0,LEGITIMATE,legit,"This is a genuine discussion forum post from the OpenSUSE community, seeking help with a technical issue with NVIDIA drivers and Xen kernel.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""This is a genuine discussion forum post from the OpenSUSE community, seeking help with a technical issue with NVIDIA drivers and Xen kernel.""}"
2,Re: [sugar] Getting sugar running on a Mac,0,LEGITIMATE,legit,"Email from a mailing list, likely a support or discussion forum, with a clear indication of the sender's identity and a link to the list's information page.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""Email from a mailing list, likely a support or discussion forum, with a clear indication of the sender's identity and a link to the list's information page.""}"
3,ATM De-activation,1,PHISHING,tech_support,"The email contains suspicious language and a sense of urgency, and the request to click on a link to'rectify' the issue without providing any official UBA contact information or a direct link to the bank's website.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains suspicious language and a sense of urgency, and the request to click on a link to'rectify' the issue without providing any official UBA contact information or a direct link to the bank's website.""}"
4,AVAST SECURITY ALERT,1,PHISHING,account_verify,"The email contains multiple red flags, including a sense of urgency, exaggerated language, and a suspicious link that may lead to malware.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains multiple red flags, including a sense of urgency, exaggerated language, and a suspicious link that may lead to malware.""}"
5,GTV project status weekly update,0,LEGITIMATE,legit,"The email appears to be a legitimate weekly project status update from a team lead, Zhiyong Wei, with a clear list of accomplishments, plans, and issues, indicating a professional and organized workflow.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate weekly project status update from a team lead, Zhiyong Wei, with a clear list of accomplishments, plans, and issues, indicating a professional and organized workflow.""}"
6,Re:,1,PHISHING,dating_sites,The email contains a suspicious link that may be a phishing attempt.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains a suspicious link that may be a phishing attempt.""}"
7,FROM ADE WILLIAMS,1,PHISHING,advance_fee,"The email attempts to create a sense of urgency and desperation, and the request for personal and financial information is suspicious, as it is unlikely that a legitimate solicitor would ask for cooperation without prior verification and communication through official channels.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email attempts to create a sense of urgency and desperation, and the request for personal and financial information is suspicious, as it is unlikely that a legitimate solicitor would ask for cooperation without prior verification and communication through official channels.""}"
8,Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0,LEGITIMATE,legit,"A response to a discussion email from a known sender, with a clear and technical explanation of a problem and a solution.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""A response to a discussion email from a known sender, with a clear and technical explanation of a problem and a solution.""}"
9,re : half day strategy meeting,0,LEGITIMATE,legit,The email is from a legitimate source (EB-49 C4) and is a scheduling notification for a meeting.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email is from a legitimate source (EB-49 C4) and is a scheduling notification for a meeting.""}"
10,50 ways to meet your lover_iGirl,1,PHISHING,dating_sites,"The email contains misspelled words, grammatical errors, and a suspicious link to a non-existent website, indicating a phishing attempt.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains misspelled words, grammatical errors, and a suspicious link to a non-existent website, indicating a phishing attempt.""}"
11,mit student ' s thesis writeups,0,LEGITIMATE,legit,The email is from a legitimate company (Enron Communications) and appears to be a genuine communication between colleagues regarding a professional arrangement with a student from MIT.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email is from a legitimate company (Enron Communications) and appears to be a genuine communication between colleagues regarding a professional arrangement with a student from MIT.""}"
12,Job Vacancies ,1,PHISHING,hr_impersonation,"The email asks for personal and financial information, and the job offer seems too good to be true, with promises of a flexible schedule, good salary, and tax payments, which is a common tactic used by scammers.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email asks for personal and financial information, and the job offer seems too good to be true, with promises of a flexible schedule, good salary, and tax payments, which is a common tactic used by scammers.""}"
13,PharmacyWorldwidePhentrimine,1,PHISHING,pharm_sex,"The email contains a suspicious link that may be a phishing attempt, as it is not from a legitimate pharmacy and the URL is not a standard, secure link.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains a suspicious link that may be a phishing attempt, as it is not from a legitimate pharmacy and the URL is not a standard, secure link.""}"
14,Your Checking/Savings Account Untrusted Authorization,1,PHISHING,tech_support,"The email asks the recipient to click on links to update their account information and threatens temporary suspension if not done, which is a common phishing tactic.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email asks the recipient to click on links to update their account information and threatens temporary suspension if not done, which is a common phishing tactic.""}"
15,PAPER 26,0,LEGITIMATE,legit,"The email discusses a legitimate academic paper on copyright law, citing court cases and providing a thoughtful analysis of the topic.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email discusses a legitimate academic paper on copyright law, citing court cases and providing a thoughtful analysis of the topic.""}"
