email_id,subject,true_label,predicted_label,phish_type,reasoning,error,raw_response
0,Re: lifegem,0,PHISHING,legit,"The email contains a joke about using human waste to create a diamond, which is an attempt to make a humorous and unexpected comment, potentially distracting from the initial pitch for a LifeGem. This is a common tactic used in phishing emails to make them seem more relatable or to create a sense of familiarity.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a joke about using human waste to create a diamond, which is an attempt to make a humorous and unexpected comment, potentially distracting from the initial pitch for a LifeGem. This is a common tactic used in phishing emails to make them seem more relatable or to create a sense of familiarity.""
}"
1,Re: [opensuse] Nvidia + Xen,0,LEGITIMATE,legit,"The email is a genuine inquiry from a user seeking assistance with a technical issue related to Nvidia drivers and Xen kernel compatibility, and is part of a discussion thread in an open-source community forum.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is a genuine inquiry from a user seeking assistance with a technical issue related to Nvidia drivers and Xen kernel compatibility, and is part of a discussion thread in an open-source community forum.""
}"
2,Re: [sugar] Getting sugar running on a Mac,0,LEGITIMATE,legit,"The email is a response to a previous message on a mailing list, indicating a legitimate discussion about using Sugar on a Mac.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is a response to a previous message on a mailing list, indicating a legitimate discussion about using Sugar on a Mac.""
}"
3,ATM De-activation,1,PHISHING,tech_support,"The email contains a suspicious link and threatens account deactivation if the recipient doesn't comply, which is a common tactic used by phishing scammers to trick victims into revealing sensitive information.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link and threatens account deactivation if the recipient doesn't comply, which is a common tactic used by phishing scammers to trick victims into revealing sensitive information.""
}"
4,AVAST SECURITY ALERT,1,PHISHING,account_verify,"The email contains a suspicious link that may be used to download malware, and the language used is alarmist and threatening, which is a common tactic used in phishing emails.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains a suspicious link that may be used to download malware, and the language used is alarmist and threatening, which is a common tactic used in phishing emails.""}"
5,GTV project status weekly update,0,LEGITIMATE,legit,"The email appears to be a genuine project status update from a team lead, Zhiyong Wei, and includes specific details about project accomplishments, plans, and issues. The tone and language used are professional and consistent with a legitimate business communication.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a genuine project status update from a team lead, Zhiyong Wei, and includes specific details about project accomplishments, plans, and issues. The tone and language used are professional and consistent with a legitimate business communication.""
}"
6,Re:,1,PHISHING,dating_sites,The email contains a suspicious link that may be a phishing attempt.,,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link that may be a phishing attempt.""
}"
7,FROM ADE WILLIAMS,1,PHISHING,advance_fee,"The email contains a common phishing scam tactic where the sender claims to be a lawyer representing a deceased person's estate and asks the recipient to act as the next of kin to receive a large sum of money. The email also contains grammatical errors and a suspicious tone, which are common characteristics of phishing emails.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a common phishing scam tactic where the sender claims to be a lawyer representing a deceased person's estate and asks the recipient to act as the next of kin to receive a large sum of money. The email also contains grammatical errors and a suspicious tone, which are common characteristics of phishing emails.""
}"
8,Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0,LEGITIMATE,legit,"The email appears to be a genuine discussion thread from a mailing list, with a clear subject and content that matches the tone and style of a technical discussion.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a genuine discussion thread from a mailing list, with a clear subject and content that matches the tone and style of a technical discussion.""
}"
9,re : half day strategy meeting,0,LEGITIMATE,legit,"The email appears to be a legitimate meeting invitation from a colleague, with a clear subject and details about the meeting.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a legitimate meeting invitation from a colleague, with a clear subject and details about the meeting.""
}"
10,50 ways to meet your lover_iGirl,1,PHISHING,dating_sites,"The email contains a suspicious link and a vague, overly casual tone, which are common characteristics of phishing emails.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link and a vague, overly casual tone, which are common characteristics of phishing emails.""
}"
11,mit student ' s thesis writeups,0,LEGITIMATE,legit,"The email appears to be a genuine communication between a student and a potential employer, discussing a job opportunity and sharing thesis writeups. The language and tone are professional, and the content is consistent with a legitimate job search process.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a genuine communication between a student and a potential employer, discussing a job opportunity and sharing thesis writeups. The language and tone are professional, and the content is consistent with a legitimate job search process.""
}"
12,Job Vacancies ,1,PHISHING,hr_impersonation,"The email asks for sensitive information such as email, contact number, and resume, which is a common tactic used by phishing emails to gather personal data.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email asks for sensitive information such as email, contact number, and resume, which is a common tactic used by phishing emails to gather personal data.""
}"
13,PharmacyWorldwidePhentrimine,1,PHISHING,pharm_sex,"The email contains a suspicious link with a potentially malicious URL, which may be an attempt to trick the recipient into downloading malware or revealing sensitive information.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link with a potentially malicious URL, which may be an attempt to trick the recipient into downloading malware or revealing sensitive information.""
}"
14,Your Checking/Savings Account Untrusted Authorization,1,PHISHING,tech_support,"The email asks the recipient to update their account information by clicking on a link, which is a common tactic used by phishing emails. Additionally, the email claims the account will be suspended if the information is not updated, which is a scare tactic often used by phishers.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email asks the recipient to update their account information by clicking on a link, which is a common tactic used by phishing emails. Additionally, the email claims the account will be suspended if the information is not updated, which is a scare tactic often used by phishers.""
}"
15,PAPER 26,0,LEGITIMATE,legit,"The email discusses a legitimate academic paper about copyright law and its evolution, and the author is sharing their thoughts and opinions on the topic.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email discusses a legitimate academic paper about copyright law and its evolution, and the author is sharing their thoughts and opinions on the topic.""
}"
16,[zzzzteana] Man admits Soham kidnapping hoax calls,0,PHISHING,legit,"The email contains a suspicious link to a Yahoo! Groups sponsor, which is likely an attempt to trick the recipient into clicking on a malicious link.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link to a Yahoo! Groups sponsor, which is likely an attempt to trick the recipient into clicking on a malicious link.""
}"
17,Navigation buttons do not show,0,LEGITIMATE,legit,"The email is a genuine report of a bug or issue with a website, and the user is providing details about their environment and the problem they are experiencing.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email is a genuine report of a bug or issue with a website, and the user is providing details about their environment and the problem they are experiencing.""}"
18,"[DMDX] write to output file, disk full",0,LEGITIMATE,legit,"The email appears to be a genuine request for help from a user experiencing an issue with a program, and the language used is informal and conversational, which is consistent with a legitimate email from a colleague or acquaintance.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a genuine request for help from a user experiencing an issue with a program, and the language used is informal and conversational, which is consistent with a legitimate email from a colleague or acquaintance.""
}"
19,research library needed for netco,0,LEGITIMATE,legit,"The email appears to be a legitimate request for documentation and source code from a colleague, with a clear list of specific library functions and models mentioned.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a legitimate request for documentation and source code from a colleague, with a clear list of specific library functions and models mentioned.""
}"
20,Re: Multiple .pinerc's spawned,0,LEGITIMATE,legit,"The email appears to be a genuine discussion between two individuals, Robin and Ed, about a technical issue with Pine on AIX4.0. The tone is informal and conversational, and the language used is consistent with a legitimate email exchange.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a genuine discussion between two individuals, Robin and Ed, about a technical issue with Pine on AIX4.0. The tone is informal and conversational, and the language used is consistent with a legitimate email exchange.""
}"
21,VERIFY YOUR ACCOUNT,1,PHISHING,account_verify,"The email contains a generic threat of account suspension and asks the recipient to click on a button to verify their account, which is a common tactic used by phishing scammers to trick users into revealing sensitive information.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a generic threat of account suspension and asks the recipient to click on a button to verify their account, which is a common tactic used by phishing scammers to trick users into revealing sensitive information.""
}"
22,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,0,LEGITIMATE,legit,"The email is a genuine discussion between users on a mailing list, with a clear topic and context, and the language and tone are consistent with a legitimate online community.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is a genuine discussion between users on a mailing list, with a clear topic and context, and the language and tone are consistent with a legitimate online community.""
}"
23,Re: [Python-Dev] thoughts on having EOFError inherit from	EnvironmentError?,0,LEGITIMATE,legit,"The email is a response to a discussion on a Python mailing list, indicating a legitimate discussion among developers.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is a response to a discussion on a Python mailing list, indicating a legitimate discussion among developers.""
}"
24,"For you  color=""#006638""",1,PHISHING,dating_sites,"The email contains a suspicious link and a request to remove the sender from the recipient's list, which are common tactics used in phishing emails. Additionally, the email's grammar and spelling contain errors, and the link provided is likely a typo or a fake website.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link and a request to remove the sender from the recipient's list, which are common tactics used in phishing emails. Additionally, the email's grammar and spelling contain errors, and the link provided is likely a typo or a fake website.""
}"
25,Windows Home Server,1,PHISHING,hr_impersonation,"The email contains a list of software titles and system requirements, but the sender's email address is not a legitimate Autodesk or Microsoft address, and the text about al-Qaida is unrelated to the software.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a list of software titles and system requirements, but the sender's email address is not a legitimate Autodesk or Microsoft address, and the text about al-Qaida is unrelated to the software.""
}"
26,Re: skip extensions,0,LEGITIMATE,legit,"The email is a legitimate discussion about a technical issue with a software tool, ArcCatalog, and its interaction with another tool, Tkme. The email provides a detailed explanation of the issue and a proposed solution, and it is written in a formal and professional tone.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is a legitimate discussion about a technical issue with a software tool, ArcCatalog, and its interaction with another tool, Tkme. The email provides a detailed explanation of the issue and a proposed solution, and it is written in a formal and professional tone.""
}"
27,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,1,PHISHING,account_verify,"The email asks the recipient to verify their account information by clicking on a link, which is a common tactic used by phishing emails to trick users into revealing their login credentials.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email asks the recipient to verify their account information by clicking on a link, which is a common tactic used by phishing emails to trick users into revealing their login credentials.""
}"
28,this is a great article : material lead to divorce,1,PHISHING,tech_support,"The email contains suspicious links and keywords that are often used in phishing attempts, and the tone is overly sensational and lacks a clear purpose.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains suspicious links and keywords that are often used in phishing attempts, and the tone is overly sensational and lacks a clear purpose.""
}"
29,Re: Bogus MX -> blacklist service viable?,0,LEGITIMATE,legit,"The email appears to be a genuine discussion between individuals, likely from a mailing list or forum, about a potential service idea. The language and tone suggest a collaborative and open discussion, and the inclusion of personal websites and contact information adds credibility.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a genuine discussion between individuals, likely from a mailing list or forum, about a potential service idea. The language and tone suggest a collaborative and open discussion, and the inclusion of personal websites and contact information adds credibility.""}"
30,This is it. (from Meredith),1,PHISHING,tech_support,"The email contains nonsensical and rambling text, which is a common tactic used by phishing emails to avoid detection by spam filters and to make the email appear legitimate.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains nonsensical and rambling text, which is a common tactic used by phishing emails to avoid detection by spam filters and to make the email appear legitimate.""
}"
31,re : timelines and restart issues,0,LEGITIMATE,legit,"The email appears to be a reply to a previous email thread, and the content is consistent with a work-related discussion. The sender's name and email address are also provided, which suggests a legitimate work context.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a reply to a previous email thread, and the content is consistent with a work-related discussion. The sender's name and email address are also provided, which suggests a legitimate work context.""
}"
32,Re: [Python-3000] lambda,0,LEGITIMATE,legit,"The email is a response to a discussion on a Python mailing list, with a clear and coherent message from a known contributor to the list.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is a response to a discussion on a Python mailing list, with a clear and coherent message from a known contributor to the list.""
}"
33,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,1,PHISHING,tech_support,"The email is impersonating a legitimate virus scanning service, but the subject and body do not match the action taken, and the sender's email address is not a typical domain for a Microsoft Exchange service.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email is impersonating a legitimate virus scanning service, but the subject and body do not match the action taken, and the sender's email address is not a typical domain for a Microsoft Exchange service.""
}"
34,Re: [opensuse] Warning - 10.3/XGL repository has compiz/emerald version mismatch,0,LEGITIMATE,legit,"The email appears to be a response to a previous email thread, and the content is a lighthearted and informal exchange between two individuals. The tone is conversational and does not contain any suspicious language or requests for sensitive information.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a response to a previous email thread, and the content is a lighthearted and informal exchange between two individuals. The tone is conversational and does not contain any suspicious language or requests for sensitive information.""
}"
35,"For you  color=""#006678""",1,PHISHING,dating_sites,"The email contains a suspicious link and a request to remove the sender from the list, which are common tactics used in phishing emails. The link is also misspelled and may be an attempt to evade detection.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link and a request to remove the sender from the list, which are common tactics used in phishing emails. The link is also misspelled and may be an attempt to evade detection.""
}"
36,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,1,PHISHING,tech_support,"The email is impersonating Microsoft's ScanMail for Microsoft Exchange, but the sender's email address is not a legitimate Microsoft domain, and the formatting and content are suspicious.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email is impersonating Microsoft's ScanMail for Microsoft Exchange, but the sender's email address is not a legitimate Microsoft domain, and the formatting and content are suspicious.""
}"
37,Need Simple IC editor,0,LEGITIMATE,legit,"The email appears to be a genuine inquiry from a beginner seeking help with programming and using text editors on Windows95, with a personal touch and a clear question.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email appears to be a genuine inquiry from a beginner seeking help with programming and using text editors on Windows95, with a personal touch and a clear question.""
}"
38,LP RELEASE: Outrageous military spending,0,LEGITIMATE,legit,"The email is a press release from the Libertarian Party, discussing a General Accounting Office audit of the Defense Department's credit card spending. The content is informative and critical of government spending, but does not contain any phishing or malicious links.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is a press release from the Libertarian Party, discussing a General Accounting Office audit of the Defense Department's credit card spending. The content is informative and critical of government spending, but does not contain any phishing or malicious links.""
}"
39,"You Can Enlarge Your Penis By 3"" Compare Top 5 Penis Enlargers",1,PHISHING,pharm_sex,"The email contains a sensational and unrealistic claim about penis enlargement, and the URL provided is likely a scam website.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a sensational and unrealistic claim about penis enlargement, and the URL provided is likely a scam website.""
}"
40,WINNING NOTIFICATION....................NATIONAL LOTTERY...,1,PHISHING,lottery,"The email contains a common phishing tactic of claiming a large sum of money and asking the recipient to contact a third-party agent to claim the prize, which is likely a scam to obtain sensitive information.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a common phishing tactic of claiming a large sum of money and asking the recipient to contact a third-party agent to claim the prize, which is likely a scam to obtain sensitive information.""
}"
41,cusip,0,PHISHING,legit,"The email contains a suspicious request for a sensitive financial information (CUSIP number) and lacks a clear context or official branding, which is a common trait of phishing emails.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious request for a sensitive financial information (CUSIP number) and lacks a clear context or official branding, which is a common trait of phishing emails.""
}"
42,04/09/2022 04:39:51 pm :Wells Fargo: You Have A Notification!,1,PHISHING,document_share,"The email asks the user to download an attachment and fill out information to verify their account, which is a common tactic used by phishing scams. Additionally, the email's tone and language are generic and do not match the typical communication style of Wells Fargo.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email asks the user to download an attachment and fill out information to verify their account, which is a common tactic used by phishing scams. Additionally, the email's tone and language are generic and do not match the typical communication style of Wells Fargo.""
}"
43,NedBank Account Statement 18-10-12,1,PHISHING,account_verify,"The email asks the recipient to click on a link to download Adobe Reader and then follow step-by-step instructions to open an encrypted statement. This is a common tactic used by phishing emails to trick users into installing malware or revealing sensitive information. Additionally, the email asks the recipient to use their account number as their password, which is a security risk. The email also contains a link to a Nedbank.co.za website, but the link is not a direct link to the Nedbank website, which could be a phishing attempt to steal login credentials. Furthermore, the email contains a lot of unnecessary information and links to other services, which is a common tactic used by phishing emails to distract the user and make them more likely to click on a malicious link.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email asks the recipient to click on a link to download Adobe Reader and then follow step-by-step instructions to open an encrypted statement. This is a common tactic used by phishing emails to trick users into installing malware or revealing sensitive information. Additionally, the email asks the recipient to use their account number as their password, which is a security risk. The email also contains a link to a Nedbank.co.za website, but the link is not a direct link to the Nedbank website, which could be a phishing attempt to steal login credentials. Furthermore, the email contains a lot of unnecessary information and links to other services, which is a common tactic used by phishing emails to distract the user and make them more likely to click on a malicious link.""}"
44,Order Shipping Confirmation #991-4958216-1093584,1,LEGITIMATE,invoice_payment,"The email is a genuine order confirmation from Amazon, containing details about a recent purchase, including order number, shipping information, and product details.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email is a genuine order confirmation from Amazon, containing details about a recent purchase, including order number, shipping information, and product details.""}"
45,Big Five record companies guilty of price fixing,0,LEGITIMATE,legit,The email contains a legitimate news article link and does not exhibit any phishing characteristics such as suspicious links or requests for personal information.,,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email contains a legitimate news article link and does not exhibit any phishing characteristics such as suspicious links or requests for personal information.""
}"
46,Award Centre Co-coordinator.,1,PHISHING,lottery,"The email contains a generic lottery win notice with a large sum of money, a sense of urgency, and a request for personal information, which are common tactics used by phishing scams.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a generic lottery win notice with a large sum of money, a sense of urgency, and a request for personal information, which are common tactics used by phishing scams.""
}"
47,Fight for your self-perfection!,1,PHISHING,pharm_sex,"The email contains a suspicious link and a promise of unrealistic results, which are common characteristics of phishing emails.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a suspicious link and a promise of unrealistic results, which are common characteristics of phishing emails.""
}"
48,Re: Gnots,0,LEGITIMATE,legit,"The email is a genuine discussion about creating a new Usenet newsgroup and seeking information about Plan 9's status, with a clear indication of the sender's identity and affiliation.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email is a genuine discussion about creating a new Usenet newsgroup and seeking information about Plan 9's status, with a clear indication of the sender's identity and affiliation.""}"
49,[ILUG] One Command -- Four Types,0,LEGITIMATE,legit,"The email is a genuine discussion from a mailing list, indicated by the 'List maintainer' and'mailman' information at the end.",,"{
  ""classification"": ""LEGITIMATE"",
  ""reasoning"": ""The email is a genuine discussion from a mailing list, indicated by the 'List maintainer' and'mailman' information at the end.""
}"
50,=?utf-8?Q?Account=20Alerts=20=21=21?=,1,PHISHING,account_verify,"The email contains a generic threat of account suspension and a sense of urgency to verify account information within 72 hours, which is a common tactic used in phishing emails. Additionally, the email contains a suspicious link that may lead to a malicious website.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a generic threat of account suspension and a sense of urgency to verify account information within 72 hours, which is a common tactic used in phishing emails. Additionally, the email contains a suspicious link that may lead to a malicious website.""
}"
51,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,1,PHISHING,invoice_payment,"The email contains a link to sign in with a valid email and password, which is a common phishing tactic to trick users into revealing sensitive information.",,"{
  ""classification"": ""PHISHING"",
  ""reasoning"": ""The email contains a link to sign in with a valid email and password, which is a common phishing tactic to trick users into revealing sensitive information.""
}"
