email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.00022986673866398633
1,Re:,dating_sites,1,PHISHING,0.9979602098464966
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,LEGITIMATE,0.001976498169824481
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.0003445663314778358
4,research library needed for netco,legit,0,LEGITIMATE,0.0003486544010229409
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.9997170567512512
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.0002653658448252827
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.0006705740815959871
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.9996059536933899
9,This is it. (from Meredith),tech_support,1,PHISHING,0.8108780980110168
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.00021457919501699507
11,LP RELEASE: Outrageous military spending,legit,0,LEGITIMATE,0.0017591981450095773
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,PHISHING,0.9997122883796692
13,cusip,legit,0,LEGITIMATE,0.00032628144253976643
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,PHISHING,0.9510390758514404
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.9996703863143921
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.0002292005519848317
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9993196725845337
18,financial manager position,hr_impersonation,1,PHISHING,0.9995313882827759
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.0002537048712838441
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,LEGITIMATE,0.007328625302761793
21,nan,legit,0,LEGITIMATE,0.00019493149011395872
22,Euro Milliones(Your Email Address Has Won A Lottery),lottery,1,PHISHING,0.9996283054351807
23,Take Care of Your Health Now,pharm_sex,1,PHISHING,0.999717652797699
24,volume changes,legit,0,LEGITIMATE,0.00026769659598357975
25,from NA Digest,legit,0,LEGITIMATE,0.0016083132941275835
