email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,Re: [sugar] Getting sugar running on a Mac,legit,0,LEGITIMATE,0.0017075722571462393
1,Re:,dating_sites,1,PHISHING,0.9866853952407837
2,[zzzzteana] Man admits Soham kidnapping hoax calls,legit,0,LEGITIMATE,0.028881803154945374
3,"[DMDX] write to output file, disk full",legit,0,LEGITIMATE,0.0016250042244791985
4,research library needed for netco,legit,0,LEGITIMATE,0.005052588414400816
5,VERIFY YOUR ACCOUNT,account_verify,1,PHISHING,0.9978408813476562
6,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,legit,0,LEGITIMATE,0.003297447459772229
7,Windows Home Server,hr_impersonation,1,LEGITIMATE,0.0049118478782474995
8,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,account_verify,1,PHISHING,0.7763640284538269
9,This is it. (from Meredith),tech_support,1,PHISHING,0.52363121509552
10,Re: [Python-3000] lambda,legit,0,LEGITIMATE,0.0017136746319010854
11,LP RELEASE: Outrageous military spending,legit,0,LEGITIMATE,0.002699677599593997
12,WINNING NOTIFICATION....................NATIONAL LOTTERY...,lottery,1,PHISHING,0.9966321587562561
13,cusip,legit,0,LEGITIMATE,0.01642504893243313
14,Order Shipping Confirmation #991-4958216-1093584,invoice_payment,1,LEGITIMATE,0.31043097376823425
15,Award Centre Co-coordinator.,lottery,1,PHISHING,0.9974021911621094
16,[ILUG] One Command -- Four Types,legit,0,LEGITIMATE,0.0019359049620106816
17,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,invoice_payment,1,PHISHING,0.9173298478126526
18,financial manager position,hr_impersonation,1,PHISHING,0.953936755657196
19,re : cancellation of the master tasking letter,legit,0,LEGITIMATE,0.00141592335421592
20,New White Paper: Document capture and integration for SharePoint Server 2007,legit,0,LEGITIMATE,0.00667565269395709
21,nan,legit,0,LEGITIMATE,0.0026741705369204283
22,Euro Milliones(Your Email Address Has Won A Lottery),lottery,1,PHISHING,0.9986787438392639
23,Take Care of Your Health Now,pharm_sex,1,PHISHING,0.9413532614707947
24,volume changes,legit,0,LEGITIMATE,0.0014286430086940527
25,from NA Digest,legit,0,LEGITIMATE,0.0019290936179459095
26,Re:,dating_sites,1,PHISHING,0.9874146580696106
27,3.5% fixed payment 30 year loan,loans,1,PHISHING,0.9884756803512573
28,Thank You So Much 126432211111,loans,1,PHISHING,0.9890959858894348
29,LNG Update,legit,0,LEGITIMATE,0.0019165045814588666
30,DHL Delivery ,invoice_payment,1,PHISHING,0.9973471164703369
31,Local Area Employee Searching Notice,hr_impersonation,1,PHISHING,0.9979726672172546
32,Notifcation: You have (9) new undelivered messages,document_share,1,PHISHING,0.9513952732086182
33,Changes for cpuserver & pwd prompt?,legit,0,LEGITIMATE,0.001673949765972793
34,tenaska iv gas,legit,0,LEGITIMATE,0.001552307396195829
35,Re: [opensuse] Importing a CSV file into Kaddressbook,legit,0,LEGITIMATE,0.0014068721793591976
36,Lowest Rates Available.                    gjannsxrwg,loans,1,PHISHING,0.9928172826766968
37,Male Enhancement Reviews,pharm_sex,1,PHISHING,0.996042013168335
38,PAPER 6,legit,0,LEGITIMATE,0.0015915289986878633
39,CONGRATULATIONS!!! CHECK WITH YOUR AGENT,lottery,1,PHISHING,0.9986096620559692
40,Re: Bits from the job front...,legit,0,LEGITIMATE,0.0017192683881148696
41,Re: Sonar Assembly,legit,0,LEGITIMATE,0.001786316861398518
42,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.996561586856842
43,Iraq invasion could 'worsen terrorist threat',legit,0,LEGITIMATE,0.004066347144544125
44,Re: When a Crop Becomes King,legit,0,LEGITIMATE,0.002632393967360258
45,Re:,dating_sites,1,PHISHING,0.9799055457115173
46,bad focus/click behaviours,legit,0,LEGITIMATE,0.0016769197536632419
47,URGENT SECURITY CHECK FAILURE,tech_support,1,PHISHING,0.9985610842704773
48,re : resumes,legit,0,LEGITIMATE,0.0013368807267397642
49,"The Government grants you $25,000!",loans,1,PHISHING,0.9526850581169128
50,RE: 68HC11 assembly commands,legit,0,LEGITIMATE,0.0014345181407406926
51,california update 6 / 08 / 01,legit,0,LEGITIMATE,0.0019989232532680035
52,All Your Breast Enlargement Info From Top Breast Enlargement Sites.,pharm_sex,1,PHISHING,0.9975776076316833
53,Re: [ILUG] extending a HAN with Wireless..,legit,0,LEGITIMATE,0.0019926365930587053
54,WINNER'S INFORMATIONS!!!,lottery,1,PHISHING,0.9981780052185059
55,50 ways to meet your lover_sirry,dating_sites,1,PHISHING,0.9985081553459167
56,"[Spambayes-checkins] spambayes/windows/py2exe setup_all.py, 1.28, 1.29",legit,0,LEGITIMATE,0.001728491741232574
57,Email Security Alert !!!,account_verify,1,PHISHING,0.9988773465156555
58,Re: queue file write error for some domains,legit,0,LEGITIMATE,0.0018351210746914148
59,"Kevin Mitnick's laptop, signed by Woz, on eBay",legit,0,LEGITIMATE,0.0036568723153322935
60,Profile and Preference Update,document_share,1,PHISHING,0.9982859492301941
61,millions of mp 3 ' s and movies - download for free now !,tech_support,1,PHISHING,0.9775460362434387
62,Positions Accessible,hr_impersonation,1,PHISHING,0.9981993436813354
63,[UAI] Job announcement: JPL Machine Learning Group Supervisor,legit,0,LEGITIMATE,0.0017188125057145953
64,"Lottery Winning Final Notification,You Won.",lottery,1,PHISHING,0.997886598110199
65,Re: [ILUG] linux laptop: T61p or Macbook Pro,legit,0,LEGITIMATE,0.0016909657279029489
66,Re[2]: Selling Wedded Bliss (was Re: Ouch...),legit,0,LEGITIMATE,0.0031306883320212364
