email_id,subject,true_label,predicted_label,phish_type,summary,summary_error,reasoning,classify_error,summary_raw_response,classify_raw_response
0,Re: lifegem,0,LEGITIMATE,legit,"Joe Barrera humorously suggests using carbon from liposuction or excrement to create a LifeGem, referencing a previous email about the service. He also includes a link to a mailing list.",,"The email appears to be a humorous, informal response to a previous conversation about LifeGem, a service that creates diamonds from cremated remains.",,"{""summary"": ""Joe Barrera humorously suggests using carbon from liposuction or excrement to create a LifeGem, referencing a previous email about the service. He also includes a link to a mailing list.""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a humorous, informal response to a previous conversation about LifeGem, a service that creates diamonds from cremated remains.""}"
1,Re: [opensuse] Nvidia + Xen,0,LEGITIMATE,legit,Tom Cada is experiencing issues with Nvidia drivers not working with the Xen kernel. He asks for assistance on how to use the generic 'nv' drivers instead and if it's possible to configure the system to automatically choose the appropriate driver based on the kernel being used (Xen or vanilla).,,"The email discusses technical issues with open-source software and seeks help from a community forum, which is typical of legitimate technical support requests.",,"{""summary"": ""Tom Cada is experiencing issues with Nvidia drivers not working with the Xen kernel. He asks for assistance on how to use the generic 'nv' drivers instead and if it's possible to configure the system to automatically choose the appropriate driver based on the kernel being used (Xen or vanilla).""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email discusses technical issues with open-source software and seeks help from a community forum, which is typical of legitimate technical support requests.""}"
2,Re: [sugar] Getting sugar running on a Mac,0,LEGITIMATE,legit,Steven Riggins is having trouble running Sugar on a Mac using Qemu and Parallels. He asks for assistance with getting Sugar running on a Mac.,,"The email discusses technical troubleshooting, which is common in legitimate communication.",,"{""summary"": ""Steven Riggins is having trouble running Sugar on a Mac using Qemu and Parallels. He asks for assistance with getting Sugar running on a Mac.""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email discusses technical troubleshooting, which is common in legitimate communication.""}"
3,ATM De-activation,1,PHISHING,tech_support,UBA is notifying the recipient that their debit card is not properly integrated with their Bank Verification Number and must be rectified by following a provided link to avoid account deactivation within 48 hours. Failure to comply will result in disabled ATM and internet banking access and blocked remote access. The email also provides alternative contact options: visiting a UBA branch or contacting their 24/7 Customer Interactive Center.,,"The email uses urgency and threats to pressure the recipient into clicking a link, a common tactic in phishing attacks.",,"{""summary"": ""UBA is notifying the recipient that their debit card is not properly integrated with their Bank Verification Number and must be rectified by following a provided link to avoid account deactivation within 48 hours. Failure to comply will result in disabled ATM and internet banking access and blocked remote access. The email also provides alternative contact options: visiting a UBA branch or contacting their 24/7 Customer Interactive Center.""}","{""classification"": ""PHISHING"", ""reasoning"": ""The email uses urgency and threats to pressure the recipient into clicking a link, a common tactic in phishing attacks.""}"
4,AVAST SECURITY ALERT,1,PHISHING,account_verify,Avast claims jose@monkey.org's mailbox is infected with a virus that could cause email shutdown or data loss. They urge the recipient to run an email scan immediately at http://jmagalhaes.com/cache/mod/Avast/Coded/index.php?email=jose@monkey.org to avoid this. The email also states it has been checked for viruses by Avast antivirus software and provides a link to www.avast.com.,,The email uses scare tactics to urge immediate action and includes a suspicious link.,,"{""summary"": ""Avast claims jose@monkey.org's mailbox is infected with a virus that could cause email shutdown or data loss. They urge the recipient to run an email scan immediately at http://jmagalhaes.com/cache/mod/Avast/Coded/index.php?email=jose@monkey.org to avoid this. The email also states it has been checked for viruses by Avast antivirus software and provides a link to www.avast.com.""}","{""classification"": ""PHISHING"", ""reasoning"": ""The email uses scare tactics to urge immediate action and includes a suspicious link.""}"
5,GTV project status weekly update,0,LEGITIMATE,legit,"Zhiyong Wei provides a weekly update on the GTV project.  The update details completed tasks, upcoming plans, and issues encountered.  The release of changes to PortCalc and TDS applications has been delayed to July 23rd due to difficulties setting up new books in Excel and other systems.  A new flexible position manager is being planned.",,"The email appears to be a routine project update, detailing progress and issues.",,"{""summary"": ""Zhiyong Wei provides a weekly update on the GTV project.  The update details completed tasks, upcoming plans, and issues encountered.  The release of changes to PortCalc and TDS applications has been delayed to July 23rd due to difficulties setting up new books in Excel and other systems.  A new flexible position manager is being planned.""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a routine project update, detailing progress and issues.""}"
6,Re:,1,PHISHING,dating_sites,The sender compares a good marriage to a casserole and provides a link: http://vtaqcw.shallstraight.com,,The unusual analogy and suspicious link suggest a phishing attempt.,,"{""summary"": ""The sender compares a good marriage to a casserole and provides a link: http://vtaqcw.shallstraight.com""}","{""classification"": ""PHISHING"", ""reasoning"": ""The unusual analogy and suspicious link suggest a phishing attempt.""}"
7,FROM ADE WILLIAMS,1,PHISHING,advance_fee,"Barrister Ade Williams, claiming to be the attorney of a deceased US citizen, John Bales, requests the recipient to act as the next of kin to claim a $10 million USD bank deposit. He proposes a 65/25 split of the funds, with 10% for expenses/taxes. He provides a phone number and email address for further communication and claims to have legal documents to support the claim.",,"The email involves a large sum of money, an unsolicited inheritance claim, and a request for personal information, all common characteristics of phishing scams.",,"{""summary"": ""Barrister Ade Williams, claiming to be the attorney of a deceased US citizen, John Bales, requests the recipient to act as the next of kin to claim a $10 million USD bank deposit. He proposes a 65/25 split of the funds, with 10% for expenses/taxes. He provides a phone number and email address for further communication and claims to have legal documents to support the claim.""}","{""classification"": ""PHISHING"", ""reasoning"": ""The email involves a large sum of money, an unsolicited inheritance claim, and a request for personal information, all common characteristics of phishing scams.""}"
8,Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0,LEGITIMATE,legit,"Wietse Venema advises Tony Earnshaw to use 127.0.0.1:10026 for safety, referencing previous email discussion about postfix, dkim-filter, and email lists. The email includes configuration options for postfix and dkim-milter, including milter_macro_daemon_name and milter_default_action.",,"The email discusses technical details about email server configuration and refers to a previous discussion on a mailing list, suggesting a legitimate technical support context.",,"{""summary"": ""Wietse Venema advises Tony Earnshaw to use 127.0.0.1:10026 for safety, referencing previous email discussion about postfix, dkim-filter, and email lists. The email includes configuration options for postfix and dkim-milter, including milter_macro_daemon_name and milter_default_action.""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email discusses technical details about email server configuration and refers to a previous discussion on a mailing list, suggesting a legitimate technical support context.""}"
9,re : half day strategy meeting,0,LEGITIMATE,legit,"Steve's half-day strategy meeting is scheduled for Thursday, July 20th, 1:00 PM - 4:30 PM in EB-49 C4. Please mark your calendars.",,Internal meeting announcement,,"{""summary"": ""Steve's half-day strategy meeting is scheduled for Thursday, July 20th, 1:00 PM - 4:30 PM in EB-49 C4. Please mark your calendars.""}","{""classification"": ""LEGITIMATE"", ""reasoning"": ""Internal meeting announcement""}"
